date,money,N_risky,N_safe,wealth,signal_risky,signal_safe,trade_risky,trade_safe,trade_cash_risky,trade_cash_safe
2019-09-19,56250.5625,470.7805921894563,419.3694992111731,100001.0,1,1,470.7805921894563,419.3694992111731,-25000.25,-18750.1875
2019-09-20,28125.562502812503,1008.2711703081254,419.3694992111731,99426.31967173282,1,0,537.4905781186691,0.0,-28125.562502812503,0.0
2019-09-23,28125.84375843753,1008.2711703081254,419.3694992111731,99745.601300025,0,0,0.0,0.0,0.0,0.0
2019-09-24,18731.69453025029,1366.3234007502226,209.68474960558655,99548.90031529384,1,-1,358.05223044209725,-209.68474960558655,-18731.69453025029,9337.264043625462
2019-09-25,9365.940923597796,1542.6379234309243,209.68474960558655,100626.77077207627,1,0,176.31452268070154,0.0,-9365.940923597796,0.0
2019-09-26,5268.394452941456,1586.9455192094697,249.05652208573827,100242.04425362885,1,1,44.307595778545405,39.37177248015173,-2341.508645751758,-1756.1314843138186
2019-09-27,2634.223568442993,1586.9455192094697,308.2017697427546,99817.6573875176,0,1,0.0,59.145247657016334,0.0,-2634.223568442993
2019-09-30,1317.1249553393388,1611.41501326031,308.2017697427546,101814.73590324275,1,0,24.469494050840186,0.0,-1317.1249553393388,0.0
2019-10-01,1317.1381265888924,1611.41501326031,308.2017697427546,102107.93124732387,0,0,0.0,0.0,0.0,0.0
2019-10-02,1317.1512979701583,1611.41501326031,308.2017697427546,99530.77683488987,0,0,0.0,0.0,0.0,0.0
2019-10-03,658.5822347415691,1623.8246620436573,308.2017697427546,100443.20130487318,1,0,12.409648783347324,0.0,-658.5822347415691,0.0
2019-10-04,370.456211567203,1626.8425096048056,310.9626503317078,103035.8182926077,1,1,3.0178475611483644,2.760880588953173,-164.64720514097914,-123.48540385573435
2019-10-07,208.38370282274178,1628.5396919122957,312.5349760081605,102884.52316621366,1,1,1.6971823074901395,1.5723256764527427,-92.61497903232967,-69.46123427424726
