strategy,final_wealth
Section 7 aggressive,424026.98970860743
Section 7 conservative,401531.50055979466
Section 7 Bob,408258.3946719002
Section 8 aggressive,428129.046810497
Section 8 conservative,431044.5642742008
Section 8.1 aggressive,430913.41573519295
Section 8.1 conservative,456193.9246946127
Section 9 aggressive,371303.04512195196
Section 9 conservative,350348.7844456594
