date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,target_sigma,p_target
2019-09-19,1302.0424110349154,690.1426205832677,100000.0,0.6914343183751294,1,0.19744024846892383,0.009984433402818028,0.019505230839915715,0.6914343183751294
2019-09-20,1602.9684473976106,333.96402145997246,98644.01406452729,0.8503243164458746,1,0.19717946127996464,0.010011247321721812,0.023028709210606325,0.8503243164458746
2019-09-23,1602.8967443365132,334.0489135107436,99088.40162634902,0.8503218146888388,0,0.19716604252092754,0.01001328919491591,0.023028997327919885,0.8503218146888387
2019-09-24,1746.610647433679,165.2083966283121,98731.60466624798,0.9254875719308213,1,0.19722493983227518,0.010013075721865246,0.024786698724281696,0.9254875719308213
2019-09-25,1816.0078400004688,82.22458303504862,100120.20119995196,0.9635168938520818,1,0.19656807209937113,0.00999917422889046,0.025690706397867493,0.9635168938520818
2019-09-26,1850.8709987922603,40.91866752113849,99637.48748752724,0.9816823069354486,1,0.19675309096760463,0.009996759124398345,0.026125207612798122,0.9816823069354486
2019-09-27,1850.9853902959906,40.78359715741009,99158.83252382683,0.9816816269126184,0,0.19672327137000195,0.009998050725646199,0.02612473997517209,0.9816816269126185
2019-09-30,1867.8294387128135,20.475118910217034,101454.18297972351,0.9909899425014124,1,0.19569147436714837,0.010003049863863961,0.02635155467044896,0.9909899425014124
2019-10-01,1867.839300727408,20.463241411332927,101736.01963283953,0.9909854749406386,0,0.19529266479021737,0.009997521202546206,0.026350187047600712,0.9909854749406386
2019-10-02,1867.7954852070593,20.51621032752381,99182.36379428957,0.9909957714564307,0,0.19621181269101962,0.01013173203546779,0.026351122225477034,0.9909957714564307
2019-10-03,1876.3729980773712,10.206320847278288,100030.08096312446,0.9954949824605198,1,0.19569347571925857,0.010116018415815348,0.026458644156002794,0.9954949824605199
2019-10-04,1880.4852271187665,5.19021887054433,102827.32966463933,0.9977424097659658,1,0.19387903000449577,0.010153558917949062,0.026514342944058585,0.9977424097659658
2019-10-07,1882.5637749473833,2.622705169554111,102847.08161981094,0.9988734317974253,1,0.19546936504699616,0.01016868242355556,0.026541031377597783,0.9988734317974253
2019-10-08,1883.4868776347787,1.4897066486662396,101642.9826800514,0.9993560100968018,1,0.1951736184779928,0.010177078268492915,0.026554268123051315,0.9993560100968018
2019-10-09,1884.084800824435,0.7506743333816311,102833.77388272429,0.9996777498596339,1,0.19453577415468806,0.010174477732164615,0.026560240727269875,0.9996777498596339
2019-10-10,1884.379729828607,0.38005877585661996,104219.24893021202,0.999839525333842,1,0.19778714387627327,0.01016763792559552,0.026564138567494726,0.999839525333842
2019-10-11,1884.6723609645924,0.0,106990.74428452537,1.0,1,0.19839112247880344,0.010167382299407118,0.02656609271585764,1.0
2019-10-14,1884.6723609645924,0.0,106836.75335854766,1.0,1,0.1979877763394326,0.010157996739011105,0.026567969299638793,1.0
2019-10-15,1884.6723609645921,0.0,106587.63157059987,1.0,0,0.19812885991390886,0.01015858489886089,0.026567969299638793,1.0
2019-10-16,1884.6723609645924,0.0,106157.32833974792,1.0,1,0.19832506073457878,0.010154896917222923,0.026567969299638793,1.0
2019-10-17,1884.6723609645924,0.0,106569.52133470941,1.0,1,0.19794722625726646,0.010151471652982325,0.026567969299638793,1.0
2019-10-18,1884.6723609645921,0.0,107081.3529796137,1.0,1,0.19966001938479605,0.0101849777480568,0.026567969299638793,1.0
