x,normal_cdf,logistic_cdf
-0.6104950952776139,1.8437031348181157e-117,8.954685513656181e-25
-0.6094169446258684,4.694930684696115e-117,9.873013302321117e-25
-0.6083387939741227,1.1935854540816852e-116,1.0885518147918853e-24
-0.6072606433223771,3.0294514509852554e-116,1.2001858168347867e-24
-0.6061824926706315,7.676453579015512e-116,1.323268194823391e-24
-0.6051043420188859,1.9419740184167115e-115,1.458973011403458e-24
-0.6040261913671403,4.904699038367917e-115,1.6085947325951848e-24
-0.6029480407153947,1.236708874878349e-114,1.773560575492683e-24
-0.6018698900636491,3.1132124745265772e-114,1.9554441222539483e-24
-0.6007917394119034,7.824132959550345e-114,2.15598033024347e-24
-0.5997135887601579,1.9631336277098335e-113,2.3770820815063347e-24
-0.5986354381084122,4.9175602320295576e-113,2.620858429436797e-24
-0.5975572874566666,1.2298034407195414e-112,2.8896347166931473e-24
-0.596479136804921,3.0704916071424328e-112,3.1859747562604965e-24
-0.5954009861531754,7.653609949900594e-112,3.512705287243114e-24
-0.5943228355014298,1.9046314073057297e-111,3.8729429386654755e-24
-0.5932446848496842,4.731967658120586e-111,4.2701239584864886e-24
-0.5921665341979386,1.1737046061147127e-110,4.708036991405605e-24
-0.591088383546193,2.9064447420115627e-110,5.190859218124423e-24
-0.5900102328944474,7.18541005454871e-110,5.7231962007891425e-24
-0.5889320822427018,1.7734840000655115e-109,6.3101258146936666e-24
-0.5878539315909561,4.370078394065482e-109,6.957246685300278e-24
-0.5867757809392106,1.0750716800912854e-108,7.670731592611013e-24
-0.585697630287465,2.6404129959720636e-108,8.457386352305481e-24
-0.5846194796357194,6.474296027338961e-108,9.324714735301545e-24
-0.5835413289839737,1.584891371081762e-107,1.0280990044997502e-23
-0.5824631783322282,3.8734032333666394e-107,1.1335334034957893e-23
-0.5813850276804825,9.45087867237595e-107,1.2497803919827345e-23
-0.580306877028737,2.3021729014031515e-106,1.3779488309453227e-23
-0.5792287263769913,5.598735688803102e-106,1.519261298131999e-23
-0.5781505757252456,1.3593405629962805e-105,1.6750657500237145e-23
-0.5770724250735001,3.2949807115157168e-105,1.846848379770079e-23
-0.5759942744217545,7.973771223425123e-105,2.036247793742485e-23
-0.5749161237700089,1.9264643005647292e-104,2.2450706419318117e-23
-0.5738379731182632,4.646698189958588e-104,2.4753088512868797e-23
-0.5727598224665177,1.1189592638868849e-103,2.7291586263793054e-23
-0.571681671814772,2.690112259429222e-103,3.009041398639347e-23
-0.5706035211630265,6.456733381571912e-103,3.317626923993577e-23
-0.5695253705112808,1.5471828085415375e-102,3.6578587492296776e-23
-0.5684472198595352,3.701320925047231e-102,4.03298229000688e-23
-0.5673690692077896,8.840120668045608e-102,4.446575788344535e-23
-0.5662909185560441,2.1078805138582244e-101,4.902584444886872e-23
-0.5652127679042984,5.0178784367418014e-101,5.405358051525592e-23
-0.5641346172525528,1.192561101153013e-100,5.959692483352327e-23
-0.5630564666008072,2.8296160206369273e-100,6.570875445725887e-23
-0.5619783159490616,6.702869135330799e-100,7.24473691282758e-23
-0.560900165297316,1.5851864437953168e-99,7.987704738829909e-23
-0.5598220146455704,3.742711394130889e-99,8.806865972145366e-23
-0.5587438639938247,8.822236897563518e-99,9.710034457619869e-23
-0.5576657133420792,2.0761440542709113e-98,1.0705825371519304e-22
-0.5565875626903336,4.877784968427502e-98,1.180373740028536e-22
-0.555509412038588,1.1441269688468274e-97,1.3014243346949326e-22
-0.5544312613868423,2.679243619743986e-97,1.4348890029485085e-22
-0.5533531107350967,6.263781568875554e-97,1.5820408424014634e-22
-0.5522749600833511,1.4620001833474794e-96,1.7442835103505102e-22
-0.5511968094316055,3.4067846282113054e-96,1.923164613033786e-22
-0.5501186587798599,7.925530955173516e-96,2.120390467993489e-22
-0.5490405081281142,1.8407656271371903e-95,2.3378423803592836e-22
-0.5479623574763687,4.2683013512520404e-95,2.5775945883098864e-22
-0.5468842068246231,9.880936459692702e-95,2.8419340488914396e-22
-0.5458060561728775,2.2836397832580742e-94,3.1333822529260973e-22
-0.5447279055211318,5.269186391784658e-94,3.454719277100041e-22
-0.5436497548693863,1.213796824435132e-93,3.8090103026596656e-22
-0.5425716042176406,2.791482521894669e-93,4.1996348536736826e-22
-0.5414934535658951,6.409295810925656e-93,4.6303190337593545e-22
-0.5404153029141494,1.469170546965896e-92,5.105171068775106e-22
-0.5393371522624038,3.3621772936352795e-92,5.628720494513745e-22
-0.5382590016106582,7.681667689107537e-92,6.205961363202758e-22
-0.5371808509589127,1.752172799654574e-91,6.842399880950618e-22
-0.536102700307167,3.990110044923599e-91,7.544106930545207e-22
-0.5350245496554213,9.071504914978967e-91,8.317775980610066e-22
-0.5339463990036758,2.0590189390081328e-90,9.170786933505564e-22
-0.5328682483519301,4.6658189606126305e-90,1.011127652100929e-21
-0.5317900977001846,1.0555576902089656e-89,1.1148215919266971e-21
-0.5307119470484389,2.3840898553053146e-89,1.2291496323373581e-21
-0.5296337963966934,5.375883238877198e-89,1.3552023297862284e-21
-0.5285556457449477,1.2102179900867118e-88,1.4941820803099424e-21
-0.5274774950932022,2.7199690217277785e-88,1.6474145889872297e-21
-0.5263993444414565,6.10310574148805e-88,1.8163615156226698e-21
-0.5253211937897109,1.3671759872290152e-87,2.0026344172800434e-21
-0.5242430431379653,3.057627299034856e-87,2.208010120661283e-21
-0.5231648924862197,6.827021610505801e-87,2.4344476709654847e-21
-0.5220867418344741,1.5218246712686915e-86,2.68410701890002e-21
-0.5210085911827285,3.386761258022539e-86,2.959369624096758e-21
-0.5199304405309829,7.524734361276617e-86,3.2628611714653865e-21
-0.5188522898792373,1.6691078421399227e-85,3.597476617171788e-21
-0.5177741392274917,3.69627491047608e-85,3.966407803150652e-21
-0.5166959885757461,8.17204559186267e-85,4.373173903563234e-21
-0.5156178379240004,1.8037816092833759e-84,4.821654993622979e-21
-0.5145396872722549,3.97487790802892e-84,5.316129060997659e-21
-0.5134615366205092,8.744808528131283e-84,5.861312812833345e-21
-0.5123833859687636,1.9207175143171806e-83,6.462406667650921e-21
-0.511305235317018,4.2117576798577125e-83,7.125144361287056e-21
-0.5102270846652724,9.220404038714621e-83,7.85584764006112e-21
-0.5091489340135268,2.0152235604712608e-82,8.661486562878071e-21
-0.5080707833617812,4.397270916643391e-82,9.549745987478526e-21
-0.5069926327100356,9.579215302660425e-82,1.0529098875038836e-20
-0.5059144820582899,2.0833554521432507e-81,1.1608887112359269e-20
-0.5048363314065444,4.523593259687467e-81,1.2799410622592535e-20
-0.5037581807547987,9.80596789465719e-81,1.4112025614524466e-20
-0.5026800301030532,2.1221893847799143e-80,1.555925290758859e-20
-0.5016018794513075,4.585266359797234e-80,1.7154897365913228e-20
-0.500523728799562,9.890807942336858e-80,1.8914179580658432e-20
-0.4994455781478163,2.1300301250129326e-79,2.0853881056743766e-20
-0.4983674274960707,4.579589045537912e-79,2.2992504288873707e-20
