Date,price,macd,signal,cross_signal
2000-01-05,0.779037594795227,0.00089626298670753,0.000179252597341506,1.0
2000-01-06,0.7116212248802185,-0.0037896945295958773,-0.0006145368280459707,-1.0
2000-01-18,0.778569757938385,-0.00888300011235732,-0.0094909080525324,1.0
2000-02-01,0.7509475946426392,0.007407842349011706,0.009267036708661892,-1.0
2000-02-07,0.854413628578186,0.010553724643250662,0.007431003589145689,1.0
2000-02-25,0.8267916440963745,0.018397194082215962,0.020334544602276065,-1.0
2000-03-01,0.9761383533477783,0.025992434452540736,0.020542710491641428,1.0
2000-03-13,0.9087219834327698,0.02935850438854226,0.029575240596308644,-1.0
2000-03-21,1.010783314704895,0.026736653448732217,0.023793027834507752,1.0
2000-03-30,0.941962480545044,0.039298678730128045,0.04022684270409817,-1.0
2000-04-27,0.9494526386260986,-0.004791500626250111,-0.006330867365990425,1.0
2000-05-02,0.8829721808433533,-0.006183985769153244,-0.005469617605998309,-1.0
2000-06-02,0.693362832069397,-0.057234357146245696,-0.058455595718795585,1.0
2000-07-19,0.7893378138542175,0.025537583608067127,0.025602359641305604,-1.0
2000-08-17,0.7706114649772644,-0.014758482743873369,-0.0182597968620204,1.0
2000-09-12,0.8651818633079529,0.035081549648359855,0.03546229304286824,-1.0
2000-10-19,0.2837125360965729,-0.1267384574800552,-0.1267863871534853,1.0
2000-12-07,0.21442244946956635,-0.030635161274481792,-0.029947372525941058,-1.0
2000-12-11,0.2275312840938568,-0.029914591301471172,-0.030030811683541214,1.0
2001-02-08,0.31086650490760803,0.015533900774901743,0.016039711352270787,-1.0
2001-03-06,0.32210278511047363,0.003453354910523343,0.0018302959210918042,1.0
2001-03-12,0.27903029322624207,0.003507416414269049,0.003624934058039642,-1.0
2001-03-22,0.32397526502609253,0.0044804651087225755,0.003276210595247249,1.0
2001-04-03,0.3032260239124298,0.008065416233116407,0.008723889027018691,-1.0
2001-04-12,0.3358851969242096,0.005732279216718428,0.00541077601243034,1.0
2001-04-16,0.3212032616138458,0.005376631178439728,0.005403947045632218,-1.0
2001-04-18,0.3414281904697418,0.0053667888318277845,0.0051388982742036505,1.0
2001-05-08,0.3680955469608307,0.015680277291157285,0.016900812808769528,-1.0
2001-06-20,0.324648916721344,-0.009104702002197207,-0.010530966086735838,1.0
2001-07-10,0.3167089521884918,0.0025773908370699816,0.003599827449584412,-1.0
2001-07-12,0.36494946479797363,0.004384038822415948,0.003562465103930913,1.0
2001-07-18,0.31146538257598877,0.004742105685309361,0.005354811764270847,-1.0
2001-08-09,0.285398006439209,-0.012086958706880646,-0.012238575485329299,1.0
2001-08-21,0.26846855878829956,-0.011445456117862185,-0.011387995394994833,-1.0
2001-08-22,0.27281346917152405,-0.011108157120212403,-0.011332027740038348,1.0
2001-09-17,0.2545359432697296,-0.008490485159080408,-0.008069109141054156,-1.0
2001-10-04,0.23790594935417175,-0.012697549003643421,-0.012864512724227277,1.0
2001-10-31,0.2630748450756073,0.004507027791908147,0.004651865297459412,-1.0
2001-11-01,0.2785058915615082,0.00495393641330566,0.0047122795206286615,1.0
2001-12-12,0.3219524919986725,0.013747280289485797,0.013964606133295211,-1.0
