date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,trade_cash,trade_shares
2019-09-19,50000.5,941.5611843789126,53.103824615478516,100001.0,1,0,1,1,0.5,-50000.5,941.5611843789126
2019-09-20,25000.5000025,1419.330587151063,52.327545166015625,99270.58540715472,1,1,1,1,0.5,-25000.5000025,477.7694027721502
2019-09-23,25000.750007500028,1419.330587151063,52.56547546386719,99608.53716150543,1,0,-1,0,0.2,0.0,0.0
2019-09-24,20000.800012000083,1514.9083129590235,52.31553649902344,99254.0411512819,0,0,1,1,0.2,-5000.200003000021,95.57772580796068
2019-09-25,16000.800016000163,1590.2123705103154,53.120643615722656,100473.90462319214,0,0,1,1,0.2,-4000.2000040000407,75.3040575512918
2019-09-26,12800.768019200259,1650.7685482633515,52.84666442871094,100038.37953874392,0,0,1,1,0.2,-3200.1920048000648,60.55617775303601
2019-09-27,12800.896026880451,1650.7685482633515,52.58950424194336,99613.99559824266,0,0,0,0,0.2,0.0,0.0
2019-09-30,6400.51201792036,1769.6770011857116,53.82722473144531,101657.31366281387,0,1,1,1,0.5,-6400.51201792036,118.90845292236007
2019-10-01,6400.57602304054,1769.6770011857116,53.976226806640625,101921.06321353614,0,0,0,0,0.2,0.0,0.0
2019-10-02,6400.640028800771,1769.6770011857116,52.62316131591797,99526.63833926643,0,1,-1,0,0.2,0.0,0.0
2019-10-03,5120.563228160847,1793.7986627954172,53.07017517089844,100317.772484037,0,0,1,1,0.2,-1280.140807040212,24.121661609705594
2019-10-04,4096.491547034503,1812.569991184954,54.55782699584961,102986.37154397187,0,1,0,1,0.2,-1024.1228867586258,18.77132838953674
2019-10-07,3277.226009559979,1827.58389622274,54.569847106933594,103008.19980152888,1,0,0,1,0.2,-819.3065023899949,15.013905037785868
2019-10-08,1638.6293909100375,1857.9679495463593,53.930572509765625,101839.90461474052,1,1,1,1,0.5,-1638.6293909100375,30.38405332361933
2019-10-09,1310.9166217631573,1863.9744252499447,54.56263732910156,103014.27717739642,1,0,0,1,0.2,-327.7291554407893,6.006475703585382
2019-10-10,1048.7437847434999,1868.715748796311,55.29804992675781,104385.08056060052,1,0,0,1,0.2,-262.185946185875,4.7413235463662815
2019-10-11,524.3771360906737,1877.9528010452764,56.768882751464844,107133.65951141495,1,1,1,1,0.5,-524.3771360906737,9.23705224896544
2019-10-14,419.50590388962775,1879.8028927914868,56.68717575073242,106980.22286429585,1,0,0,1,0.2,-104.87647597240694,1.8500917462103743
2019-10-15,419.51009894866667,1879.8028927914868,56.55499267578125,106731.74893268361,1,0,-1,0,0.2,0.0,0.0
2019-10-16,209.7571470248281,1883.5268325674322,56.32667541503906,106302.5616805672,1,0,1,1,0.5,-209.7571470248281,3.723939775945369
2019-10-17,167.8073956770387,1884.2687472270763,56.54538345336914,106714.50623683156,1,0,0,1,0.2,-41.951848919259675,0.7419146596442447
2019-10-18,134.2472590007964,1884.8594478755408,56.816959381103516,107226.2299480346,1,0,0,1,0.2,-33.5618147501991,0.5907006484645017
2019-10-21,67.1243007366932,1886.0207215277687,57.802310943603516,109083.48049256424,1,1,0,1,0.5,-67.1243007366932,1.1612736522279352
2019-10-22,53.69997758376046,1886.2535109111823,57.67013168334961,108834.18834001217,1,0,0,1,0.2,-13.424994395940116,0.23278938341346203
2019-10-23,26.85025729176815,1886.7129293317118,58.44401550292969,110293.92994873221,1,0,1,1,0.5,-26.85025729176815,0.459418420529681
2019-10-24,21.480420635472854,1886.804663060396,58.540138244628906,110475.28623680152,1,0,0,1,0.2,-5.370105158868213,0.0917337286841977
2019-10-25,10.740317719839604,1886.9859001965535,59.261131286621094,111835.65948527069,1,0,1,1,0.5,-10.740317719839604,0.1812371361574793
2019-10-28,8.592340098413443,1887.021788494551,59.8547477722168,112955.80553111719,1,0,0,1,0.2,-2.1480850246033607,0.035888297997313634
2019-10-29,4.296213010907214,1887.095265170595,58.47043228149414,110343.5721238964,1,1,1,1,0.5,-4.296213010907214,0.07347667604412363
2019-10-30,2.1481279865186615,1887.1320084018812,58.46323013305664,110329.98102664309,1,0,1,1,0.5,-2.1481279865186615,0.03674323128622436
2019-10-31,1.0740747338992633,1887.1499740071106,59.785057067871094,112824.44296638046,1,1,1,1,0.5,-1.0740747338992633,0.017965605229412394
2019-11-01,0.859268379717282,1887.1534680011273,61.481815338134766,116026.48030274564,1,1,-1,1,0.2,-0.2148170949293205,0.0034939940167329096
2019-11-04,0.8592769724010793,1887.1534680011273,61.88557052612305,116788.42831457386,1,0,-1,0,0.2,0.0,0.0
2019-11-05,0.8592855651708033,1887.1534680011273,61.79664611816406,116620.61431829688,1,0,-1,0,0.2,0.0,0.0
2019-11-06,0.4296470790132276,1887.1604176253027,61.82306671142578,116670.47404109025,1,0,1,1,0.5,-0.4296470790132276,0.0069496241753698495
2019-11-07,0.34372110038721415,1887.1617917051665,62.53659439086914,118017.01523891227,1,0,0,1,0.2,-0.08593027509680355,0.001374079863698975
2019-11-08,0.2749796300785744,1887.1628879796315,62.7077522277832,118340.0177725246,1,0,0,1,0.2,-0.06874490751964361,0.0010962744649167253
2019-11-11,0.1374911899374376,1887.1650633242205,63.20432662963867,119277.1345575767,1,0,1,1,0.5,-0.1374911899374376,0.0021753445890358284
2019-11-12,0.1099940518794696,1887.1654987962534,63.14645004272461,119167.91188614296,1,0,0,1,0.2,-0.0274985129698674,0.00043547203288960863
2019-11-13,0.054997575909994205,1887.1663614828842,63.75151062011719,120309.76133357991,1,0,1,1,0.5,-0.054997575909994205,0.0008626866308739573
2019-11-14,0.054998125885753306,1887.1663614828842,63.310386657714844,119477.28703104015,1,0,-1,0,0.2,0.0,0.0
2019-11-15,0.05499867586701217,1887.1663614828842,64.06245422363281,120896.56364355283,1,0,-1,0,0.2,0.0,0.0
2019-11-18,0.04399938068301667,1887.1665323264453,64.38548278808594,121506.17228473685,1,0,0,1,0.2,-0.010999845170754169,0.00017084356122572416
2019-11-19,0.0351998565414588,1887.166669418414,64.19022369384766,121137.68585739798,1,0,0,1,0.2,-0.0087999641353647,0.00013709196866700026
2019-11-20,0.017600104270012108,1887.1669468346427,63.44295120239258,119727.4581189027,0,1,1,1,0.5,-0.017600104270012108,0.00027741622885519814
2019-11-21,0.01760028027105481,1887.1669468346427,63.158538818359375,119190.7244686608,0,0,0,0,0.2,0.0,0.0
2019-11-22,23817.22148806299,1509.733557467714,63.103065490722656,119086.03703848984,0,0,-1,-1,0.2,23817.203887606716,-377.43338936692857
2019-11-25,19053.9677282223,1583.920260846499,64.20951080322266,120756.71282848883,0,1,0,1,0.2,-4763.491932055575,74.18670337878507
2019-11-26,15243.326614319663,1643.7373100228212,63.7081184387207,119962.73784339773,0,0,1,1,0.2,-3810.8316535799163,59.817049176322215
2019-11-27,15243.479047585808,1643.7373100228212,64.5638427734375,121369.47629273233,0,0,0,0,0.2,0.0,0.0
2019-11-29,15243.631482376284,1643.7373100228212,64.42161560058594,121135.84461700762,0,0,0,0,0.2,0.0,0.0
2019-12-02,7621.891959345555,1763.4338828093585,63.67677688598633,119911.67786818564,0,1,1,1,0.5,-7621.891959345555,119.69657278653725
2019-12-03,3810.9840891325744,1824.3692488855352,62.54141616821289,117909.62052817279,0,1,1,1,0.5,-3810.9840891325744,60.93536607617679
2019-12-04,3048.8177591787726,1836.4498157363284,63.09343338012695,118916.74186428523,0,0,1,1,0.2,-762.2044397946933,12.080566850793238
2019-12-05,2439.0785978850918,1845.974625623876,64.01908874511719,120616.69197693448,0,0,1,1,0.2,-609.7696494712729,9.524809887547498
2019-12-06,1219.5514943355354,1864.6634485619315,65.25566101074219,122899.39739281444,0,1,1,1,0.5,-1219.5514943355354,18.688822938055544
2019-12-09,609.7818449252394,1874.140631083012,64.34210205078125,121195.92958758397,0,1,1,1,0.5,-609.7818449252394,9.477182521080461
2019-12-10,487.830354194951,1876.025073651441,64.71812438964844,121900.65442886829,0,0,1,1,0.2,-121.95758854873776,1.8844425684290178
2019-12-11,390.26818599879437,1877.5198928062678,65.27013397216797,122936.24312487434,0,0,1,1,0.2,-97.5670464996986,1.494819154826654
2019-12-12,24961.926928602617,1502.0159142450143,65.43647003173828,123248.54628829047,0,0,-1,-1,0.2,24571.654839921965,-375.5039785612536
2019-12-13,44886.703220374315,1201.6127313960114,66.3259506225586,124584.80991038393,0,0,-1,-1,0.2,19924.526672502405,-300.40318284900286
2019-12-16,22443.576043703262,1534.3008395544616,67.46131134033203,125949.52267061961,1,1,0,1,0.5,-22443.576043703262,332.6881081584501
2019-12-17,17955.040383570962,1600.7086134909823,67.5938949584961,126153.17026304035,1,0,0,1,0.2,-4488.7600958927405,66.40777393652078
2019-12-18,17955.2199339748,1600.7086134909823,67.43238830566406,125894.82472311986,1,0,-1,0,0.2,0.0,0.0
2019-12-19,8977.69974308707,1733.7118432435914,67.49986267089844,126003.01107293968,1,0,1,1,0.5,-8977.69974308707,133.00322975260914
2019-12-20,7182.231616067601,1760.3679514280882,67.36009216308594,125760.77906520641,1,0,0,1,0.2,-1795.5579040169005,26.656108184496897
2019-12-23,5745.84275070701,1781.3506507389134,68.45928955078125,127695.84274111489,1,0,0,1,0.2,-1436.4606876767525,20.982699310825083
2019-12-24,4596.720167307614,1798.1210339269855,68.52437591552734,127811.84183773707,1,0,0,1,0.2,-1149.1800418269036,16.770383188072262
2019-12-26,2298.3830672546437,1831.0096205844586,69.8839111328125,130256.49667550369,1,1,1,1,0.5,-2298.3830672546437,32.88858665747297
2019-12-27,1838.724840868253,1837.5899015180635,69.85738372802734,130207.94772596359,1,0,0,1,0.2,-459.6812102170633,6.580280933604954
2019-12-30,919.3716140583309,1850.6729413191745,70.27201843261719,130969.89465918523,1,0,1,1,0.5,-919.3716140583309,13.083039801110921
2019-12-31,459.6904038872358,1857.1670771858908,70.78546142578125,131920.11890726004,1,0,1,1,0.5,-459.6904038872358,6.494135866716394
2020-01-02,229.84750039563735,1860.3417436021653,72.40052032470703,134919.5577189651,1,1,0,1,0.5,-229.84750039563735,3.17466641627437
2020-01-03,114.92489943532067,1861.9446764510665,71.69664001464844,133610.10209413848,1,1,0,1,0.5,-114.92489943532067,1.6029328489011507
2020-01-06,57.46302434215752,1862.7398147760505,72.26795959472656,134673.86869406622,1,0,1,1,0.5,-57.46302434215752,0.7951383249839342
2020-01-07,28.731799486200472,1863.1392667792697,71.92803955078125,134040.68666899911,1,0,1,1,0.5,-28.731799486200472,0.3994520032193537
2020-01-08,14.366043402097668,1863.3358327105398,73.08511352539062,136196.47691298017,1,0,1,1,0.5,-14.366043402097668,0.19656593127007646
2020-01-09,7.183093531265845,1863.432072453631,74.63749694824219,139089.08871454577,1,1,0,1,0.5,-7.183093531265845,0.09623974309115703
2020-01-10,5.746532289760927,1863.4512771789407,74.80622863769531,139403.50882814292,1,0,0,1,0.2,-1.4366330724402316,0.019204725309682348
2020-01-13,2.8732948775419125,1863.4888835717422,76.40442657470703,142381.6728725175,1,1,1,1,0.5,-2.8732948775419125,0.0376063928015015
2020-01-14,2.2986588883925507,1863.4965078791752,75.37271118164062,140459.08273526136,1,1,-1,1,0.2,-0.5746647220981377,0.007624307432875192
2020-01-15,1.1493409374907173,1863.511822278658,75.04969024658203,139857.1343737944,1,0,1,1,0.5,-1.1493409374907173,0.015314399482722202
2020-01-16,0.5746762154500461,1863.5193848220722,75.98980712890625,141609.05330982275,1,0,1,1,0.5,-0.5746762154500461,0.007562543414213264
2020-01-17,0.5746819622122007,1863.5193848220722,76.8310775756836,143176.777101017,1,0,-1,0,0.2,0.0,0.0
2020-01-21,0.5746877090318229,1863.5193848220722,76.31040954589844,142206.5021402021,1,0,-1,0,0.2,0.0,0.0
2020-01-22,0.2873467279544566,1863.5231369272594,76.58280181884766,142714.11042686555,1,0,1,1,0.5,-0.2873467279544566,0.0037521051871954128
2020-01-23,0.22987968113738894,1863.5238837593063,76.95159912109375,143401.372735311,1,0,0,1,0.2,-0.057469920284347234,0.0007468320469066606
2020-01-24,28597.811783059726,1490.819107007445,76.72985076904297,142988.13938737888,0,0,-1,-1,0.2,28597.581901079793,-372.7047767518613
2020-01-27,14299.04888058878,1682.8207205949739,74.47358703613281,139624.7442820263,0,1,1,1,0.5,-14299.04888058878,192.001613587529
2020-01-28,11439.35349686207,1720.1649850924357,76.58039093017578,143170.2605196408,0,1,0,1,0.2,-2859.8383742155174,37.34426449746191
2020-01-29,5719.73394519852,1793.3228969096244,78.18339538574219,145927.80704858826,0,1,1,1,0.5,-5719.73394519852,73.15791181718863
2020-01-30,5719.7911425379725,1793.3228969096244,78.0700912475586,145724.67334060848,0,0,0,0,0.2,0.0,0.0
2020-01-31,2859.924170224699,1831.6552646637558,74.60859680175781,139517.15329133984,0,1,1,1,0.5,-2859.924170224699,38.33236775413149
2020-02-03,2859.9527694664016,1831.6552646637558,74.40367126464844,139141.82895167114,0,0,0,0,0.2,0.0,0.0
2020-02-04,73250.49374899906,915.8276323318779,76.86000061035156,143641.006129004,0,-1,-1,-1,0.5,70390.51238000496,-915.8276323318779
2020-02-05,58600.98100314924,1104.8953476872734,77.48676300048828,144215.7449497351,0,0,1,1,0.2,-14650.24525078731,189.06771535539548
2020-02-06,58601.567012959276,1104.8953476872734,78.39312744140625,145217.76881362457,0,0,0,0,0.2,0.0,0.0
2020-02-07,29301.076514314704,1483.8169770025504,77.3275375366211,144040.98950095507,0,1,1,1,0.5,-29301.076514314704,378.92162931527696
2020-02-10,23441.09562006388,1559.243816754946,77.69480895996094,144586.24608483975,0,0,1,1,0.2,-5860.27390501597,75.42683975239568
2020-02-11,23441.330031020083,1559.243816754946,77.22605895996094,143855.58495669207,0,0,0,0,0.2,0.0,0.0
2020-02-12,23441.564444320396,1559.243816754946,79.05999755859375,146715.37679021884,0,1,-1,0,0.2,0.0,0.0
2020-02-13,18753.439087971874,1618.970408937238,78.49702453613281,145837.79900159122,0,0,1,1,0.2,-4688.3597719929685,59.72659218229194
2020-02-14,18753.626622362754,1618.970408937238,78.51634979248047,145869.2735541541,0,0,0,0,0.2,0.0,0.0
2020-02-18,18753.81415862898,1618.970408937238,77.07865142822266,143541.86998170943,0,1,-1,0,0.2,0.0,0.0
2020-02-19,44073.07241226753,1295.1763271497905,78.19497680664062,145349.3552742554,0,0,-1,-1,0.2,25319.070715496964,-323.7940817874476
2020-02-20,44073.51314299166,1295.1763271497905,77.39278411865234,144310.81502568442,0,1,-1,0,0.2,0.0,0.0
2020-02-21,22036.976939061544,1586.5128532110584,75.6409683227539,142042.34541244112,0,1,1,1,0.5,-22036.976939061544,291.33652606126805
2020-02-24,11018.598654415468,1739.446915953982,72.04803466796875,136342.3303581593,0,1,1,1,0.5,-11018.598654415468,152.9340627429236
2020-02-25,8814.96707232161,1771.1064269351507,69.60757446289062,132097.38956691427,-1,1,1,1,0.2,-2203.7417680804024,31.65951098116868
2020-02-26,71434.14363189896,885.5532134675753,70.71183013916016,134053.23204180558,-1,0,-1,-1,0.5,62619.088409906624,-885.5532134675753
2020-02-27,57147.88637866823,1101.729305781997,66.08950805664062,129960.63420938459,-1,1,1,1,0.2,-14286.971594667057,216.17609231442165
2020-02-28,93533.54057163023,550.8646528909985,66.05085754394531,129918.62328572845,-1,0,-1,-1,0.5,36385.08271409822,-550.8646528909985
2020-03-02,74827.58072562877,809.9620589284928,72.20024108886719,133307.0366531012,-1,1,1,1,0.2,-18706.89518140719,259.0974060374942
2020-03-03,86152.76799764062,647.9696471427942,69.90721893310547,131450.52398245904,-1,1,-1,-1,0.2,11324.438996204603,-161.99241178569855
2020-03-04,109853.065484153,323.9848235713971,73.14983367919922,133552.5014429854,-1,-1,-1,-1,0.5,23699.4359588324,-323.9848235713971
2020-03-05,114440.30425205236,259.1878588571177,70.77708435058594,132784.86520103033,-1,1,-1,-1,0.2,4586.140237244495,-64.79696471427943
2020-03-06,118061.63616929378,207.35028708569416,69.8371353149414,132542.38622608935,-1,1,-1,-1,0.2,3620.1875141988926,-51.83757177142354
2020-03-09,94450.25342852439,574.4976627778458,64.31358337402344,131398.25676176898,-1,1,1,1,0.2,-23612.563357131097,367.14737569215157
2020-03-10,114255.72412246767,287.2488313889229,68.94554138183594,134060.25031387666,-1,-1,-1,-1,0.5,19804.526191408997,-287.2488313889229
