date,N_risky,N_safe,wealth,p_curr,signal,trade_risky,trade_safe
2019-09-19,1127.4519840515386,897.5085744786044,100000.0,0.5987201242344619,1,755.6515536709092,-897.5085744786044
2019-09-20,1506.5928119734972,448.7542872393022,98675.8122127045,0.7989425336109622,1,379.14082792195865,-448.7542872393022
2019-09-23,1506.5928119734972,448.7542872393022,99118.92100541097,0.7989873849364062,0,0.0,0.0
2019-09-24,1697.5784573078295,224.3771436196511,98801.24424252147,0.8988725640463369,1,190.9856453343324,-224.3771436196511
2019-09-25,1791.398825215235,112.18857180982555,100144.05689538803,0.9502337084994327,1,93.82036790740565,-112.18857180982555
2019-09-26,1838.7437145000772,56.09428590491277,99673.49152703756,0.9748978445711234,1,47.34488928484203,-56.09428590491277
2019-09-27,1838.7437145000772,56.09428590491277,99196.95956121394,0.9748143572271112,0,0.0,0.0
2019-09-30,1862.006286323253,28.047142952456387,101478.79050664314,0.9876608730247379,1,23.262571823175975,-28.047142952456387
2019-10-01,1862.006286323253,28.047142952456387,101761.06353924933,0.9876476338831701,0,0.0,0.0
2019-10-02,1862.006286323253,28.047142952456387,99205.53568702242,0.9876934436962046,0,0.0,0.0
2019-10-03,1873.6734690855483,14.023571476228193,100055.3586503809,0.993811631467841,1,11.667182762295262,-14.023571476228193
2019-10-04,1879.4217710694506,7.011785738114097,102850.782703398,0.9969507780406296,1,5.748301983902302,-7.011785738114097
2019-10-07,1882.259990007691,3.5058928690570483,102869.52104373382,0.998494392003148,1,2.838218938240259,-3.5058928690570483
2019-10-08,1883.6881909583026,1.7529464345285242,101665.40626319146,0.9992423804934584,1,1.4282009506117124,-1.7529464345285242
2019-10-09,1884.3973124011357,0.8764732172642621,102856.37867658446,0.9996238294930716,1,0.7091214428330713,-0.8764732172642621
2019-10-10,1884.7460529867676,0.43823660863213104,104242.06601163775,0.9998150010350562,1,0.34874058563197674,-0.43823660863213104
2019-10-11,1884.914765939554,0.21911830431606552,107014.08298996271,0.9999105010708144,1,0.16871295278643392,-0.21911830431606552
2019-10-14,1884.9992440045532,0.10955915215803276,106860.07225780154,0.9999551860408055,1,0.08447806499923172,-0.10955915215803276
2019-10-15,1884.9992440045532,0.10955915215803276,106610.92613079562,0.9999549043194783,0,0.0,0.0
2019-10-16,1885.0419049206203,0.05477957607901638,106180.54646978292,0.9999773692295613,1,0.042660916067043274,-0.05477957607901638
2019-10-17,1885.0632720415736,0.02738978803950819,106592.83376350108,0.9999886651662693,1,0.021367120953318147,-0.02738978803950819
2019-10-18,1885.0741002267532,0.013694894019754095,107104.79380751122,0.9999942558634806,1,0.010828185179655161,-0.013694894019754095
2019-10-21,1885.0793685938202,0.0068474470098770475,108962.24834062313,0.9999972052357949,1,0.00526836706692136,-0.0068474470098770475
2019-10-22,1885.0819903142058,0.0034237235049385238,108713.0778102909,0.9999986092293317,1,0.002621720385612293,-0.0034237235049385238
2019-10-23,1885.083302792858,0.0017118617524692619,110171.91447926238,0.9999993037561065,1,0.001312478652211064,-0.0017118617524692619
2019-10-24,1885.083957595055,0.0008559308762346309,110353.11381255783,0.9999996526404211,1,0.0006548021970488879,-0.0008559308762346309
2019-10-25,1885.0842759195823,0.00042796543811731547,111712.24562588704,0.9999998311351499,1,0.00031832452735515177,-0.00042796543811731547
2019-10-28,1885.0844329756396,0.00021398271905865774,112831.26266563992,0.9999999166848755,1,0.00015705605724834103,-0.00021398271905865774
2019-10-29,1885.0845131227634,0.00010699135952932887,110221.71105567487,0.9999999574835399,1,8.014712380613679e-05,-0.00010699135952932887
2019-10-30,1885.0845535989702,5.3495679764664434e-05,110208.13444369673,0.9999999785281748,1,4.047620683420238e-05,-5.3495679764664434e-05
2019-10-31,1885.0845735693977,2.6747839882332217e-05,112699.89000254305,0.999999989406084,1,1.9970427589198054e-05,-2.6747839882332217e-05
2019-11-01,1885.084583184496,1.3373919941166108e-05,115898.42283126763,0.999999994899381,1,9.615098308238854e-06,-1.3373919941166108e-05
2019-11-04,1885.084583184496,1.3373919941166108e-05,116659.53550318966,0.9999999950041095,0,0.0,0.0
2019-11-05,1885.084583184496,1.3373919941166108e-05,116491.9054647808,0.999999995064707,0,0.0,0.0
