window_h,pJ_count_non_na,pJ_mean,pJ_std,pJ_last,wealth_last,rolling_sharpe_mean,rolling_sharpe_last
30,4929,0.16622894434075544,0.14595548988310983,0.02310699061878694,6.062100461393989,0.9580944242688593,1.036150963048517
100,4859,0.14912148254721913,0.10358270543406575,0.21126113412885514,6.148552954911431,0.9443784880741799,1.6005750871934283
300,4659,0.14086452364410196,0.07376988096860933,0.1967879648519658,6.88807623140007,0.9675410292404681,1.5278162281236716
inf,4957,0.13968981698684177,0.025755125800875765,0.1378476300915414,4.4482248779601985,0.8486478471435246,1.424674242422036
