Date,price,ema_fast,ema_slow,macd,signal,hist,macd_above_signal,macd_above_zero,cross_signal,cross_zero
2005-11-21,1.9463963508605957,1.8692871040260473,1.7877339286812275,0.08155317534481976,0.07335800198200759,0.00819517336281217,1,1,0.0,0.0
2005-11-22,1.9931390285491943,1.8883412462603775,1.8029491212640398,0.08539212499633764,0.0757648265848736,0.009627298411464036,1,1,0.0,0.0
2005-11-23,2.010817766189575,1.9071837877879463,1.8183467986659312,0.0888369891220151,0.07837925909230191,0.010457730029713189,1,1,0.0,0.0
2005-11-25,2.0776352882385254,1.933407095549574,1.8375533534490862,0.0958537421004877,0.08187415569393908,0.013979586406548616,1,1,0.0,0.0
2005-11-28,2.0872230529785156,1.9570710890001803,1.856047405266081,0.10102368373409942,0.08570406130197115,0.015319622432128269,1,1,0.0,0.0
2005-11-29,2.0404813289642334,1.9699034336100345,1.86970917739187,0.10019425621816458,0.08860210028520984,0.011592155932954734,1,1,0.0,0.0
2005-11-30,2.0320913791656494,1.9794708098493599,1.8817374886343723,0.09773332121498757,0.09042834447116539,0.007304976743822175,1,1,0.0,0.0
2005-12-01,2.145350694656372,2.0049907921273618,1.9012643927841502,0.1037263993432116,0.09308795544557463,0.010638443897636962,1,1,0.0,0.0
2005-12-02,2.1762137413024902,2.031332784308151,1.921631011192916,0.10970177311523477,0.09641071897950666,0.013291054135728106,1,1,0.0,0.0
2005-12-05,2.1519432067871094,2.0498882339202984,1.938691173829523,0.11119706009077546,0.09936798720176042,0.011829072889015038,1,1,0.0,0.0
2005-12-06,2.2187604904174805,2.0758685810737108,1.9594370491323347,0.11643153194137601,0.10278069614968355,0.013650835791692462,1,1,0.0,0.0
2005-12-07,2.2157645225524902,2.0973910336089077,1.9784242693856795,0.11896676422322816,0.10601790976439247,0.012948854458835687,1,1,0.0,0.0
2005-12-08,2.219658851623535,2.1162014671496197,1.9962934976995947,0.11990796945002491,0.10879592170151897,0.011112047748505938,1,1,0.0,0.0
2005-12-09,2.2271509170532227,2.1332706132886354,2.013394047281345,0.11987656600729046,0.11101205056267328,0.00886451544461718,1,1,0.0,0.0
2005-12-12,2.2445292472839355,2.150387326210989,2.030515173207463,0.11987215300352627,0.11278407105084388,0.007088081952682387,1,1,0.0,0.0
2005-12-13,2.246626853942871,2.1651934074005097,2.0465234458545303,0.11866996154597942,0.113961249149871,0.004708712396108414,1,1,0.0,0.0
2005-12-14,2.1576361656188965,2.164030754818723,2.0547540176889276,0.10927673712979535,0.11302434674585587,-0.003747609616060521,0,1,-1.0,0.0
2005-12-15,2.162729263305664,2.1638305253551753,2.062752184030908,0.1010783413242673,0.11063514566153818,-0.00955680433727088,0,1,0.0,0.0
2005-12-16,2.130669593811035,2.1587288435791536,2.0677831032738805,0.09094574030527314,0.10669726459028517,-0.01575152428501203,0,1,0.0,0.0
2005-12-19,2.138759136199951,2.15565658090543,2.0730405871943303,0.08261599371109973,0.10188101041444808,-0.019265016703348348,0,1,0.0,0.0
2005-12-20,2.160632610321045,2.156422123892448,2.0795288852037164,0.07689323868873155,0.09688345606930479,-0.019990217380573244,0,1,0.0,0.0
2005-12-21,2.2022812366485596,2.163477372008773,2.0886216519774083,0.07485572003136465,0.09247790886171676,-0.017622188830352117,0,1,0.0,0.0
2005-12-22,2.217860698699951,2.1718440376535697,2.0981949146975967,0.07364912295597303,0.08871215168056802,-0.015063028724594987,0,1,0.0,0.0
2005-12-23,2.1977860927581787,2.175835123054279,2.1055720389983805,0.07026308405589843,0.0850223381556341,-0.014759254099735677,0,1,0.0,0.0
2005-12-27,2.224154233932495,2.1832688324201586,2.1143559052897962,0.06891292713036234,0.08180045595057976,-0.012887528820217417,0,1,0.0,0.0
2005-12-28,2.2043778896331787,2.1865163796837,2.1210242004263433,0.06549217925735684,0.07853880061193519,-0.013046621354578347,0,1,0.0,0.0
2005-12-29,2.1408565044403076,2.179491783492409,2.1224932599829334,0.05699852350947543,0.07423074519144324,-0.017232221681967808,0,1,0.0,0.0
2005-12-30,2.154040813446045,2.175576249639122,2.1248301157950156,0.050746133844106645,0.06953382292197592,-0.018787689077869277,0,1,0.0,0.0
2006-01-03,2.2397356033325195,2.1854469194381063,2.133341633390386,0.052105286047720245,0.0660481155471248,-0.01394282949940455,0,1,0.0,0.0
2006-01-04,2.246326208114624,2.1948129638498783,2.141710861147737,0.05310210270214144,0.06345891297812813,-0.010356810275986686,0,1,0.0,0.0
2006-01-05,2.228649377822876,2.2000185659995704,2.148150751271821,0.05186781472774937,0.06114069332805238,-0.009272878600303007,0,1,0.0,0.0
2006-01-06,2.2861766815185547,2.2132736606947985,2.1583748942530603,0.05489876644173819,0.05989230795078954,-0.004993541509051354,0,1,0.0,0.0
2006-01-09,2.2786858081817627,2.223337068000485,2.1672868138033343,0.05605025419715082,0.0591238972000618,-0.003073643002910985,0,1,0.0,0.0
2006-01-10,2.4228081703186035,2.2540249298955803,2.1862143216933543,0.06781060820222606,0.060861239400494656,0.006949368801731408,1,1,1.0,0.0
2006-01-11,2.5138964653015137,2.294005166111878,2.2104870730717363,0.08351809304014157,0.06539261012842404,0.018125482911717533,1,1,0.0,0.0
2006-01-12,2.5255815982818604,2.329632309522644,2.2338274082724863,0.09580490125015784,0.0714750683527708,0.024329832897387035,1,1,0.0,0.0
2006-01-13,2.5645339488983154,2.3657710232727474,2.258324189059585,0.10744683421316248,0.07866942152484914,0.02877741268831334,1,1,0.0,0.0
2006-01-17,2.5381662845611572,2.3922933711632717,2.2790532331708127,0.11324013799245902,0.08558356481837112,0.0276565731740879,1,1,0.0,0.0
2006-01-18,2.471647262573242,2.404501662149421,2.293319457570993,0.11118220457842787,0.09070329277038248,0.020478911808045383,1,1,0.0,0.0
2006-01-19,2.3682754039764404,2.3989283916612703,2.2988717498973226,0.10005664176394768,0.09257396256909553,0.007482679194852154,1,1,0.0,0.0
2006-01-20,2.2798843383789062,2.380613921925522,2.2974652749700324,0.08314864695548962,0.09068889944637436,-0.007540252490884733,0,1,-1.0,0.0
2006-01-23,2.327225923538208,2.372400383712089,2.299669767456564,0.07273061625552524,0.08709724280820454,-0.014366626552679299,0,1,0.0,0.0
2006-01-24,2.2783865928649902,2.357936723581766,2.2980932360053363,0.059843487576429766,0.08164649176184959,-0.02180300418541982,0,1,0.0,0.0
