label,count,mean,std,min,max
D,1558,0.0011345098214395025,0.0322730886967177,-0.731247968273122,0.13019440247161856
U,1798,-0.00031580588463730563,0.02619525636132441,-0.19747015055091216,0.12360850690082593
H,1601,0.0018410178044618996,0.019999011306495285,-0.17208069943296972,0.11180905629247713
