Date,price,ema_fast,ema_slow,macd,signal,hist,macd_above_signal,macd_above_zero,cross_signal,cross_zero
2000-01-04,13.536971092224121,13.536971092224121,13.536971092224121,0.0,0.0,0.0,0,0,,
2000-01-05,13.656902313232422,13.555422049302322,13.545854886372885,0.0095671629294376,0.0019134325858875202,0.00765373034355008,1,1,1.0,1.0
2000-01-06,13.671890258789062,13.573340235377206,13.555190839885196,0.01814939549201,0.005160625167112017,0.012988770324897984,1,1,0.0,0.0
2000-01-07,14.571354866027832,13.726880947784995,13.630462249229096,0.09641869855589924,0.023412239844869464,0.07300645871102977,1,1,0.0,0.0
2000-01-10,14.106635093688965,13.78530466253945,13.665734311781678,0.11957035075777256,0.04264386202745009,0.07692648873032247,1,1,0.0,0.0
2000-01-11,14.586338996887207,13.908540713977569,13.733927251419125,0.1746134625584439,0.06903778213364886,0.10557568042479504,1,1,0.0,0.0
2000-01-12,14.75124454498291,14.03818745720916,13.809284087979405,0.22890336922975507,0.10101089955287011,0.12789246967688495,1,1,0.0,0.0
2000-01-13,14.526383399963379,14.113294525325195,13.862402555533773,0.2508919697914216,0.1309871136005804,0.11990485619084118,1,1,0.0,0.0
2000-01-14,14.646308898925781,14.195296736648361,13.92046969208133,0.2748270445670311,0.15975509979387056,0.11507194477316054,1,1,0.0,0.0
2000-01-18,15.59074592590332,14.40998122730297,14.044193857549626,0.3657873697533436,0.2009615537857652,0.1648258159675784,1,1,0.0,0.0
2000-01-19,15.650704383850098,14.600861712925605,14.163194637275586,0.43766707565001894,0.24830265815861596,0.18936441749140298,1,1,0.0,0.0
2000-01-20,15.80063247680664,14.785441830445764,14.2844863290927,0.5009555013530633,0.29883322679750546,0.20212227455555787,1,1,0.0,0.0
2000-01-21,16.04047203063965,14.978523399706361,14.414559344022106,0.5639640556842558,0.35185939257485555,0.21210466310940024,1,1,0.0,0.0
2000-01-24,15.56076431274414,15.068098924789098,14.499463415779294,0.5686355090098036,0.39521461586184514,0.1734208931479585,1,1,0.0,0.0
2000-01-25,15.80063247680664,15.180796394330258,14.595846309188726,0.5849500851415321,0.43316170971778256,0.15178837542374957,1,1,0.0,0.0
2000-01-26,15.126023292541504,15.172369763285834,14.635118678325968,0.5372510849598662,0.45397958476619926,0.08327150019366691,1,1,0.0,0.0
2000-01-27,14.271526336669922,15.033778466883385,14.608185912277373,0.42559255460601264,0.44830217873416195,-0.02270962412814931,0,1,-1.0,0.0
2000-01-28,13.656902313232422,14.821951366321699,14.537720460496265,0.2842309058254333,0.41548792415241625,-0.13125701832698294,0,1,0.0,0.0
2000-01-31,13.776825904846191,14.661162833787007,14.481357900818482,0.1798049329685245,0.3683513259156379,-0.1885463929471134,0,1,0.0,0.0
2000-02-01,13.941730499267578,14.550480936168633,14.4413855007036,0.10909543546503286,0.3165001478255169,-0.20740471236048402,0,1,0.0,0.0
2000-02-02,13.521976470947266,14.39224947998073,14.373281128129056,0.018968351851674115,0.25699378863074834,-0.23802543677907423,0,1,0.0,0.0
2000-02-03,13.252132415771484,14.216846854717769,14.29023307536183,-0.07338622064406053,0.19091778677578658,-0.2643040074198471,0,0,0.0,-1.0
2000-02-04,13.49199390411377,14.105331016163307,14.231104247861973,-0.12577323169866617,0.12757958308089604,-0.2533528147795622,0,0,0.0,0.0
2000-02-07,13.641905784606934,14.034034826693095,14.187459917250488,-0.15342509055739306,0.07137864835323822,-0.22480373891063127,0,0,0.0,0.0
2000-02-08,13.716859817504883,13.985238671433368,14.152600650602665,-0.1673619791692964,0.023630522848731295,-0.1909925020180277,0,0,0.0,0.0
2000-02-09,13.671890258789062,13.937031223334245,14.116992473431285,-0.17996125009704045,-0.017087831740423054,-0.1628734183566174,0,0,0.0,0.0
2000-02-10,13.59692668914795,13.884707448844045,14.07846908200289,-0.19376163315884476,-0.0524225920241074,-0.14133904113473736,0,0,0.0,0.0
2000-02-11,13.327093124389648,13.798920629697216,14.022811603661168,-0.22389097396395208,-0.08671626841207633,-0.13717470555187575,0,0,0.0,0.0
2000-02-14,12.982298851013184,13.673286509899674,13.945736584946502,-0.2724500750468284,-0.12386302973902674,-0.14858704530780165,0,0,0.0,0.0
2000-02-15,13.357071876525879,13.624638104765245,13.90213179173016,-0.27749368696491494,-0.1545891611842044,-0.12290452578071054,0,0,0.0,0.0
2000-02-16,12.847370147705078,13.50505841906368,13.824001299580154,-0.3189428805164738,-0.1874599050506583,-0.1314829754658155,0,0,0.0,0.0
2000-02-17,12.547551155090332,13.357749609221628,13.729449437025352,-0.3716998278037238,-0.2243078896012714,-0.1473919382024524,0,0,0.0,0.0
2000-02-18,12.322684288024902,13.198508790575978,13.625244611173466,-0.4267358205974876,-0.26479347580051465,-0.16194234479697295,0,0,0.0,0.0
2000-02-22,12.412635803222656,13.077605254060083,13.535421736510443,-0.4578164824503599,-0.3033980771304837,-0.15441840531987616,0,0,0.0,0.0
2000-02-23,12.292702674865723,12.956851011107105,13.443368472684908,-0.48651746157780273,-0.34002195401994756,-0.14649550755785518,0,0,0.0,0.0
2000-02-24,11.947908401489258,12.801629071165898,13.33259365259634,-0.5309645814304425,-0.37821047950204656,-0.1527541019283959,0,0,0.0,0.0
2000-02-25,11.67806625366211,12.628773253088392,13.210036067490101,-0.5812628144017093,-0.41882094648197915,-0.1624418679197302,0,0,0.0,0.0
2000-02-28,11.82797622680664,12.505573710583507,13.107661264476512,-0.6020875538930053,-0.45547426796418444,-0.14661328592882084,0,0,0.0,0.0
2000-02-29,11.663073539733887,12.375958299683566,13.000654766347429,-0.6246964666638632,-0.4893187077041202,-0.13537775895974302,0,0,0.0,0.0
2000-03-01,12.23274040222168,12.353924776997122,12.943772220856633,-0.5898474438595116,-0.5094244549351985,-0.0804229889243131,0,0,0.0,0.0
2000-03-02,11.902937889099121,12.284542178858969,12.866673381467189,-0.5821312026082204,-0.5239658044698029,-0.05816539813841748,0,0,0.0,0.0
2000-03-03,12.022868156433105,12.244284636947297,12.804169290723923,-0.559884653776626,-0.5311495743311675,-0.0287350794454585,0,0,0.0,0.0
2000-03-06,11.753022193908691,12.168705799556742,12.726306542811683,-0.557600743254941,-0.5364398081159223,-0.021160935139018733,0,0,0.0,0.0
2000-03-07,11.303290367126465,12.035564963798237,12.62089793720537,-0.5853329734071337,-0.5462184411741646,-0.039114532232969124,0,0,0.0,0.0
2000-03-08,11.393238067626953,11.936745441310347,12.52996016908845,-0.5932147277781041,-0.5556176984949526,-0.03759702928315156,0,0,0.0,0.0
2000-03-09,11.213339805603027,11.825452266586144,12.432432734756198,-0.6069804681700539,-0.5658902524299729,-0.04109021574008098,0,0,0.0,0.0
2000-03-10,10.913519859313965,11.685154973159655,12.319920669908624,-0.6347656967489694,-0.5796653412937722,-0.0551003554551972,0,0,0.0,0.0
2000-03-13,10.533122062683105,11.507919140778649,12.187565217521549,-0.6796460767429,-0.5996614883835978,-0.07998458835930222,0,0,0.0,0.0
2000-03-14,10.427794456481934,11.341746112425307,12.05721182781491,-0.7154657153896036,-0.622822333784799,-0.09264338160480456,0,0,0.0,0.0
2000-03-15,11.45101261138916,11.358556343035131,12.012308182153744,-0.6537518391186126,-0.6290082348515618,-0.0247436042670508,0,0,0.0,0.0
2000-03-16,11.977672576904297,11.453804994399619,12.009742581764897,-0.5559375873652783,-0.614394105354305,0.058456517989026735,1,0,1.0,0.0
2000-03-17,11.827195167541504,11.511249636421446,11.996220551081683,-0.4849709146602361,-0.5885094672154912,0.10353855255525513,1,0,0.0,0.0
2000-03-20,11.6917724609375,11.539022378654685,11.973668840700633,-0.43464646204594715,-0.5577368661815825,0.12309040413563532,1,0,0.0,0.0
2000-03-21,11.90243148803711,11.594931472405829,11.968391999762593,-0.37346052735676416,-0.5208815984166189,0.1474210710598547,1,0,0.0,0.0
2000-03-22,11.330636024475098,11.55427063426264,11.921150816407964,-0.3668801821453247,-0.49008131516236003,0.12320113301703534,1,0,0.0,0.0
2000-03-23,11.315583229064941,11.517549495001456,11.87629395808626,-0.358744463084804,-0.4638139447468489,0.10506948166204488,1,0,0.0,0.0
2000-03-24,11.315583229064941,11.486477761780455,11.834759830010608,-0.3482820682301533,-0.4407075694435098,0.09242550121335652,1,0,0.0,0.0
2000-03-27,10.894262313842773,11.395367692866964,11.765093347331508,-0.36972565446454375,-0.42651118644771663,0.05678553198317288,1,0,0.0,0.0
2000-03-28,10.803970336914062,11.304383484258825,11.693899050263548,-0.38951556600472337,-0.419112062359118,0.029596496354394652,1,0,0.0,0.0
2000-03-29,11.285496711730957,11.301477826946844,11.663647025187059,-0.3621691982402151,-0.40772348953533744,0.04555429129512234,1,0,0.0,0.0
2000-03-30,11.6917724609375,11.361523155253098,11.665730390798203,-0.3042072355451051,-0.38702023873729097,0.08281300319218587,1,0,0.0,0.0
2000-03-31,11.300540924072266,11.35214127353297,11.638679319188874,-0.28653804565590413,-0.3669238001210136,0.08038575446510948,1,0,0.0,0.0
2000-04-03,11.872335433959961,11.432171144367892,11.655987179542288,-0.22381603517439608,-0.33830224713169016,0.11448621195729408,1,0,0.0,0.0
2000-04-04,12.609658241271973,11.61332300543006,11.726629480411155,-0.11330647498109592,-0.2933030927015713,0.17999661772047537,1,0,0.0,0.0
2000-04-05,11.466065406799316,11.5906679902561,11.707328437921388,-0.11666044766528927,-0.25797456369431493,0.14131411602902566,1,0,0.0,0.0
2000-04-06,11.014642715454102,11.502048717209638,11.656018384405295,-0.15396966719565697,-0.23717358439458336,0.08320391719892639,1,0,0.0,0.0
2000-04-07,11.119974136352539,11.443268012462392,11.616311403068053,-0.17304339060566143,-0.22434754563679898,0.051304155031137555,1,0,0.0,0.0
2000-04-10,10.83407211303711,11.349545566396964,11.55836775195465,-0.20882218555768617,-0.22124247362097643,0.012420288063290263,1,0,0.0,0.0
2000-04-11,11.360729217529297,11.35126612810963,11.543727860515734,-0.19246173240610354,-0.21548632537800186,0.023024592971898322,1,0,0.0,0.0
2000-04-12,11.67672348022461,11.401336489973472,11.553579387901577,-0.15224289792810453,-0.20283763988802242,0.050594741959917894,1,0,0.0,0.0
2000-04-13,11.375776290893555,11.397404151653486,11.540408788123203,-0.14300463646971728,-0.1908710392043614,0.047866402734644126,1,0,0.0,0.0
2000-04-14,11.315583229064941,11.384816317409095,11.523755043007776,-0.13893872559868115,-0.18048457648322536,0.04154585088454421,1,0,0.0,0.0
2000-04-17,11.67672348022461,11.429725111688406,11.535086038357171,-0.10536092666876584,-0.16545984652033346,0.06009891985156762,1,0,0.0,0.0
2000-04-18,11.706812858581543,11.472353995825811,11.547806543558977,-0.07545254773316579,-0.14745838676289993,0.07200583902973415,1,0,0.0,0.0
2000-04-19,11.842245101928711,11.529260319841642,11.56961680714192,-0.04035648730027752,-0.12603800687037545,0.08568151957009792,1,0,0.0,0.0
2000-04-20,11.90243148803711,11.586671268794792,11.59426974646749,-0.007598477672697612,-0.10235010103083989,0.09475162335814227,1,0,0.0,0.0
2000-04-24,11.947577476501465,11.642195300749664,11.62044068943297,0.02175461131669465,-0.07752915856133298,0.09928376987802763,1,1,0.0,1.0
2000-04-25,12.158236503601074,11.721586255034495,11.660277416408384,0.06130883862611114,-0.04976155912384416,0.11107039774995531,1,1,0.0,0.0
2000-04-26,11.90243148803711,11.749408598573359,11.678214755047549,0.07119384352581015,-0.0255704785939133,0.09676432211972345,1,1,0.0,0.0
2000-04-27,11.616524696350098,11.728964921308242,11.673645121069958,0.055319800238283534,-0.009392422827473936,0.06471222306575747,1,1,0.0,0.0
2000-04-28,11.375776290893555,11.674628208936753,11.651580763279114,0.023047445657638832,-0.0029044491304513823,0.025951894788090214,1,1,0.0,0.0
2000-05-01,11.135017395019531,11.591611160641795,11.6133168100747,-0.02170564943290465,-0.006664689190942036,-0.015040960241962614,0,0,-1.0,-1.0
2000-05-02,11.135017395019531,11.521365965930677,11.577887223774319,-0.05652125784364159,-0.01663600292148195,-0.03988525492215964,0,0,0.0,0.0
2000-05-03,11.67672348022461,11.545267121975897,11.585208427955822,-0.039941305979924735,-0.021297063533170506,-0.01864424244675423,0,0,0.0,0.0
2000-05-04,11.67672348022461,11.565491177091083,11.591987320716472,-0.02649614362538877,-0.02233687955161416,-0.004159264073774607,0,0,0.0,0.0
2000-05-05,11.330636024475098,11.529359615150163,11.572627965439333,-0.04326835028916953,-0.026523173699125237,-0.016745176590044295,0,0,0.0,0.0
2000-05-08,11.67672348022461,11.55203097900777,11.580338744312316,-0.028307765304546706,-0.02688009202020953,-0.0014276732843371762,0,0,0.0,0.0
2000-05-09,12.158236503601074,11.64529336740674,11.623145985741113,0.022147381665627464,-0.017074597283042132,0.03922197894866959,1,1,1.0,1.0
2000-05-10,12.714985847473145,11.80986144126311,11.704023012536078,0.10583842872703109,0.0075080079189725115,0.09833042080805858,1,1,0.0,0.0
2000-05-11,12.895551681518555,11.976890708994716,11.792284395423668,0.18460631357104873,0.04292766904938776,0.14167864452166096,1,1,0.0,0.0
2000-05-12,12.57956314086914,12.069609544667705,11.85060133953074,0.21900820513696395,0.078143776266903,0.14086442887006095,1,1,0.0,0.0
2000-05-15,12.459186553955078,12.129544469173455,11.895681725784394,0.23386274338906077,0.10928756969133455,0.12457517369772622,1,1,0.0,0.0
2000-05-16,11.782052993774414,12.076084242188987,11.887264782672542,0.18881945951644497,0.12519394765635664,0.06362551186008833,1,1,0.0,0.0
2000-05-17,11.616524696350098,12.00538277359839,11.867209961463471,0.1381728121349184,0.127789720552069,0.01038309158284939,1,1,0.0,0.0
2000-05-18,11.90243148803711,11.989544114281271,11.86981896343189,0.11972515084938173,0.12617680661153155,-0.006451655762149816,0,1,-1.0,0.0
2000-05-19,12.05290412902832,11.999291808857741,11.883380827550143,0.11591098130759825,0.1241236415507449,-0.008212660243146652,0,1,0.0,0.0
2000-05-22,12.203377723693848,12.030689641909449,11.907084301338564,0.12360534057088479,0.12401998135477288,-0.00041464078388808723,0,1,0.0,0.0
2000-05-23,12.037858009338379,12.031792467667746,11.916771242671885,0.11502122499586065,0.12222023008299043,-0.007199005087129784,0,1,0.0,0.0
2000-05-24,12.684893608093262,12.132269566194747,11.973669195666062,0.15860037052868492,0.12949625817212934,0.029104112356555578,1,1,1.0,0.0
2000-05-25,12.684893608093262,12.217288649563748,12.026352485475485,0.19093616408826364,0.14178423935535622,0.049151924732907415,1,1,0.0,0.0
2000-05-26,13.136314392089844,12.358677225336994,12.108571885965437,0.2501053393715562,0.16344845935859623,0.08665688001295999,1,1,0.0,0.0
2000-05-30,12.970789909362793,12.452848407494809,12.172439887698575,0.28040851979623405,0.18684047144612378,0.09356804835011026,1,1,0.0,0.0
2000-05-31,12.850414276123047,12.514012387283769,12.222660212767053,0.2913521745167156,0.20774281206024214,0.08360936245647344,1,1,0.0,0.0
2000-06-01,12.820318222045898,12.561136361862557,12.266931176417339,0.2942051854452181,0.22503528673723736,0.06916989870798076,1,1,0.0,0.0
2000-06-02,12.654800415039062,12.575546216197404,12.29566223113006,0.2798839850673449,0.23600502640325888,0.04387895866408603,1,1,0.0,0.0
2000-06-05,12.51937198638916,12.566904026996134,12.312233324112213,0.2546707028839208,0.23973816169939127,0.014932541184529524,1,1,0.0,0.0
2000-06-06,12.474224090576172,12.552645575239216,12.32423264014658,0.22841293509263672,0.23747311637804036,-0.009060181285403646,0,1,-1.0,0.0
2000-06-07,12.76012897491455,12.58456609826619,12.3565212575368,0.22804484072939069,0.23558746124831045,-0.007542620518919768,0,1,0.0,0.0
