,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
45,DDUHD,D,8,17,0.0016151827175449223,0.47058823529411764,0.027569656957006597,0.0003576875222244811
46,DDUHD,U,3,17,0.0006056935190793458,0.17647058823529413,0.010338621358877474,1.886242792980662e-05
47,DDUHD,H,6,17,0.0012113870381586917,0.35294117647058826,0.020677242717754948,0.00015089942343845297
48,DDUHU,D,4,21,0.0008075913587724611,0.19047619047619047,0.012402698314498696,2.9300366758184526e-05
49,DDUHU,U,12,21,0.0024227740763173833,0.5714285714285714,0.037208094943496084,0.0007911099024709823
50,DDUHU,H,5,21,0.0010094891984655764,0.23809523809523808,0.015503372893123368,5.7227278824579154e-05
51,DDUHH,D,5,12,0.0010094891984655764,0.4166666666666667,0.020509034578952194,0.0001752585414002737
52,DDUHH,U,2,12,0.0004037956793862306,0.16666666666666666,0.008203613831580877,1.1216546649617515e-05
53,DDUHH,H,5,12,0.0010094891984655764,0.4166666666666667,0.020509034578952194,0.0001752585414002737
54,DDHDD,D,7,17,0.001413284877851807,0.4117647058823529,0.02412344983738077,0.0002396226955527285
55,DDHDD,U,5,17,0.0010094891984655764,0.29411764705882354,0.01723103559812912,8.73260552305862e-05
56,DDHDD,H,5,17,0.0010094891984655764,0.29411764705882354,0.01723103559812912,8.73260552305862e-05
57,DDHDU,D,5,19,0.0010094891984655764,0.2631578947368421,0.016298927947192822,6.990922427046927e-05
58,DDHDU,U,9,19,0.0018170805572380376,0.47368421052631576,0.029338070304947082,0.0004077105959453768
59,DDHDU,H,5,19,0.0010094891984655764,0.2631578947368421,0.016298927947192822,6.990922427046927e-05
60,DDHDH,D,6,12,0.0012113870381586917,0.5,0.024610841494742634,0.0003028467595396729
61,DDHDH,U,4,12,0.0008075913587724611,0.3333333333333333,0.016407227663161755,8.973237319694012e-05
62,DDHDH,H,2,12,0.0004037956793862306,0.16666666666666666,0.008203613831580877,1.1216546649617515e-05
63,DDHUD,D,10,25,0.0020189783969311527,0.4,0.028418151923945742,0.00032303654350898447
64,DDHUD,U,10,25,0.0020189783969311527,0.4,0.028418151923945742,0.00032303654350898447
65,DDHUD,H,5,25,0.0010094891984655764,0.2,0.014209075961972871,4.037956793862306e-05
