,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
19,DDDHD,U,3,8,0.0006056935190793458,0.375,0.015071000950658674,8.5175651120533e-05
20,DDDHD,H,1,8,0.0002018978396931153,0.125,0.0050236669835528915,3.1546537452049264e-06
21,DDDHU,D,6,18,0.0012113870381586917,0.3333333333333333,0.020094667934211566,0.00013459855979541018
22,DDDHU,U,7,18,0.001413284877851807,0.3888888888888889,0.02344377925658016,0.0002137375278232671
23,DDDHU,H,5,18,0.0010094891984655764,0.2777777777777778,0.016745556611842974,7.789268506678831e-05
24,DDDHH,D,5,9,0.0010094891984655764,0.5555555555555556,0.023681793269954787,0.00031157074026715324
25,DDDHH,U,1,9,0.0002018978396931153,0.1111111111111111,0.004736358653990957,2.4925659221372256e-06
26,DDDHH,H,3,9,0.0006056935190793458,0.3333333333333333,0.014209075961972871,6.729927989770509e-05
27,DDUDD,D,11,33,0.002220876236624268,0.3333333333333333,0.027208309004323587,0.00024676402629158535
28,DDUDD,U,14,33,0.002826569755703614,0.42424242424242425,0.034628756914593654,0.0005087306447363714
29,DDUDD,H,8,33,0.0016151827175449223,0.24242424242424243,0.01978786109405352,9.49235022248623e-05
30,DDUDU,D,16,35,0.0032303654350898446,0.45714285714285713,0.038428355216070596,0.0006750804501085715
31,DDUDU,U,10,35,0.0020189783969311527,0.2857142857142857,0.02401772201004412,0.00016481456301478797
32,DDUDU,H,9,35,0.0018170805572380376,0.2571428571428571,0.02161594980903971,0.00012014981643778042
33,DDUDH,D,11,22,0.002220876236624268,0.5,0.03332323691228291,0.000555219059156067
34,DDUDH,U,6,22,0.0012113870381586917,0.2727272727272727,0.018176311043063404,9.010316812750598e-05
35,DDUDH,H,5,22,0.0010094891984655764,0.22727272727272727,0.015146925869219502,5.214303711082522e-05
36,DDUUD,D,12,34,0.0024227740763173833,0.35294117647058826,0.029242037083929362,0.00030179884687690594
37,DDUUD,U,17,34,0.00343226327478296,0.5,0.041426219202233265,0.00085806581869574
38,DDUUD,H,5,34,0.0010094891984655764,0.14705882352941177,0.012184182118303901,2.183151380764655e-05
39,DDUUU,D,11,33,0.002220876236624268,0.3333333333333333,0.027208309004323587,0.00024676402629158535
40,DDUUU,U,13,33,0.0026246719160104987,0.3939393939393939,0.032155274277836966,0.0004073182312266063
41,DDUUU,H,9,33,0.0018170805572380376,0.2727272727272727,0.022261343730810207,0.00013515475219125897
42,DDUUH,D,5,22,0.0010094891984655764,0.22727272727272727,0.015146925869219502,5.214303711082522e-05
43,DDUUH,U,10,22,0.0020189783969311527,0.45454545454545453,0.030293851738439005,0.00041714429688660177
44,DDUUH,H,7,22,0.001413284877851807,0.3181818181818182,0.021205696216907304,0.00014308049383210443
45,DDUHD,D,8,20,0.0016151827175449223,0.4,0.025417967798743647,0.0002584292348071876
46,DDUHD,U,8,20,0.0016151827175449223,0.4,0.025417967798743647,0.0002584292348071876
47,DDUHD,H,4,20,0.0008075913587724611,0.2,0.012708983899371824,3.230365435089845e-05
48,DDUHU,D,5,16,0.0010094891984655764,0.3125,0.017761344952466087,9.858292953765395e-05
49,DDUHU,U,7,16,0.001413284877851807,0.4375,0.024865882933452526,0.00027051155865132244
50,DDUHU,H,4,16,0.0008075913587724611,0.25,0.014209075961972871,5.047445992327882e-05
51,DDUHH,D,9,19,0.0018170805572380376,0.47368421052631576,0.029338070304947082,0.0004077105959453768
52,DDUHH,U,7,19,0.001413284877851807,0.3684210526315789,0.022818499126069952,0.00019183091139816767
53,DDUHH,H,3,19,0.0006056935190793458,0.15789473684210525,0.009779356768315694,1.5100392442421363e-05
54,DDHDD,D,8,18,0.0016151827175449223,0.4444444444444444,0.026792890578948757,0.0003190484380335649
55,DDHDD,U,8,18,0.0016151827175449223,0.4444444444444444,0.026792890578948757,0.0003190484380335649
56,DDHDD,H,2,18,0.0004037956793862306,0.1111111111111111,0.006698222644737189,4.985131844274451e-06
57,DDHDU,D,9,17,0.0018170805572380376,0.5294117647058824,0.031015864076632423,0.0005092855541047787
58,DDHDU,U,4,17,0.0008075913587724611,0.23529411764705882,0.013784828478503298,4.4710940278060136e-05
59,DDHDU,H,4,17,0.0008075913587724611,0.23529411764705882,0.013784828478503298,4.4710940278060136e-05
