date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,target_sigma,p_target
2019-09-19,880.3044965036419,1191.0525871356394,100000.0,0.4674753559054652,1,0.19744024846892383,0.009984433402818028,0.01526758776408187,0.4674753559054652
2019-09-20,1119.751842267016,907.6406856310526,98720.82517570865,0.5935309494898159,1,0.19717946127996464,0.010011247321721812,0.017516739847188625,0.593530949489816
2019-09-23,1119.6119500669035,907.8063094631826,99158.44863170074,0.5935241555552045,0,0.19716604252092754,0.01001328919491591,0.017518327386439863,0.5935241555552045
2019-09-24,1289.7213687310852,707.9553447697269,98997.72407972015,0.6815557222819368,1,0.19722493983227518,0.010013075721865246,0.01929825411445541,0.6815557222819368
2019-09-25,1415.4116762601261,557.6573188022991,99960.61597765118,0.7521720278410142,1,0.19656807209937113,0.00999917422889046,0.02081549409794523,0.7521720278410142
2019-09-26,1513.3244315975733,441.65015996002523,99673.43299990002,0.8023617327245757,1,0.19675309096760463,0.009996759124398345,0.02193579688781272,0.8023617327245757
2019-09-27,1513.4212066302553,441.5358906442292,99255.28999068202,0.8018723331864797,0,0.19672327137000195,0.009998050725646199,0.02192181490822009,0.8018723331864797
2019-09-30,1588.7055459654332,350.76730996170477,101175.55427924212,0.8452200836849765,1,0.19569147436714837,0.010003049863863961,0.02291149389901891,0.8452200836849764
2019-10-01,1588.8284019925838,350.6193460430359,101472.68326026377,0.8451433373731124,0,0.19529266479021737,0.009997521202546206,0.02290739661636986,0.8451433373731124
2019-10-02,1588.841103688746,350.6039908658264,98871.46314327323,0.8456417963959549,0,0.19621181269101962,0.01013173203546779,0.022920208837803283,0.8456417963959549
2019-10-03,1648.4651750228122,278.9378103411532,99800.21073560456,0.8765946981149573,1,0.19569347571925857,0.010116018415815348,0.023636029778562523,0.8765946981149573
2019-10-04,1694.9140300368133,222.27944060849583,102412.67852765552,0.9029236199365286,1,0.19387903000449577,0.010153558917949062,0.024252506422041777,0.9029236199365286
2019-10-07,1731.2349713400592,177.41421636633746,102310.92355328404,0.9233933622249189,1,0.19546936504699616,0.01016868242355556,0.02473631026595353,0.923393362224919
2019-10-08,1760.4194394970211,141.5937603041527,101161.9957469171,0.9384989642445676,1,0.1951736184779928,0.010177078268492915,0.025093223800491535,0.9384989642445676
