Date,portfolio_return,portfolio_wealth,rolling_sharpe_60d,weight_risky_prevday
2000-01-06,0.001096861269652762,1.0,,0.0
2000-01-07,0.0637156869336404,1.0657893378467211,,0.0
2000-01-10,-0.032412345283004226,1.0317984438633439,,0.0
2000-01-11,0.03157365873801288,1.064895849400016,,0.021717092693351918
2000-01-12,0.0038793846483769507,1.0690350135241078,,0.10073610711054416
2000-01-13,-0.0042901188346548946,1.0644585500828794,,0.09269727775919355
2000-01-14,0.012308114902066137,1.0776409872851473,,0.14002125609698912
2000-01-18,0.05878385155450151,1.1428878175938437,,0.13123181784985286
2000-01-19,0.006786982947291147,1.1506709598731764,,0.13971772509518315
2000-01-20,0.01723068457254446,1.1706696086423423,,0.14376250265006668
2000-01-21,0.010412142176025624,1.1829224655960975,,0.13476539844617655
2000-01-24,-0.03253658616199642,1.145053609223618,,0.1343377255704362
2000-01-25,0.020533339067914772,1.168808431527292,,0.1321028992897433
2000-01-26,-0.040625124288183184,1.1222770154555655,,0.119902044255501
2000-01-27,-0.04957648768192069,1.0679951328708792,,0.15189039908051
2000-01-28,-0.05149535775923221,1.014390384376092,,0.21251351230327653
2000-01-31,0.010948816182890984,1.0255577815629497,,0.18457478285170464
2000-02-01,0.0035272058605220827,1.0291815220627798,,0.18113746991483273
2000-02-02,-0.027611674737246784,1.0011528368436646,,0.1834567458401858
2000-02-03,-0.007612505245845317,0.9935604906736422,,0.19392046769582835
2000-02-04,0.023245623264140175,1.0169269553671318,,0.20078149037317686
2000-02-07,0.01932994315592078,1.0367753113860112,,0.19006202919810533
2000-02-08,0.005766341388569804,1.042770981702312,,0.17722761182339158
2000-02-09,-0.006206135139053931,1.0363194443344954,,0.17713473374289102
2000-02-10,-0.0031755285601701645,1.0330338019282308,,0.17545272661271571
2000-02-11,-0.024044460891937458,1.0084912990999522,,0.17614409083333296
2000-02-14,-0.011227293898385868,0.9972319949209029,,0.16811837900796722
2000-02-15,0.0282232495633056,1.0257780588866443,,0.18038296399984585
2000-02-16,-0.03943828930912175,0.9861104791518615,,0.18184391898263136
2000-02-17,-0.01821090261405225,0.9683150445122188,,0.17910855381425164
2000-02-18,-0.020672418771361417,0.9485031161943329,,0.18515933790166605
2000-02-22,0.010078883193432513,0.9581113068906182,,0.18102768420897372
2000-02-23,-0.004178397760807709,0.9541162889507282,,0.178992095937586
2000-02-24,-0.024961499021212537,0.9305949019662009,,0.1797662198694678
2000-02-25,-0.02652350882546045,0.9062367200718036,,0.18426949676923918
2000-02-28,0.015049491314345312,0.9199782639861654,,0.1770420072097566
2000-02-29,-0.00947384648816843,0.9113036868281159,,0.1748869213116624
2000-03-01,0.061928593390896486,0.9695235745342279,,0.1767216484150374
2000-03-02,-0.03193354750705723,0.9390523637145732,,0.11929550864504268
2000-03-03,0.013972519349276579,0.9522653856734654,,0.1039203412910188
2000-03-06,-0.022262817276535604,0.9312995209420022,,0.09783825328304614
2000-03-07,-0.03741910140954693,0.8970950705886481,,0.09749593573062484
2000-03-08,0.006395399214737864,0.9028507369730147,,0.10156024195248146
2000-03-09,-0.014049591712813158,0.8902547442126625,,0.10389670326656202
2000-03-10,-0.02127130745179749,0.8715178474664527,,0.10537661942114979
2000-03-13,-0.03552916560612183,0.8410971564109574,,0.11493554290356783
2000-03-14,-0.015659891128808764,0.8280282623171876,,0.11235226560972596
2000-03-15,0.08554722696155564,0.9019819547098643,,0.1056551554469883
2000-03-16,0.044916167206795074,0.9434191609827743,,0.17822681105123703
2000-03-17,-0.005337219092611771,0.9383973394263098,,0.18026010073619994
2000-03-20,-0.012353722791763257,0.9268759513707847,,0.18156256048596908
2000-03-21,0.0313611266361905,0.9564044284980804,,0.18060388904349883
2000-03-22,-0.030864491011933247,0.9273363853119879,,0.15898219143206835
2000-03-23,-0.0048255135788585445,0.9228722904301472,,0.1858528805632346
2000-03-24,-0.003472159926057982,0.9196734868389692,,0.18517761619641504
2000-03-27,-0.029769110724863997,0.8926991184852419,,0.184822994626657
2000-03-28,-0.0073205449222623524,0.8861879362653093,,0.19331221023574655
2000-03-29,0.030701223753955627,0.9138169423901382,,0.19321575896473117
2000-03-30,0.011314180071373012,0.924214742199432,,0.21235677446694315
2000-03-31,-0.009249976039546325,0.915705195206032,-0.8074639573560367,0.22325855539620126
2000-04-03,0.03382349977899429,0.9472073022082247,-0.4994447384397432,0.22868512429060478
2000-04-04,0.03419798756427335,0.9801601345533177,-0.7921778700433275,0.24509257149507224
2000-04-05,-0.06324407362404758,0.9200903643114205,-1.0502611980359964,0.26780965983397276
2000-04-06,-0.040300491651568945,0.8837475064453547,-1.701044118085739,0.30722049481985364
2000-04-07,0.02224327930963812,0.9036252020820664,-1.5250966186396664,0.3060911374201644
2000-04-10,-0.03404713670141142,0.8733772021141584,-1.7773223801554148,0.30137644829474824
2000-04-11,0.019961123751466105,0.8909859530810208,-1.7038854057029167,0.29579888202669535
2000-04-12,-0.008314954788686216,0.8836081606763331,-2.394706485050655,0.3066295770411568
2000-04-13,-0.005820437228092687,0.8784801130596207,-2.5150017241540112,0.30273305172002035
2000-04-14,-0.008912499749380609,0.8706854458527603,-2.77155685639754,0.304022391107828
2000-04-17,0.05280778089679552,0.917900090790374,-2.3019839298962976,0.3035308817408613
2000-04-18,0.008695879073252717,0.9259168448253178,-1.9414825238416689,0.2866820436857433
2000-04-19,-0.005045524176850169,0.9212568748803649,-2.1875858468895912,0.2858891209446497
2000-04-20,-0.0017133266571118314,0.9196798123160379,-1.856783069114607,0.28475320648423785
2000-04-24,0.006573110378647413,0.9257448805798295,-1.3649446609947666,0.28466458586356186
2000-04-25,0.030373944885821468,0.9542947964229465,-0.5959772619111436,0.2844187591091306
2000-04-26,-0.030966203712469463,0.9251967623330388,-0.9929400714689048,0.2785197744789916
2000-04-27,-0.005675660586705357,0.9199605331202679,-1.0813152174809522,0.2734488492689893
2000-04-28,-0.021076714638889216,0.9007736955073695,-1.0220179159486975,0.2747975426924572
2000-05-01,-0.01496786589889697,0.887391437392695,-1.0910659992104343,0.2744560504423809
2000-05-02,-0.014656841061521342,0.8744799342003686,-1.4631348322482014,0.2756398498914588
2000-05-03,0.02798201854923877,0.899295219666692,-1.3726012863788744,0.2724366868982456
