x,predicted_label,score_D,score_U,score_H
-0.731247968273122,D,0.010848360432518647,3.6271938672584224e-13,3.2297760742384505e-13
-0.7310325538268242,D,0.010843788096491336,3.6271938672584224e-13,3.2297760742384505e-13
-0.7308171393805265,D,0.010830082647971695,3.6271938672584224e-13,3.2297760742384505e-13
-0.7306017249342287,D,0.010807278716953044,3.6271938672584224e-13,3.2297760742384505e-13
-0.730386310487931,D,0.010775433858066208,3.6271938672584224e-13,3.2297760742384505e-13
-0.7301708960416332,D,0.010734628308544972,3.6271938672584224e-13,3.2297760742384505e-13
-0.7299554815953354,D,0.01068496465137538,3.6271938672584224e-13,3.2297760742384505e-13
-0.7297400671490377,D,0.010626567385607652,3.6271938672584224e-13,3.2297760742384505e-13
-0.7295246527027399,D,0.010559582406350099,3.6271938672584224e-13,3.2297760742384505e-13
-0.7293092382564421,D,0.01048417639748496,3.6271938672584224e-13,3.2297760742384505e-13
-0.7290938238101444,D,0.010400536140643445,3.6271938672584224e-13,3.2297760742384505e-13
-0.7288784093638466,D,0.010308867744449364,3.6271938672584224e-13,3.2297760742384505e-13
-0.7286629949175489,D,0.010209395798482552,3.6271938672584224e-13,3.2297760742384505e-13
-0.7284475804712511,D,0.010102362456820266,3.6271938672584224e-13,3.2297760742384505e-13
-0.7282321660249533,D,0.009988026456389886,3.6271938672584224e-13,3.2297760742384505e-13
-0.7280167515786556,D,0.009866662075697885,3.6271938672584224e-13,3.2297760742384505e-13
-0.7278013371323578,D,0.009738558039795427,3.6271938672584224e-13,3.2297760742384505e-13
-0.72758592268606,D,0.009604016377592922,3.6271938672584224e-13,3.2297760742384505e-13
-0.7273705082397623,D,0.009463351237840492,3.6271938672584224e-13,3.2297760742384505e-13
-0.7271550937934645,D,0.009316887670257788,3.6271938672584224e-13,3.2297760742384505e-13
-0.7269396793471669,D,0.009164960378412032,3.6271938672584224e-13,3.2297760742384505e-13
-0.726724264900869,D,0.009007912451013457,3.6271938672584224e-13,3.2297760742384505e-13
-0.7265088504545713,D,0.008846094078326575,3.6271938672584224e-13,3.2297760742384505e-13
-0.7262934360082736,D,0.008679861260372578,3.6271938672584224e-13,3.2297760742384505e-13
-0.7260780215619758,D,0.008509574513537082,3.6271938672584224e-13,3.2297760742384505e-13
-0.725862607115678,D,0.00833559758209071,3.6271938672584224e-13,3.2297760742384505e-13
-0.7256471926693803,D,0.008158296160979716,3.6271938672584224e-13,3.2297760742384505e-13
-0.7254317782230825,D,0.007978036636057975,3.6271938672584224e-13,3.2297760742384505e-13
-0.7252163637767848,D,0.007795184847706577,3.6271938672584224e-13,3.2297760742384505e-13
-0.725000949330487,D,0.0076101048835243304,3.6271938672584224e-13,3.2297760742384505e-13
-0.7247855348841892,D,0.007423157905482695,3.6271938672584224e-13,3.2297760742384505e-13
-0.7245701204378915,D,0.0072347010166147726,3.6271938672584224e-13,3.2297760742384505e-13
-0.7243547059915937,D,0.0070450861719593295,3.6271938672584224e-13,3.2297760742384505e-13
-0.7241392915452959,D,0.0068546591381109445,3.6271938672584224e-13,3.2297760742384505e-13
-0.7239238770989982,D,0.0066637585053326695,3.6271938672584224e-13,3.2297760742384505e-13
-0.7237084626527004,D,0.006472714755782228,3.6271938672584224e-13,3.2297760742384505e-13
-0.7234930482064027,D,0.006281849390982025,3.6271938672584224e-13,3.2297760742384505e-13
-0.7232776337601049,D,0.006091474121229677,3.6271938672584224e-13,3.2297760742384505e-13
-0.7230622193138071,D,0.005901890119214624,3.6271938672584224e-13,3.2297760742384505e-13
-0.7228468048675094,D,0.005713387339662454,3.6271938672584224e-13,3.2297760742384505e-13
-0.7226313904212116,D,0.005526243906394486,3.6271938672584224e-13,3.2297760742384505e-13
-0.7224159759749138,D,0.005340725567754258,3.6271938672584224e-13,3.2297760742384505e-13
-0.7222005615286161,D,0.00515708522092658,3.6271938672584224e-13,3.2297760742384505e-13
-0.7219851470823183,D,0.004975562505257603,3.6271938672584224e-13,3.2297760742384505e-13
-0.7217697326360206,D,0.004796383464282592,3.6271938672584224e-13,3.2297760742384505e-13
-0.7215543181897228,D,0.004619760275776251,3.6271938672584224e-13,3.2297760742384505e-13
-0.721338903743425,D,0.0044458910487751345,3.6271938672584224e-13,3.2297760742384505e-13
-0.7211234892971273,D,0.00427495968616648,3.6271938672584224e-13,3.2297760742384505e-13
-0.7209080748508295,D,0.004107135811112562,3.6271938672584224e-13,3.2297760742384505e-13
-0.7206926604045317,D,0.003942574755274586,3.6271938672584224e-13,3.2297760742384505e-13
-0.720477245958234,D,0.003781417606517976,3.6271938672584224e-13,3.2297760742384505e-13
-0.7202618315119362,D,0.003623791313529296,3.6271938672584224e-13,3.2297760742384505e-13
-0.7200464170656385,D,0.003469808844548538,3.6271938672584224e-13,3.2297760742384505e-13
-0.7198310026193407,D,0.0033195693972168988,3.6271938672584224e-13,3.2297760742384505e-13
-0.7196155881730429,D,0.00317315865637559,3.6271938672584224e-13,3.2297760742384505e-13
-0.7194001737267453,D,0.0030306490965009273,3.6271938672584224e-13,3.2297760742384505e-13
-0.7191847592804474,D,0.0028921003253497483,3.6271938672584224e-13,3.2297760742384505e-13
-0.7189693448341496,D,0.002757559465300561,3.6271938672584224e-13,3.2297760742384505e-13
-0.718753930387852,D,0.002627061568813162,3.6271938672584224e-13,3.2297760742384505e-13
-0.7185385159415542,D,0.002500630064396825,3.6271938672584224e-13,3.2297760742384505e-13
-0.7183231014952565,D,0.002378277229467753,3.6271938672584224e-13,3.2297760742384505e-13
-0.7181076870489587,D,0.002260004686489405,3.6271938672584224e-13,3.2297760742384505e-13
-0.7178922726026609,D,0.0021458039188305897,3.6271938672584224e-13,3.2297760742384505e-13
-0.7176768581563632,D,0.0020356568028328734,3.6271938672584224e-13,3.2297760742384505e-13
-0.7174614437100654,D,0.0019295361526595707,3.6271938672584224e-13,3.2297760742384505e-13
-0.7172460292637676,D,0.001827406274598632,3.6271938672584224e-13,3.2297760742384505e-13
-0.7170306148174699,D,0.001729223527603554,3.6271938672584224e-13,3.2297760742384505e-13
-0.7168152003711721,D,0.0016349368869894756,3.6271938672584224e-13,3.2297760742384505e-13
-0.7165997859248744,D,0.0015444885083449368,3.6271938672584224e-13,3.2297760742384505e-13
-0.7163843714785766,D,0.001457814288873708,3.6271938672584224e-13,3.2297760742384505e-13
-0.7161689570322788,D,0.0013748444235490238,3.6271938672584224e-13,3.2297760742384505e-13
-0.7159535425859811,D,0.0012955039536335455,3.6271938672584224e-13,3.2297760742384505e-13
-0.7157381281396833,D,0.0012197133052999508,3.6271938672584224e-13,3.2297760742384505e-13
-0.7155227136933855,D,0.0011473888162715246,3.6271938672584224e-13,3.2297760742384505e-13
-0.7153072992470878,D,0.0010784432485891394,3.6271938672584224e-13,3.2297760742384505e-13
-0.71509188480079,D,0.0010127862858007076,3.6271938672584224e-13,3.2297760742384505e-13
-0.7148764703544923,D,0.0009503250130597644,3.6271938672584224e-13,3.2297760742384505e-13
-0.7146610559081945,D,0.0008909643788055367,3.6271938672584224e-13,3.2297760742384505e-13
-0.7144456414618967,D,0.0008346076368848613,3.6271938672584224e-13,3.2297760742384505e-13
-0.714230227015599,D,0.0007811567681559162,3.6271938672584224e-13,3.2297760742384505e-13
-0.7140148125693012,D,0.0007305128807915749,3.6271938672584224e-13,3.2297760742384505e-13
-0.7137993981230035,D,0.00068257658867085,3.6271938672584224e-13,3.2297760742384505e-13
-0.7135839836767057,D,0.0006372483674099754,3.6271938672584224e-13,3.2297760742384505e-13
-0.7133685692304079,D,0.0005944288877424361,3.6271938672584224e-13,3.2297760742384505e-13
-0.7131531547841102,D,0.0005540193261040462,3.6271938672584224e-13,3.2297760742384505e-13
-0.7129377403378124,D,0.0005159216524193875,3.6271938672584224e-13,3.2297760742384505e-13
-0.7127223258915146,D,0.00048003889521607874,3.6271938672584224e-13,3.2297760742384505e-13
-0.7125069114452169,D,0.0004462753843130249,3.6271938672584224e-13,3.2297760742384505e-13
-0.7122914969989191,D,0.00041453697144078406,3.6271938672584224e-13,3.2297760742384505e-13
-0.7120760825526214,D,0.00038473122925230873,3.6271938672584224e-13,3.2297760742384505e-13
-0.7118606681063236,D,0.0003567676292730327,3.6271938672584224e-13,3.2297760742384505e-13
-0.7116452536600258,D,0.000330557699420898,3.6271938672584224e-13,3.2297760742384505e-13
-0.7114298392137282,D,0.00030601516179714174,3.6271938672584224e-13,3.2297760742384505e-13
-0.7112144247674304,D,0.000283056051510603,3.6271938672584224e-13,3.2297760742384505e-13
-0.7109990103211326,D,0.0002615988173502211,3.6271938672584224e-13,3.2297760742384505e-13
