date,money,N_risky,N_safe,wealth,signal_risky,signal_safe,trade_risky,trade_safe,trade_cash_risky,trade_cash_safe
2019-09-19,81000.81,188.3122368757825,201.29735962136309,100001.0,1,1,188.3122368757825,201.29735962136309,-10000.1,-9000.09
2019-09-20,64801.29600648,497.9068098721358,201.29735962136309,99754.93003174555,1,0,309.5945729963533,0.0,-16200.32400162,0.0
2019-09-23,64801.94401944007,497.9068098721358,201.29735962136309,99912.0141744251,0,0,0.0,0.0,0.0,0.0
2019-09-24,53276.277388205075,752.4978976898034,161.03788769709047,99814.62740573875,1,-1,254.5910878176676,-40.25947192427262,-13319.06934705127,1792.7546963760888
2019-09-25,42621.44812078317,953.0858669786774,161.03788769709047,100403.83405191047,1,0,200.58796928887392,0.0,-10655.362030195793,0.0
2019-09-26,34523.71821156415,1033.7378339401123,247.03878675250516,100172.18840421093,1,1,80.65196696143504,86.00089905541469,-4262.187433526438,-3835.9686901737946
2019-09-27,27619.250758997012,1033.7378339401123,402.06999270360575,99890.48946455604,0,1,0.0,155.03120595110056,0.0,-6904.812689749254
2019-09-30,22095.621561203683,1136.36072445436,402.06999270360575,101213.10857326284,1,0,102.62289051424774,0.0,-5523.905390300921,0.0
2019-10-01,22095.842517419296,1136.36072445436,402.06999270360575,101451.89345536572,0,0,0.0,0.0,0.0,0.0
2019-10-02,22096.063475844472,1136.36072445436,402.06999270360575,99396.8686939962,0,0,0.0,0.0,0.0,0.0
2019-10-03,17677.027549183385,1219.6326728333659,402.06999270360575,100155.64838529396,1,0,83.27194837900574,0.0,-4419.256887295846,0.0
2019-10-04,14318.53549876169,1252.0335313221096,437.6403385694327,102201.02410336489,1,1,32.40085848874377,35.57034586582692,-1767.7204319458879,-1590.948388751299
2019-10-07,11598.12973413451,1278.2727081628623,466.81094537598943,101975.76209940675,1,1,26.239176840752705,29.17060680655675,-1431.867868411668,-1288.6810815705012
2019-10-08,9394.5790294998,1299.7785909593626,490.56726236907804,101047.69220363702,1,1,21.505882796500387,23.7563169930886,-1159.8245715431854,-1043.8421143888668
2019-10-09,10980.679568856116,1350.0908563958037,392.45380989526245,101969.9032708367,1,-1,50.31226543644114,-98.11345247381561,-2745.1698922140295,4331.176485780051
2019-10-10,8894.439394277962,1369.9483186213176,414.91187911419763,102908.17565688952,1,1,19.857462225514006,22.458069218935155,-1098.0789375651807,-988.2710438086626
2019-10-11,10017.345769574424,1414.0629166372348,331.9295032913581,104800.73318053251,1,-1,44.11459801591718,-82.98237582283953,-2504.336442393606,3627.153873296123
2019-10-14,10335.335233335214,1459.6434870945736,265.5436026330865,104685.29451422484,1,-1,45.58057045733875,-66.38590065827162,-2583.833808333804,2901.7230986368986
2019-10-15,12665.96396815084,1459.6434870945736,212.4348821064692,104538.19221588943,0,-1,0.0,-53.108720526617304,0.0,2330.525381463292
2019-10-16,10259.533408510322,1482.130329313578,238.42208111455514,104201.57246141075,1,1,22.486842219004306,25.987199008085963,-1266.6090627790522,-1139.948156501147
2019-10-17,8310.30516311397,1500.2744029359721,259.3545267443952,104584.48395797351,1,1,18.144073622394203,20.93244562984004,-1025.9636003844407,-923.3672403459967
2019-10-18,8512.494723920277,1537.7301855783614,207.48362139551614,105202.5687719618,1,-1,37.45578264238921,-51.870905348879035,-2128.12368098007,2330.2301387347466
2019-10-21,6895.189677582689,1552.4572435625535,224.71068114466985,106624.27487404019,1,1,14.72705798419212,17.22705974915372,-851.2579848867517,-766.1321863980766
2019-10-22,5585.159489878367,1564.4136210290371,238.7632085276468,106349.11453038371,1,1,11.956377466483659,14.052527382976963,-689.5258629479466,-620.5732766531519
2019-10-23,6179.964286545348,1590.84902349653,191.01056682211745,107714.52934543078,1,-1,26.43540246749284,-47.75264170552936,-1544.9910716363372,2139.74001670842
2019-10-24,5005.821129812452,1601.405927309027,203.43016769418438,107862.81032449323,1,1,10.556903812496948,12.419600872066924,-618.0026086188213,-556.2023477569392
2019-10-25,4054.7556622992383,1609.8530680897395,213.65110763112068,108873.98839921888,1,1,8.44714078071251,10.22093993693631,-500.5871188023751,-450.5284069221376
2019-10-28,3284.3849299832477,1616.627461702234,221.95796870681139,109798.12810420795,1,1,6.774393612494689,8.306861075690703,-405.47962098558617,-364.93165888702754
2019-10-29,2627.5342190660385,1627.8619186599674,221.95796870681139,107531.11533240798,1,0,11.23445695773337,0.0,-656.8835547665096,0.0
2019-10-30,3672.9704145950936,1643.568245552254,177.5663749654491,107615.88908904322,1,-1,15.706326892286695,-44.39159374136228,-918.2426036487734,1963.652523835637
2019-10-31,2975.1357868823843,1649.711933163239,184.9721921215689,109859.79122696021,1,1,6.1436876109852205,7.405817156119779,-367.300714429924,-330.5706429869316
2019-11-01,2409.884085974605,1654.5510315566057,191.0299505742692,112578.58651448601,1,1,4.839098393366525,6.057758452700324,-297.5165538240253,-267.7648984416228
2019-11-04,1927.926547852372,1654.5510315566057,202.0899743227331,113127.58275397243,0,1,0.0,11.060023748463905,0.0,-481.981636963093
2019-11-05,1542.3566616942805,1654.5510315566057,211.05961109026302,112861.14874991942,0,1,0.0,8.969636767529913,0.0,-385.5891654235702
2019-11-06,2696.115149922736,1665.4535768901603,168.84768887221043,112970.6501473559,1,-1,10.902545333554507,-42.21192221805261,-674.0287874806841,1827.771852142522
2019-11-07,2183.8751099701303,1669.7648799557264,174.50635011306792,114088.40618979097,1,1,4.31130306556619,5.65866124085749,-269.61421110742356,-242.65278999668118
2019-11-08,1768.9565284641965,1673.2475385922348,179.09693515247173,114362.77219021754,1,1,3.48265863650848,4.590585039403794,-218.38969487212304,-196.55072538491072
2019-11-11,2633.4002471801314,1683.66375686243,143.2775481219774,115139.33863418046,1,-1,10.416218270195289,-35.81938703049435,-658.350061795033,1522.7760909456829
2019-11-12,2133.075530757909,1687.834104648253,148.86657651979303,115026.64498438,1,1,4.170347785823018,5.589028397815633,-263.3426581182604,-237.00839230643433
2019-11-13,1727.8084578257053,1691.1800596550668,153.33326830382035,116133.3663215239,1,1,3.34595500681376,4.466691784027312,-213.30968615132167,-191.9787175361895
2019-11-14,1727.8257359102836,1691.1800596550668,153.33326830382035,115415.02792684581,0,0,0.0,0.0,0.0,0.0
2019-11-15,3052.4362329176874,1691.1800596550668,122.66661464305628,116691.95426349118,0,-1,0.0,-30.66665366076407,0.0,1324.5932187500448
2019-11-18,2472.4980733968137,1695.9209835793724,128.98373167747246,117274.49969349803,1,1,4.740923924305578,6.317117034416182,-305.24667572800166,-274.72200815520154
2019-11-19,2876.354109768548,1707.1234453572251,103.18698534197797,116948.66929559331,1,-1,11.202461777852607,-25.796746335494493,-719.0885274421371,1122.9198388331374
2019-11-20,2329.8701273808133,1711.6572553688898,109.11844124597529,115684.85984493696,1,1,4.533810011664733,5.931455903997311,-287.6382873309646,-258.8744585978681
2019-11-21,2329.8934260820874,1711.6572553688898,109.11844124597529,115174.79969949904,0,0,0.0,0.0,0.0,0.0
2019-11-22,24881.16038919823,1369.3258042951118,87.29475299678023,115086.13504592575,-1,-1,-342.331451073778,-21.823688249195058,21602.163976642732,949.0796875391482
2019-11-25,19905.1273606417,1446.8265012776944,87.29475299678023,116615.07081679383,1,0,77.50069698258264,0.0,-4976.281840160425,0.0
2019-11-26,16123.314393651402,1478.0710693166357,127.82414800881728,115938.52116023563,1,1,31.244568038941164,40.529395012037035,-1990.5326411915312,-1791.4793770723782
2019-11-27,16123.47562679534,1478.0710693166357,127.82414800881728,117208.74461271365,0,0,0.0,0.0,0.0,0.0
2019-11-29,12898.909489241287,1478.0710693166357,200.91563303571675,116982.84395325732,0,1,0.0,73.09148502689948,0.0,-3224.727372310322
2019-12-02,10448.221167452306,1498.328122372936,227.05749607423337,115940.14472297786,1,1,20.257053056300244,26.14186303851662,-1289.903847833618,-1160.9134630502563
2019-12-03,8463.143776227824,1515.0343728703053,248.21293043239606,114248.48937642883,1,1,16.706250497369478,21.155434358162704,-1044.8325649663982,-940.3493084697583
2019-12-04,6855.215010209125,1528.4481751540964,265.1943413834573,115185.38427730423,1,1,13.413802283790945,16.981410951061218,-846.3228407665588,-761.6905566899028
2019-12-05,5552.779685510974,1539.1563618789223,278.97480565539655,116578.35805597864,1,1,10.70818672482602,13.780464271939254,-685.5283562359227,-616.9755206123305
2019-12-06,4442.268170646263,1556.175069918348,278.97480565539655,118534.70606113602,1,0,17.018708039425846,0.0,-1110.567042661566,0.0
2019-12-09,3598.2732005956555,1563.079277974563,287.9245429179501,117032.4207887378,1,1,6.904208056214773,8.949737262553507,-444.231259332797,-399.8081333995173
2019-12-10,2914.630438495406,1568.6392493384785,295.21434972528766,117548.84343486045,1,1,5.559971363915493,7.289806807337604,-359.8309183327662,-323.8478264994896
2019-12-11,2360.8742636878305,1573.1047826650113,301.0994513617228,118458.67956754946,1,1,4.465533326532836,5.8851016364351425,-291.4659584799791,-262.31936263198116
