Date,portfolio_return,portfolio_wealth,rolling_sharpe_60d,weight_risky_prevday
2000-05-26,0.021414278513204335,1.0,,0.2996977616074668
2000-05-30,-0.004503580950091273,0.9955065449639348,,0.3104924625176582
2000-05-31,-0.019345756287617265,0.976432810740769,,0.3111176803013377
2000-06-01,0.01720701950003527,0.9933796936921893,,0.3175631298708225
2000-06-02,0.002770359562197764,0.996135528189167,,0.3100977843325814
2000-06-05,-0.011633576215462585,0.9846140574975365,,0.3081052321613863
2000-06-06,0.002674381551376994,0.9872508154449623,,0.305507260242352
2000-06-07,0.02767331889330281,1.0149528579581895,,0.3079743937136117
2000-06-08,-0.008209381911343811,1.0066548297694804,,0.3163887806247711
2000-06-09,-0.0033598149691406605,1.0032783311851659,,0.31793417855577966
2000-06-12,-0.011131138100359622,0.9921726257662459,,0.31192701102745435
2000-06-13,0.023075092322359644,1.0153332902734507,,0.3109043110973761
2000-06-14,-0.018667073830038877,0.9965557944952969,,0.31489470649902457
2000-06-15,0.04296603952465579,1.0403070282855083,,0.3117230860105095
2000-06-16,-0.008714906380907352,1.0312802408619224,,0.3191960854296223
2000-06-19,0.005662864003851839,1.037136807435096,,0.323530054665735
2000-06-20,-0.004170930550738089,1.0328199906693167,,0.318221862721512
2000-06-21,0.03656676679053998,1.0712858789302162,,0.31090417682830757
2000-06-22,0.022679063337482187,1.0958592363498425,,0.3068615794757539
2000-06-23,0.00877293049787626,1.1055154278826278,,0.3140548780079763
2000-06-26,0.02774686447730472,1.1366195398954675,,0.316643132121401
2000-06-27,-0.027262279730298267,1.1060512736174093,,0.31266800167716824
2000-06-28,0.0411151538132901,1.1524745524581488,,0.3100459803320623
2000-06-29,-0.030128713781737357,1.118269835958019,,0.3104359007290304
2000-06-30,-0.012534797895235244,1.104340035576585,,0.3096805709336849
2000-07-03,0.014460492363943377,1.1204253567667863,,0.31197276500656224
2000-07-05,-0.0034220784475893747,1.1165977262625157,,0.31213806804417377
2000-07-06,0.0033231762529962305,1.1203145497197446,,0.3115784864111407
2000-07-07,0.013312398605649308,1.135328336599182,,0.3136176744911863
2000-07-10,0.0009557592489898604,1.136413955870216,,0.31156144104526085
2000-07-11,-0.017672116036538885,1.116507528987583,,0.3113817743368702
