Date,AAPL,KO
2000-01-04,-0.08807771241519322,0.001108293127564624
2000-01-05,0.014527029414886225,0.008820516061705141
2000-01-06,-0.09051352270526845,0.001096861269652762
2000-01-07,0.046280939022349254,0.0637156869336404
2000-01-10,-0.017744330353779925,-0.032412345283004226
2000-01-11,-0.05250534115529171,0.033440144823591464
2000-01-12,-0.06184658937765154,0.011242049614449096
2000-01-13,0.10406864941296436,-0.015360914272241741
2000-01-14,0.037405267932532286,0.008221810540826536
2000-01-18,0.034254215022717895,0.06248917693289547
2000-01-19,0.024942281004628992,0.003838396167124256
2000-01-20,0.06307122980518438,0.00953404488334081
2000-01-21,-0.01946100300309994,0.015065060940110555
2000-01-24,-0.04654692812957842,-0.03036239244929336
2000-01-25,0.05493315772407631,0.015297331509182945
2000-01-26,-0.01854460065071205,-0.04363331207578588
2000-01-27,-0.0017031037617189079,-0.05815027034054219
2000-01-28,-0.0791909919804674,-0.04402132919394689
2000-01-31,0.02069450379363272,0.00874284053158111
2000-02-01,-0.03431726907385386,0.011898638412400101
2000-02-02,-0.014443252943269735,-0.030570288133250887
2000-02-03,0.04453507333767335,-0.020157772087213255
2000-02-04,0.04437286785617466,0.01793798886181882
2000-02-07,0.05461486231882887,0.011049897550016289
2000-02-08,0.00709865590328676,0.0054793568919653275
2000-02-09,-0.019781606239626003,-0.003283800757664709
2000-02-10,0.007739634848653673,-0.005498130602905899
2000-02-11,-0.04275179807326232,-0.020044748244309348
2000-02-14,0.06292104856822109,-0.026212237461326983
2000-02-15,0.02715128168304305,0.028459170408116293
2000-02-16,-0.041829395076480855,-0.038906840538493685
2000-02-17,0.006550834289451298,-0.02361361317623779
2000-02-18,-0.0320647127085843,-0.018083704559228992
2000-02-22,0.022772043979920133,0.007273155260797079
2000-02-23,0.021190328049595412,-0.009709162302295963
2000-02-24,-0.009046179148965402,-0.028449573958813843
2000-02-25,-0.04281283376655273,-0.02284383067475071
2000-02-28,0.025714274050346722,0.012755188860782663
2000-02-29,0.012068464192034372,-0.014039849003592213
2000-03-01,0.12826887216497274,0.04768825365804979
2000-03-02,-0.06591394051641164,-0.027330745650360908
2000-03-03,0.04800872798228819,0.010025264902622955
2000-03-06,-0.01823065028213337,-0.022700100476708396
2000-03-07,-0.022631785878401044,-0.039016549245773795
2000-03-08,-0.007146291821753889,0.00792616118936445
2000-03-09,0.0020472466102760584,-0.015915903823124824
2000-03-10,0.02822780627324826,-0.027101748933567628
2000-03-13,-0.03592624562576872,-0.03547760031359613
2000-03-14,-0.05998135341303537,-0.010049989238855335
2000-03-15,0.017353889179855968,0.09360337862123841
2000-03-16,0.04468577739070874,0.04496613433004995
2000-03-17,0.0278849387165097,-0.012642743099341826
2000-03-20,-0.016129200275096928,-0.011516169026703084
2000-03-21,0.09262761817219953,0.01785732000164664
2000-03-22,0.06630248928501628,-0.04923249618979016
2000-03-23,-0.02014064438000936,-0.001329387255196382
2000-03-24,-0.018750429978400387,0.0
2000-03-27,0.006289402648826891,-0.03794456511033045
2000-03-28,-0.0031391276269001514,-0.008322567054667093
2000-03-29,-0.02317817460891755,0.043604734157043114
2000-03-30,-0.07789893948498834,0.03536696145129431
2000-03-31,0.07697916634279263,-0.034034792010263736
2000-04-03,-0.018579562557631466,0.049360346274581204
2000-04-04,-0.04605107228481528,0.060252107176565255
2000-04-05,0.023771162294266877,-0.0950712085277565
2000-04-06,-0.04060310315740675,-0.04016629533677251
2000-04-07,0.051092814273304275,0.009517419406018001
2000-04-10,-0.05259239866224011,-0.02604696956016926
2000-04-11,-0.04552050923925588,0.04746660952473948
2000-04-12,-0.0891546134630171,0.02743481117577995
2000-04-13,0.04091407854545928,-0.02611120623081876
2000-04-14,-0.017170019387338597,-0.00530538533524321
2000-04-17,0.10189109883216689,0.03141659156606195
2000-04-18,0.023929356766186082,0.0025735538481642607
2000-04-19,-0.046379574460493726,0.01150226363490347
2000-04-20,-0.018750454224838425,0.005069474395856804
2000-04-24,0.013577284073003423,0.003785830223606723
2000-04-25,0.06281863207079823,0.017478305451022042
2000-04-26,-0.056098531386709054,-0.021264135674628964
2000-04-27,0.04384645009032018,-0.024314078768796567
2000-04-28,-0.02143112566861841,-0.020942419340946802
2000-05-01,0.002013054582787812,-0.021391344960531987
2000-05-02,-0.05317388275785558,0.0
2000-05-03,-0.024149078639997202,0.04750255119135068
2000-05-04,-0.038764717840048556,0.0
2000-05-05,0.021783244477765976,-0.030087204310865565
2000-05-08,-0.026877671853735075,0.030087204310865506
2000-05-09,-0.043498416605964374,0.04040942755355354
2000-05-10,-0.059846383415164885,0.04477444416984736
2000-05-11,0.034635737369103484,0.014101135193844287
2000-05-12,0.04574638264665343,-0.0248088968214234
2000-05-15,-0.06353271830768573,-0.009615297554446164
2000-05-16,0.04536521226732636,-0.05588078568552696
2000-05-17,-0.04165966829173742,-0.01414881374572043
2000-05-18,-0.006183662348064947,0.024314078768796585
2000-05-19,-0.06934744103207953,0.012562931486186889
2000-05-22,-0.04418105796006193,0.012407138560075278
2000-05-23,-0.04694976995514955,-0.013656258165332617
2000-05-24,0.02161488866966228,0.052355287942055566
2000-05-25,-0.004823121355417319,0.0
2000-05-26,-0.0102582232364967,0.03496868025363319
2000-05-30,0.013655014919037502,-0.012680586770586977
2000-05-31,-0.0415364420948233,-0.009323849068901394
2000-06-01,0.05922344192766467,-0.002344776711630376
2000-06-02,0.037844185201345935,-0.012994650857786571
2000-06-05,-0.013596622282836701,-0.01075941905682242
2000-06-06,0.016966594676598352,-0.003612761027262289
2000-06-07,0.038936243649709525,0.022660943062427993
2000-06-08,-0.01828950923282292,-0.0035440998015797997
2000-06-09,0.009839844260279687,-0.009512627032697748
2000-06-12,-0.0488232770417741,0.005955997171122531
2000-06-13,0.03568218712453457,0.01738705771768606
2000-06-14,-0.043940618060704026,-0.007050603532405589
2000-06-15,0.021197433096436725,0.05282511954903138
2000-06-16,-0.012939002160267325,-0.00673443181489028
2000-06-19,0.05791993055411677,-0.019329719501575023
2000-06-20,0.04675527400766974,-0.027940879731865393
2000-06-21,0.09418745435759782,0.010569638620669041
2000-06-22,-0.034289777911594724,0.04789992556204807
2000-06-23,-0.03912755057046026,0.03070380988769242
2000-06-26,0.04608047930053174,0.019251723075191424
2000-06-27,-0.044871730917816044,-0.019251723075191463
2000-06-28,0.05062870975084236,0.0368400286701365
2000-06-29,-0.060337216357163055,-0.01652910249601056
2000-06-30,0.021713266465956074,-0.027898642049371692
2000-07-03,0.017741548976017475,0.012972760118254613
2000-07-05,-0.03216457484505977,0.009620694933928678
2000-07-06,0.0036250943586556813,0.003186528596691765
2000-07-07,0.049421881401593405,-0.0031865285966917634
2000-07-10,0.04818835319815635,-0.020419939197435278
2000-07-11,-0.003287344463290161,-0.02417667186875694
2000-07-12,0.03346206725210704,-0.0011129379984377047
2000-07-13,-0.04117499054320661,0.03178345461397574
2000-07-14,0.020799333816439294,-0.0054082048993753795
2000-07-17,0.010776276142705724,-0.004893035356633455
2000-07-18,-0.018389790770323523,0.01460663977273461
2000-07-19,-0.08304901295349958,0.03897296498796401
2000-07-20,0.045225210759559785,0.0
2000-07-21,-0.0287543532549928,0.005922248005901801
2000-07-24,-0.09542599435140989,-0.026799702778870883
2000-07-25,0.0278491389229412,0.0
2000-07-26,0.0,-0.0074109062541114065
2000-07-27,0.03797091930253596,0.027255056504948322
2000-07-28,-0.07355267107449394,0.036551632309702146
2000-07-31,0.050451999881378974,-0.02217770888702735
