Date,price,macd,signal,cross_zero
2000-01-05,0.779037594795227,0.00089626298670753,0.000179252597341506,1.0
2000-01-06,0.7116212248802185,-0.0037896945295958773,-0.0006145368280459707,-1.0
2000-01-20,0.8502004146575928,0.004708185039827395,-0.005710121538392884,1.0
2000-04-12,0.8183640837669373,-0.004296230592401584,0.017634825775549274,-1.0
2000-06-22,0.8052554726600647,0.0027675498203157956,-0.01808664248404692,1.0
2000-07-27,0.779037594795227,-0.0007438454801340644,0.011441667297503054,-1.0
2000-08-23,0.8136828541755676,0.0007085985080376167,-0.010618899256805814,1.0
2000-09-26,0.7706114649772644,-0.0004189398481951878,0.016284329762124194,-1.0
2001-01-12,0.2574949264526367,0.000960865184539833,-0.006037731460168912,1.0
2001-02-28,0.27341270446777344,-0.0004378785966612231,0.0028524595242925394,-1.0
2001-03-05,0.3052479326725006,0.0009060018133933423,0.0014245311737339193,1.0
2001-05-25,0.34097930788993835,-0.0007202908217529558,0.002691737238632175,-1.0
2001-06-26,0.35581061244010925,0.0016716325569138824,-0.005352825283053576,1.0
2001-07-20,0.29933062195777893,-0.002601515291217271,0.003005185043524744,-1.0
2001-10-16,0.26981669664382935,0.0008451870067506251,-0.005144742514391925,1.0
2002-02-27,0.3289938271045685,-0.0007571793393273962,0.003308668981821097,-1.0
2002-03-06,0.36060449481010437,0.0008795660685814721,0.0008074610015052515,1.0
2002-04-26,0.3447246253490448,-0.0008961580544047942,0.0024062945303694946,-1.0
2002-05-15,0.37873274087905884,0.0008013031420001093,-0.0018254380371013523,1.0
2002-05-31,0.3490687310695648,-0.0010838407914649517,0.00029053022635130835,-1.0
2002-10-23,0.22292453050613403,1.8915581737610765e-06,-0.001250633012902871,1.0
2002-12-04,0.22427277266979218,-0.0007202775984973542,0.0013344928461230504,-1.0
2003-02-18,0.22876785695552826,0.0007246167877431875,-0.0005558540795343547,1.0
2003-03-10,0.21528416872024536,-7.829274620324567e-05,0.0006201331875678702,-1.0
2003-03-17,0.2248726189136505,0.00028725042768823483,1.0215742615961722e-05,1.0
2003-03-27,0.21708200871944427,-0.00018371544544781848,0.00034323464821025526,-1.0
2003-05-05,0.2410520762205124,0.001933336920759754,-0.0018297441052823008,1.0
2003-09-29,0.31910598278045654,-0.0005006454249597003,0.003518516709369588,-1.0
2003-10-07,0.3478705585002899,0.000969607246716464,-2.0356761892247825e-05,1.0
2003-11-11,0.32270169258117676,-0.0013998234022270517,0.001785498691603376,-1.0
2004-01-05,0.3321399986743927,0.0008792668797091285,-0.0028583556794490378,1.0
2004-05-03,0.39056795835494995,-0.0008546561754878002,0.0039556696054987685,-1.0
2004-05-24,0.4095940589904785,0.00032394514801359353,-0.00022751829306268443,1.0
2004-07-13,0.4377596378326416,-0.0003409287583162057,0.00796286789902064,-1.0
2004-07-15,0.49334123730659485,0.001419688854747636,0.005122751674306913,1.0
2004-08-09,0.45393919944763184,-0.0006917072884553566,0.002702908966660873,-1.0
2004-08-25,0.4951392114162445,0.0021245449292083274,-0.00022295374572177433,1.0
2005-04-14,1.1164212226867676,-0.006614177296700108,0.005559815807753752,-1.0
