date,N_risky,N_safe,wealth,p_curr,signal,trade_risky,trade_safe
2019-09-19,674.0610518489932,1436.013719165767,100000.0,0.35795219877513906,1,302.26062146836364,-359.00342979144176
2019-09-20,916.7111817190467,1148.8109753326137,98758.38828685411,0.4857232544770097,1,242.65012987005355,-287.2027438331534
2019-09-23,916.7111817190467,1148.8109753326137,99193.19212486863,0.48579300754274485,0,0.0,0.0
2019-09-24,1112.2804825414032,919.048780266091,99114.8017625881,0.5870924336904685,1,195.56930082235638,-229.76219506652274
2019-09-25,1265.9957733208967,735.2390242128728,99912.33101272916,0.6730951986799569,1,153.71529077949344,-183.8097560532182
2019-09-26,1390.107559887753,588.1912193702982,99698.12348258807,0.7368498540499837,1,124.1117865668563,-147.04780484257455
2019-09-27,1390.107559887753,588.1912193702982,99302.05253792918,0.7361888858193689,0,0.0,0.0
2019-09-30,1487.6778579359873,470.55297549623856,101085.32382774119,0.7921780072008792,1,97.57029804823428,-117.63824387405964
2019-10-01,1487.6778579359873,470.55297549623856,101388.02876000259,0.7919991981030413,0,0.0,0.0
2019-10-02,1487.6778579359873,470.55297549623856,98769.2543860526,0.7926182331830958,0,0.0,0.0
2019-10-03,1565.974996061789,376.44238039699087,99727.53869711145,0.8333361921891417,1,78.29713812580172,-94.11059509924772
2019-10-04,1627.6969186327697,301.1539043175927,102273.26278235932,0.8682973875334454,1,61.72192257098078,-75.28847607939818
2019-10-07,1676.4571487072888,240.9231234540742,102127.36348654423,0.8957835311036503,1,48.76023007451904,-60.23078086351855
2019-10-08,1715.7152375072467,192.73849876325934,100998.34984097809,0.9161486813218437,1,39.258088799957875,-48.18462469081484
2019-10-09,1746.902728383257,154.19079901060746,102122.30703348332,0.9333476963729589,1,31.187490876010248,-38.54769975265187
2019-10-10,1771.4431654379623,123.35263920848597,103385.50585870454,0.947495993671291,1,24.540437054705304,-30.838159802121496
2019-10-11,1790.4385552205013,98.68211136678877,105954.58463654807,0.9592902163098523,1,18.995389782539,-24.670527841697194
2019-10-14,1805.656770502562,78.94568909343101,105808.29327220531,0.9673871445185374,1,15.218215282060823,-19.736422273357757
2019-10-15,1805.656770502562,78.94568909343101,105583.21280559992,0.9671888429723086,0,0.0,0.0
2019-10-16,1817.9529423875426,63.156551274744814,105169.65523612962,0.9736577064531485,1,12.296171884980486,-15.789137818686203
2019-10-17,1827.8067876829891,50.52524101979585,105582.79353109027,0.9788908990911621,1,9.853845295446419,-12.631310254948964
