x,normal_cdf,logistic_cdf
-0.23005447713036553,8.146318567422369e-13,7.607824307244902e-09
-0.22932763245479448,9.559698040851893e-13,8.069490613974646e-09
-0.22860078777922344,1.1212842469545297e-12,8.559172259694542e-09
-0.22787394310365242,1.314546793600036e-12,9.078569301769538e-09
-0.22714709842808137,1.5403704735618351e-12,9.629484962296557e-09
-0.22642025375251035,1.8041105602786323e-12,1.021383188845866e-08
-0.2256934090769393,2.1119807867224475e-12,1.0833638792776685e-08
-0.22496656440136825,2.47118723121116e-12,1.1491057496311807e-08
-0.22423971972579723,2.8900824760104924e-12,1.218837039927124e-08
-0.22351287505022618,3.378343011575466e-12,1.2927998404953255e-08
-0.22278603037465516,3.947173280206056e-12,1.37125093245415e-08
-0.22205918569908412,4.609540231145834e-12,1.4544626791928036e-08
-0.22133234102351307,5.380442802213789e-12,1.5427239719515217e-08
-0.22060549634794202,6.277221359332312e-12,1.6363412327824377e-08
-0.219878651672371,7.319912824235691e-12,1.7356394783732405e-08
-0.21915180699679998,8.531658012814326e-12,1.840963448426852e-08
-0.21842496232122893,9.939168603853347e-12,1.9526788025146994e-08
-0.21769811764565788,1.1573262173685683e-11,2.0711733895586032e-08
-0.21697127297008684,1.346947488142965e-11,2.196858594348837e-08
-0.21624442829451582,1.5668762688717895e-11,2.3301707657729162e-08
-0.2155175836189448,1.821830346585213e-11,2.4715727317137063e-08
-0.21479073894337375,2.1172413994014625e-11,2.6215554058761622e-08
-0.2140638942678027,2.4593597743877836e-11,2.7806394921212087e-08
-0.21333704959223165,2.855374142073038e-11,2.9493772922238e-08
-0.2126102049166606,3.313548064412211e-11,3.1283546233311796e-08
-0.21188336024108959,3.8433757808424435e-11,3.3181928517784354e-08
-0.21115651556551857,4.455759818567684e-11,3.5195510503220437e-08
-0.21042967088994752,5.1632133723768396e-11,3.733128286280997e-08
-0.20970282621437647,5.980090780607752e-11,3.959666048529073e-08
-0.20897598153880542,6.922849852275996e-11,4.199950821764575e-08
-0.2082491368632344,8.01035028140427e-11,4.454816816994345e-08
-0.20752229218766338,9.264192924332727e-11,4.725148867711849e-08
-0.20679544751209233,1.070910532104289e-10,5.011885501824048e-08
-0.2060686028365213,1.2373379519802897e-10,5.3160221999920245e-08
-0.20534175816095024,1.4289369024060457e-10,5.6386148516974834e-08
-0.20461491348537922,1.649405253067491e-10,5.980783421033715e-08
-0.20388806880980817,1.9029673079471694e-10,6.343715834947692e-08
-0.20316122413423715,2.1944462296957005e-10,6.7286721074323e-08
-0.2024343794586661,2.529346060426809e-10,7.136988713986803e-08
-0.20170753478309505,2.913944558472371e-10,7.570083231532565e-08
-0.200980690107524,3.355398218478597e-10,8.029459259892471e-08
-0.200253845431953,3.8618610070440347e-10,8.516711641920485e-08
-0.19952700075638197,4.4426185297241056e-10,9.033532000403733e-08
-0.19880015608081092,5.108239549662659e-10,9.581714610960368e-08
-0.19807331140523987,5.870747005569995e-10,1.0163162631321517e-07
-0.19734646672966882,6.74381092966803e-10,1.0779894708624868e-07
-0.1966196220540978,7.742965947227729e-10,1.143405198765748e-07
-0.19589277737852678,8.885856351344291e-10,1.2127905544379248e-07
-0.19516593270295574,1.019251209281986e-09,1.2863864270533883e-07
-0.1944390880273847,1.16856594089415e-09,1.3644483236720745e-07
-0.19371224335181364,1.3391070240371533e-09,1.447247256296153e-07
-0.19298539867624262,1.5337955056468556e-09,1.5350706827558377e-07
-0.19225855400067157,1.755940423068169e-09,1.628223504690776e-07
-0.19153170932510055,2.009288368416317e-09,1.7270291260917583e-07
-0.1908048646495295,2.2980791152824953e-09,1.8318305760776827e-07
-0.19007801997395846,2.6271080136598396e-09,1.9429916998057395e-07
-0.1893511752983874,3.001795936604152e-09,2.060898421649279e-07
-0.1886243306228164,3.4282676477604373e-09,2.1859600850287725e-07
-0.18789748594724537,3.913439553236031e-09,2.3186108735473516e-07
-0.18717064127167432,4.4651179052007584e-09,2.4593113183646304e-07
-0.18644379659610327,5.092108638927865e-09,2.6085498970419667e-07
-0.18571695192053223,5.8043401507193075e-09,2.7668447294098974e-07
-0.1849901072449612,6.613000462314679e-09,2.9347453763452004e-07
-0.18426326256939016,7.530690369091399e-09,3.112834747702356e-07
-0.18353641789381914,8.571594335827765e-09,3.3017311260231513e-07
-0.1828095732182481,9.75167108632496e-09,3.502090313050045e-07
-0.18208272854267704,1.1088866033171155e-08,3.71460790649527e-07
-0.181355883867106,1.260334791289192e-08,3.9400217149697916e-07
-0.18062903919153497,1.4317772231284295e-08,4.179114319455994e-07
-0.17990219451596395,1.6257574385625387e-08,4.432715790216465e-07
-0.1791753498403929,1.8451295616542007e-08,4.701706568571155e-07
-0.17844850516482186,2.0930945254632027e-08,4.987020523547139e-07
-0.1777216604892508,2.3732403067581883e-08,5.2896481940128e-07
-0.1769948158136798,2.6895865884814105e-08,5.610640227551503e-07
-0.17626797113810877,3.046634308107491e-08,5.951111028013525e-07
-0.17554112646253772,3.4494205940435323e-08,6.312242624408646e-07
-0.17481428178696667,3.9035796400714003e-08,6.695288774570903e-07
-0.17408743711139563,4.415410119827777e-08,7.101579317841439e-07
-0.1733605924358246,4.991949799769985e-08,7.532524791880139e-07
-0.17263374776025356,5.641058070314962e-08,7.989621329633571e-07
-0.17190690308468254,6.371507181221794e-08,8.474455853458828e-07
-0.1711800584091115,7.19308303918668e-08,8.98871158443547e-07
-0.17045321373354044,8.116696503426576e-08,9.534173885990235e-07
-0.1697263690579694,9.154506199164049e-08,1.0112736462121522e-06
-0.16899952438239838,1.0320053959825931e-07,1.072640793173972e-06
-0.16827267970682735,1.1628414106897718e-07,1.137731880194669e-06
-0.1675458350312563,1.3096357882216148e-07,1.2067728864460888e-06
-0.16681899035568526,1.4742534461545593e-07,1.2800035040864819e-06
-0.1660921456801142,1.6587670101100563e-07,1.3576779703908323e-06
-0.1653653010045432,1.865478710080422e-07,1.4400659503754219e-06
-0.16463845632897214,2.096944441009183e-07,1.5274534729805368e-06
-0.16391161165340112,2.356000185458343e-07,1.6201439240610351e-06
-0.16318476697783008,2.6457910125591266e-07,1.7184590996318666e-06
-0.16245792230225903,2.969802884984189e-07,1.822740323024476e-06
-0.16173107762668798,3.3318975244663384e-07,1.9333496298321676e-06
-0.16100423295111696,3.7363506064898884e-07,2.050671024757463e-06
-0.16027738827554594,4.187893576269082e-07,2.1751118147243318e-06
-0.1595505435999749,4.691759401075082e-07,2.3071040228825476e-06
-0.15882369892440384,5.253732598457252e-07,2.4471058884124547e-06
-0.15809685424883282,5.88020390599968e-07,2.5956034573359357e-06
-0.15737000957326178,6.578229986040807e-07,2.753112269855432e-06
-0.15664316489769073,7.355598588341297e-07,2.9201791500775204e-06
-0.1559163202221197,8.220899625093543e-07,3.0973841043332627e-06
-0.15518947554654866,9.183602646007135e-07,3.2853423346839505e-06
-0.1544626308709776,1.0254141236555932e-06,3.4847063746008575e-06
-0.1537357861954066,1.1444004899922942e-06,3.696168354231346e-06
-0.15300894151983555,1.276583902279809e-06,3.920462403113507e-06
-0.15228209684426453,1.4233553567060598e-06,4.158367198678011e-06
-0.15155525216869348,1.58624411735843e-06,4.410708669382258e-06
-0.15082840749312243,1.7669305411013734e-06,4.678362861857622e-06
-0.1501015628175514,1.9672599951452857e-06,4.962258982020292e-06
-0.14937471814198036,2.1892579506640366e-06,5.263382620699264e-06
-0.1486478734664093,2.435146341243565e-06,5.582779174974995e-06
-0.1479210287908383,2.7073612806354715e-06,5.921557477101649e-06
-0.14719418411526725,3.0085722402534212e-06,6.280893643605146e-06
-0.14646733943969623,3.3417027930906274e-06,6.66203515791336e-06
-0.14574049476412518,3.70995303725815e-06,7.066305200684486e-06
-0.14501365008855413,4.116823819147592e-06,7.495107242858621e-06
-0.1442868054129831,4.566142883312332e-06,7.949929917368487e-06
-0.14355996073741206,5.062093083536177e-06,8.432352186411878e-06
-0.14283311606184101,5.609242797219081e-06,8.944048822212167e-06
-0.14210627138627,6.212578693154539e-06,9.486796220281346e-06
-0.14137942671069895,6.877541010995838e-06,1.0062478565351352e-05
-0.1406525820351279,7.610061519207281e-06,1.0673094371362732e-05
-0.13992573735955688,8.416604327062446e-06,1.1320763418195557e-05
-0.13919889268398583,9.304209735275416e-06,1.2007734109203003e-05
-0.1384720480084148,1.02805413191228e-05,1.2736391275064892e-05
-0.13774520333284376,1.1353936447420138e-05,1.350926445102676e-05
-0.13701835865727272,1.2533460450439592e-05,1.4329036656227476e-05
-0.1362915139817017,1.3828964659779373e-05,1.5198553705559917e-05
-0.13556466930613065,1.5251148553297e-05,1.612083408635199e-05
-0.1348378246305596,1.6811626248473156e-05,1.7099079434110985e-05
-0.13411097995498858,1.8522997597956594e-05,1.8136685643649956e-05
-0.13338413527941753,2.0398924151517522e-05,1.9237254654112053e-05
-0.1326572906038465,2.245421025917745e-05,2.0404606948742798e-05
-0.13193044592827546,2.470488960084875e-05,2.1642794812732618e-05
-0.13120360125270442,2.716831743836214e-05,2.295611639507499e-05
-0.1304767565771334,2.986326889624781e-05,2.434913062316613e-05
-0.12974991190156235,3.281004358800566e-05,2.5826673021822158e-05
-0.1290230672259913,3.603057691480712e-05,2.739387249151406e-05
-0.12829622255042028,3.954855837355526e-05,2.9056169103939467e-05
-0.12756937787484923,4.338955722092524e-05,3.0819332976563325e-05
-0.1268425331992782,4.758115584934995e-05,3.268948429148622e-05
-0.12611568852370716,5.2153091239838134e-05,3.4673114527954765e-05
-0.12538884384813612,5.713740486492602e-05,3.6777108982012505e-05
-0.1246619991725651,6.256860142290426e-05,3.9008770651238045e-05
-0.12393515449699405,6.848381679163399e-05,4.137584556722131e-05
