date,signal_source_date,N_risky,N_safe,wealth,p_curr,signal,trade_risky,trade_safe
2019-09-20,,187.9164895273424,1880.616098614674,100000.00000000001,0.16857612476927367,0,0.0,0.0
2019-09-23,2019-09-20,374.99332752438437,1504.492878891739,100271.43447107964,0.33383165733248726,1,187.07683799704196,-376.12321972293483
2019-09-24,2019-09-23,299.9946620195075,1651.1562434264642,99649.68888870403,0.2621552036924908,-1,-74.99866550487688,146.66336453472505
2019-09-25,2019-09-24,239.99572961560597,1770.5729412498486,99874.44633430583,0.21246256988491294,-1,-59.9989324039015,119.41669782338425
2019-09-26,2019-09-25,239.99572961560597,1770.5729412498486,99852.0191663881,0.20908648526754295,0,0.0,0.0
2019-09-27,2019-09-26,191.99658369248476,1863.5494237635687,99563.1840681296,0.16636696833135883,-1,-47.9991459231212,92.97648251372014
2019-09-30,2019-09-27,153.5972669539878,1938.202836169762,99862.2634588992,0.13349939591432464,-1,-38.39931673849696,74.65341240619324
2019-10-01,2019-09-30,153.5972669539878,1938.202836169762,100194.08284200334,0.1330373474045425,0,0.0,0.0
2019-10-02,2019-10-01,153.5972669539878,1938.202836169762,97526.41501854875,0.1349108560042863,0,0.0,0.0
2019-10-03,2019-10-02,122.87781356319024,1998.191410450381,98820.3434202029,0.10721120448529409,-1,-30.71945339079756,59.98857428061921
2019-10-04,2019-10-03,122.87781356319024,1998.191410450381,100060.98577440799,0.10681704872827529,0,0.0,0.0
2019-10-07,2019-10-04,98.3022508505522,2046.3847352439043,98920.13448913253,0.08609186855549444,-1,-24.57556271263805,48.1933247935234
2019-10-08,2019-10-07,78.64180068044176,2084.540672790029,98299.99464883216,0.06822196375784106,-1,-19.66045017011044,38.15593754612493
2019-10-09,2019-10-08,292.3971781283912,1667.6325382320233,98792.17826196522,0.2548304130015438,1,213.75537744794946,-416.9081345580058
2019-10-10,2019-10-09,233.91774250271297,1781.937113924087,98534.40379632448,0.2041923036515497,-1,-58.47943562567824,114.30457569206376
2019-10-11,2019-10-10,233.91774250271297,1781.937113924087,98144.69504666308,0.20639262241513187,0,0.0,0.0
2019-10-14,2019-10-11,233.91774250271297,1781.937113924087,98197.44396874524,0.20681892611543365,0,0.0,0.0
2019-10-15,2019-10-14,410.8920347866877,1425.5496911392697,98866.28684885065,0.3672649265349176,1,176.97429228397473,-356.38742278481743
2019-10-16,2019-10-15,410.8920347866877,1425.5496911392697,99049.40158064259,0.36867048270220926,0,0.0,0.0
2019-10-17,2019-10-16,410.8920347866877,1425.5496911392697,99606.56962564938,0.3686811530680273,0,0.0,0.0
2019-10-18,2019-10-17,410.8920347866877,1425.5496911392697,100148.2381779549,0.36053898814786683,0,0.0,0.0
2019-10-21,2019-10-18,552.9077009266084,1140.4397529114158,100083.59392603826,0.4932402478693093,1,142.01566613992065,-285.10993822785395
2019-10-22,2019-10-21,442.32616074128674,1361.5140359079946,99177.22257358753,0.3937540006159286,-1,-110.58154018532169,221.0742829965789
2019-10-23,2019-10-22,353.86092859302937,1535.4649734161421,99980.55000782131,0.3118422011299157,-1,-88.46523214825736,173.9509375081474
2019-10-24,2019-10-23,353.86092859302937,1535.4649734161421,100272.03915801909,0.3142194374814004,0,0.0,0.0
2019-10-25,2019-10-24,283.0887428744235,1676.8625336149585,98845.0041925918,0.2522194657785015,-1,-70.77218571860588,141.39756019881634
2019-10-28,2019-10-25,226.47099429953877,1791.3755895533852,98820.402158741,0.2036305504199675,-1,-56.6177485748847,114.51305593842679
2019-10-29,2019-10-28,404.5207265177834,1433.1004716427083,98422.64300659939,0.36224017779666806,1,178.04973221824457,-358.27511791067707
2019-10-30,2019-10-29,546.9774374330118,1146.4803773141666,99395.01866168802,0.4897701832744049,1,142.45671091522837,-286.62009432854165
2019-10-31,2019-10-30,662.1936680807875,917.1843018513333,99764.66399079419,0.5896341237945726,1,115.21623064777566,-229.29607546283333
2019-11-01,2019-10-31,752.7160709388645,733.7474414810666,99855.37301637685,0.6751993489464913,1,90.52240285807699,-183.4368603702667
2019-11-04,2019-11-01,823.5898554001076,586.9979531848533,99895.60208747425,0.7439264920266028,1,70.87378446124312,-146.74948829621334
2019-11-05,2019-11-04,879.6122317741322,469.59836254788263,99427.5257495355,0.796965522542045,1,56.02237637402461,-117.39959063697066
2019-11-06,2019-11-05,924.9043710057358,375.6786900383061,99312.62679431854,0.8362055951725382,1,45.29213923160366,-93.91967250957653
2019-11-07,2019-11-06,960.9400006560763,300.54295203064487,98805.43209374062,0.8695640225146093,1,36.0356296503405,-75.13573800766123
2019-11-08,2019-11-07,989.7617838560064,240.4343616245159,98674.23654747297,0.8956723715465732,1,28.821783199930117,-60.108590406128975
2019-11-11,2019-11-08,1012.8396979732106,192.34748929961273,97897.06614494116,0.9164714804919882,1,23.077914117204145,-48.08687232490318
2019-11-12,2019-11-11,1031.1899585345523,153.8779914396902,98198.14165480691,0.9335491216264296,1,18.35026056134172,-38.46949785992255
2019-11-13,2019-11-12,1046.2801372583228,123.10239315175215,97003.15978260471,0.9454559130203564,1,15.09017872377059,-30.77559828793804
2019-11-14,2019-11-13,1058.3926635196467,98.48191452140172,97103.31980180005,0.9562267501570141,1,12.112526261323893,-24.620478630350433
2019-11-15,2019-11-14,1058.3926635196467,98.48191452140172,96306.93226306274,0.9558312497693386,0,0.0,0.0
2019-11-18,2019-11-15,846.7141308157173,525.0003103648601,97026.07963272982,0.7646871706767643,-1,-211.67853270392936,426.51839584345834
2019-11-19,2019-11-18,677.3713046525738,865.944123678423,97058.61854300261,0.6116353776905936,-1,-169.34282616314349,340.9438133135629
2019-11-20,2019-11-19,677.3713046525738,865.944123678423,96912.14815626713,0.6100225378005991,0,0.0,0.0
2019-11-21,2019-11-20,541.897043722059,1136.4973557797941,96361.0512583071,0.4877666706281476,-1,-135.47426093051476,270.5532321013711
2019-11-22,2019-11-21,541.897043722059,1136.4973557797941,96724.60381677128,0.4890175320308265,0,0.0,0.0
2019-11-25,2019-11-22,433.5176349776472,1356.7409940787898,97663.60224886093,0.3936937178046993,-1,-108.37940874441182,220.24363829899565
2019-11-26,2019-11-25,433.5176349776472,1356.7409940787898,98920.89808979724,0.39375157074896855,0,0.0,0.0
2019-11-27,2019-11-26,433.5176349776472,1356.7409940787898,99444.07840955089,0.3963816438320714,0,0.0,0.0
2019-11-29,2019-11-27,566.4765792511316,1085.3927952630318,98892.04557084502,0.5157700138567459,1,132.95894427348435,-271.34819881575794
2019-12-02,2019-11-29,674.6947279577103,868.3142362104254,98662.09914161728,0.6091681418171231,1,108.21814870657869,-217.07855905260635
2019-12-03,2019-12-02,761.9196683528801,694.6513889683404,98305.29913064282,0.6859077612627393,1,87.22494039516982,-173.6628472420851
2019-12-04,2019-12-03,832.705895252561,555.7211111746723,98233.3676398237,0.7462520017235136,1,70.786226899681,-138.93027779366807
2019-12-05,2019-12-04,889.8869185244212,444.57688893973784,97346.00699584695,0.7955284806665184,1,57.181023271860056,-111.14422223493446
2019-12-06,2019-12-05,711.9095348195369,791.2549645889458,97925.26138328531,0.636700249581183,-1,-177.97738370488423,346.67807564920787
2019-12-09,2019-12-06,711.9095348195369,791.2549645889458,97622.0723874941,0.6379156109267757,0,0.0,0.0
2019-12-10,2019-12-09,569.5276278556296,1069.9645330204567,97059.31295499566,0.5102695173603357,-1,-142.3819069639074,278.7095684315108
2019-12-11,2019-12-10,455.6221022845037,1293.4033781215683,97489.24096050696,0.4086376340630949,-1,-113.90552557112592,223.43884510111164
2019-12-12,2019-12-11,455.6221022845037,1293.4033781215683,97956.76376494631,0.4093873899968941,0,0.0,0.0
2019-12-13,2019-12-12,364.49768182760295,1471.849016291268,98269.86195045392,0.3265795401258566,-1,-91.12442045690074,178.4456381696997
2019-12-16,2019-12-13,291.59814546208236,1615.2759711575425,98420.58376638238,0.26208865589722385,-1,-72.89953636552059,143.42695486627446
2019-12-17,2019-12-16,233.27851636966588,1731.4086609579444,98733.32117559401,0.211540789758151,-1,-58.31962909241648,116.13268980040199
2019-12-18,2019-12-17,406.1851529517262,1385.1269287663556,97926.45022631693,0.3699952853646347,1,172.90663658206034,-346.2817321915889
2019-12-19,2019-12-18,544.920888098061,1108.1015430130844,98563.19539824486,0.4954439575946073,1,138.7357351463348,-277.0253857532711
2019-12-20,2019-12-19,657.6009675271642,886.4812344104676,99000.79542205439,0.5933306310025819,1,112.68007942910326,-221.6203086026169
2019-12-23,2019-12-20,747.3202144732802,709.184987528374,99170.58087032971,0.6755759397583024,1,89.71924694611593,-177.29624688209353
2019-12-24,2019-12-23,818.9856644859348,567.3479900226992,98911.77790295704,0.740729473683751,1,71.6654500126546,-141.83699750567482
2019-12-26,2019-12-24,874.1882191149703,453.87839201815933,102315.01091309408,0.7983465446819847,1,55.2025546290355,-113.46959800453983
2019-12-27,2019-12-26,918.5906721226257,363.1027136145275,102483.78092175022,0.8379768896309007,1,44.40245300765543,-90.77567840363187
2019-12-30,2019-12-27,954.501292180077,290.482170891622,101407.53504434005,0.8691951966229512,1,35.9106200574513,-72.6205427229055
2019-12-31,2019-12-30,983.2565805244652,232.3857367132976,101472.07451373574,0.8952713418227104,1,28.755288344388166,-58.0964341783244
2020-01-02,2019-12-31,1005.5070737529611,185.90858937063808,103869.45297746809,0.9186832003033534,1,22.250493228495873,-46.47714734265952
2020-01-03,2020-01-02,1023.4278960752712,148.72687149651046,102665.02768597109,0.934542455371433,1,17.920822322310087,-37.18171787412762
2020-01-06,2020-01-03,1037.5491082973547,118.98149719720837,104090.7637508466,0.9483701136355618,1,14.121212222083416,-29.745374299302092
2020-01-07,2020-01-06,1048.735891021591,95.1851977577667,104255.95429493347,0.9590783487260409,1,11.186782724236323,-23.796299439441675
2020-01-08,2020-01-07,1057.7723785602457,76.14815820621337,103483.03642407437,0.9669573594245533,1,9.03648753865466,-19.03703955155334
2020-01-09,2020-01-08,1057.7723785602457,76.14815820621337,104025.5438473048,0.9665309407181453,0,0.0,0.0
2020-01-10,2020-01-09,1065.1930762197958,60.91852656497069,103091.31873079702,0.9728893552806287,1,7.420697659550219,-15.229631641242674
2020-01-13,2020-01-10,1071.1679528318277,48.734821251976555,103555.05696031351,0.9781753112599636,1,5.974876612031876,-12.183705312994139
2020-01-14,2020-01-13,1075.9925472353466,38.98785700158125,102379.03346122768,0.9823805920634936,1,4.824594403518837,-9.746964250395312
2020-01-15,2020-01-14,1075.9925472353466,38.98785700158125,102002.38604549578,0.9820944763251143,0,0.0,0.0
2020-01-16,2020-01-15,1075.9925472353466,38.98785700158125,102862.74732112227,0.9822066613422673,0,0.0,0.0
2020-01-17,2020-01-16,1079.9269434151167,31.190285601264996,102155.37801199412,0.9856364933654642,1,3.9343961797702343,-7.79757140031625
2020-01-21,2020-01-17,1079.9269434151167,31.190285601264996,103634.32371234395,0.9857842801464032,0,0.0,0.0
2020-01-22,2020-01-21,863.9415547320934,459.4323459225251,103400.52171020804,0.7885139837339642,-1,-215.98538868302336,428.2420603212601
2020-01-23,2020-01-22,863.9415547320934,459.4323459225251,103359.61586950612,0.7876223693308909,0,0.0,0.0
2020-01-24,2020-01-23,863.9415547320934,459.4323459225251,102311.74043902491,0.7860037184908321,0,0.0,0.0
2020-01-27,2020-01-24,863.9415547320934,459.4323459225251,100797.36154082432,0.7835417886287014,0,0.0,0.0
2020-01-28,2020-01-27,863.9415547320934,459.4323459225251,101694.99414720418,0.7872067221048491,0,0.0,0.0
2020-01-29,2020-01-28,863.9415547320934,459.4323459225251,101900.18290299345,0.7876352079690324,0,0.0,0.0
2020-01-30,2020-01-29,863.9415547320934,459.4323459225251,103150.14571520832,0.7834007976148907,0,0.0,0.0
2020-01-31,2020-01-30,908.084363858683,367.54587673802007,108938.4666343592,0.8372098604875751,1,44.142809126589526,-91.88646918450502
2020-02-03,2020-01-31,908.084363858683,367.54587673802007,108787.90139522417,0.8364821097182913,0,0.0,0.0
2020-02-04,2020-02-03,942.9538225619905,294.03670139041606,110931.38218202435,0.871143980441732,1,34.86945870330744,-73.50917534760401
2020-02-05,2020-02-04,970.9881674611477,235.22936111233284,110471.76521940237,0.8964687150984104,1,28.034344899157187,-58.80734027808322
