strategy,final_wealth
Section 7 aggressive,264208.59995780844
Section 7 conservative,219388.67201391558
Section 7 Bob,310437.37404205
Section 8 aggressive,325587.587999621
Section 8 conservative,281020.9978585674
Section 8.1 aggressive,351268.15286089724
Section 8.1 conservative,312847.40344669594
Section 9 aggressive,230676.96035425036
Section 9 conservative,208839.39545782487
