label,count,mean,std,min,max
D,1565,-0.00013054103622175275,0.03862840627877893,-0.28456782779819334,0.2961810679830656
U,1703,-0.00043729122164957096,0.03452706467490198,-0.24618155269703043,0.28947259571000444
H,1690,0.0023439987480143483,0.02330496537354535,-0.214992279594066,0.17744958374746886
