Date,AMZN,KO
2000-01-04,-0.0868841929340709,0.0011082932056867667
2000-01-05,-0.16103940105137587,0.008819888201679598
2000-01-06,-0.06191350632617563,0.001097489824900746
2000-01-07,0.0592217557524217,0.06371497130489938
2000-01-10,-0.005405473553936852,-0.032412303551447655
2000-01-11,-0.035865857046164115,0.03344134614440493
2000-01-12,-0.048930682053543076,0.011241397993897126
2000-01-13,0.036683679869058815,-0.015360785972119538
2000-01-14,-0.025925570208696905,0.008221811078385282
2000-01-18,-0.0019474648428693402,0.06248893620020329
2000-01-19,0.04105591444033513,0.0038386410785319204
2000-01-20,-0.03135651720806833,0.009533381537379475
2000-01-21,-0.04239171331298817,0.015066141946454273
2000-01-24,0.12213736410549464,-0.030362933036115484
2000-01-25,-0.012556164033204508,0.015296791089661393
2000-01-26,-0.06622471604935803,-0.04363277694067241
2000-01-27,0.03226087739970203,-0.05814968025344898
2000-01-28,-0.08167804768656427,-0.04402242844491368
2000-01-31,0.04555249014835906,0.008742915833307293
2000-02-01,0.04356748073742883,0.011898919398752003
2000-02-02,0.02922579650560937,-0.030570016639425435
2000-02-03,0.19261937784905747,-0.020157989414875295
2000-02-04,-0.0691519694422617,0.017938418086126028
2000-02-07,-0.04640634853605032,0.01104968627339754
2000-02-08,0.10285738543970782,0.005479287748257191
2000-02-09,-0.03519878450106248,-0.0032837314606386273
2000-02-10,-0.05194929471600111,-0.005497710153771481
2000-02-11,0.0,-0.0200455282935341
2000-02-14,-0.023237585455181464,-0.026212028485634156
2000-02-15,-0.008431753266420013,0.028459247989979255
2000-02-16,-0.04325934065242788,-0.038905955430925086
2000-02-17,-0.02416222196629911,-0.02361405146766542
2000-02-18,-0.06357283256754004,-0.018084085970217028
2000-02-22,-0.018510042049759392,0.007272694835933085
2000-02-23,0.10270212092007155,-0.009708469324625556
2000-02-24,-0.028804844710578325,-0.028449569481157046
2000-02-25,0.009995526035305267,-0.022843826986019857
2000-02-28,-0.05005680399735648,0.01275542867676473
2000-02-29,0.046433597731407254,-0.014039679766288966
2000-03-01,-0.044534218441620345,0.04768791515973477
2000-03-02,-0.051592979506662064,-0.027331540379341997
2000-03-03,-0.0009994850895379132,0.010025825749209759
2000-03-06,0.022739516800943677,-0.022699938190919478
2000-03-07,-0.006866182663146764,-0.03901645841742566
2000-03-08,0.001966613968508252,0.0079260754857967
2000-03-09,0.0783788957752103,-0.01591590113731777
2000-03-10,-0.0285601954077007,-0.027101919029944247
2000-03-13,-0.023641763057040424,-0.035477238151594044
2000-03-14,0.0047732787526575905,-0.010050168490802317
2000-03-15,-0.028987536873252298,0.09360236288115685
2000-03-16,0.03846628082779614,0.04496672829703569
2000-03-17,-0.021937008305301615,-0.01264266550435843
2000-03-20,-0.009689998587519425,-0.011516415598652225
2000-03-21,0.12005250427334274,0.017858128463209264
2000-03-22,-0.023592221861928112,-0.04923289681134653
2000-03-23,-0.04336718744497378,-0.0013292186957475955
2000-03-24,0.07126790357932535,0.0
2000-03-27,0.006000849032743768,-0.0379449087480677
2000-03-28,-0.041890968908428,-0.008321597540150943
2000-03-29,-0.0568438717772609,0.043603432694186955
2000-03-30,0.003766497136443919,0.03536706063791643
2000-03-31,0.0074906289203001885,-0.03403438417025748
2000-04-03,-0.05266894712174884,0.04936058725687333
2000-04-04,0.0058824297419725734,0.06025179056380547
2000-04-05,-0.027752058624487975,-0.09507179828657414
2000-04-06,0.03262773854287735,-0.04016580311232278
2000-04-07,0.050271327822299705,0.00951776409539566
2000-04-10,-0.06398360432452586,-0.02604740516116347
2000-04-11,0.0,0.04746687360119188
2000-04-12,-0.11704371296985584,0.0274342394638494
2000-04-13,-0.16082471334528664,-0.026110131516340354
2000-04-14,-0.023716566353745052,-0.005305719778342363
2000-04-17,0.0039920617975288415,0.03141585129468259
2000-04-18,0.15471964671655125,0.002574695802259915
2000-04-19,-0.02768344610767612,0.0115019349873497
2000-04-20,-0.02008333203752016,0.00506963342280168
2000-04-24,-0.05016349639958798,0.0037847910293371534
2000-04-25,0.051356084154430034,0.017479179339326863
2000-04-26,0.020059633661971624,-0.02126397036866392
2000-04-27,-0.011751016746224342,-0.02431357633087355
2000-04-28,0.042805893595373644,-0.02094281939787818
2000-05-01,0.08256585562938111,-0.021391419731098604
2000-05-02,-0.06572098850844509,0.0
2000-05-03,-0.03628521134355286,0.047501551247439
2000-05-04,0.017172717673741775,0.0
2000-05-05,0.06055785155913879,-0.030086632598935063
2000-05-08,-0.04339615338738135,0.030086632598935164
2000-05-09,0.004175456536225164,0.040410234581075455
2000-05-10,-0.053635180055870126,0.044774658877927115
2000-05-11,0.028887045124737016,0.014101350753639514
2000-05-12,-0.02071423914562431,-0.024809865650543352
2000-05-15,0.04212343878941593,-0.00961560665991488
2000-05-16,0.0521290994567735,-0.05588025427737421
2000-05-17,0.03227764328534445,-0.014147829743271714
2000-05-18,-0.0967456373961159,0.024313576330873506
2000-05-19,-0.05093695538479976,0.012563005608682103
2000-05-22,-0.014354277207527945,0.012406507519232142
2000-05-23,-0.10536055651134534,-0.013655705753997043
2000-05-24,0.039375166812186134,0.052354666281806406
2000-05-25,-0.06513922097504903,0.0
2000-05-26,0.021739965225781453,0.034968978397652485
2000-05-30,0.10697213590002068,-0.012680512319376619
2000-05-31,-0.0687341031754138,-0.009324144545452167
2000-06-01,0.038075663884393166,-0.002344553896881395
2000-06-02,0.14251946621678838,-0.012994951327563644
2000-06-05,-0.06008482925624897,-0.010759345326561927
2000-06-06,-0.0749904529919681,-0.0036124557722921015
2000-06-07,0.02442123762176595,0.02266123859081727
2000-06-08,0.0012055272490893968,-0.0035440982094743657
2000-06-09,0.006006024060211949,-0.009512622731365364
2000-06-12,-0.0745686954975085,0.005955994473207142
2000-06-13,0.011546010459801786,0.01738645814305566
2000-06-14,-0.05371295402193403,-0.007050530082034495
2000-06-15,-0.002695481087286055,0.05282498205423378
2000-06-16,-0.006770506707103065,-0.006733437267059208
2000-06-19,-0.015058443142150872,-0.019330574587431086
2000-06-20,0.017772211097528842,-0.027940658031642165
2000-06-21,-0.00135601517070784,0.010569932255946067
2000-06-22,-0.0923295556714099,0.047898990311995245
2000-06-23,-0.214992279594066,0.030704234110198313
2000-06-26,0.00184329036746518,0.01925212590321678
2000-06-27,0.07279170307280525,-0.01925212590321679
2000-06-28,0.036978951933504124,0.036840622927783416
2000-06-29,-0.020000615838952504,-0.01652976223235093
2000-06-30,-0.02212861446190681,-0.0278987833153014
2000-07-03,0.018755917182561456,0.012973238651838243
2000-07-05,-0.013605638815206152,0.00962049136700873
2000-07-06,-0.012058729225669886,0.0031862606280728062
2000-07-07,0.0017315757421124771,-0.003186260628072805
2000-07-10,-0.029852977149304377,-0.02041980201262939
2000-07-11,-0.0568438717772609,-0.024176809053562832
2000-07-12,0.056843871777260836,-0.0011134304429841549
2000-07-13,-0.0017840945942335367,0.03178408335535756
2000-07-14,0.1970928293670842,-0.00540882082219575
2000-07-17,-0.03582463539166495,-0.004892142606350611
2000-07-18,0.015083241517027782,0.01460643021535664
2000-07-19,-0.02118084443296167,0.03897276142104416
2000-07-20,-0.013857057992907634,0.0
2000-07-21,0.019954660908841647,0.005922118252642593
2000-07-24,-0.05948549966547692,-0.026799573025611662
2000-07-25,-0.029462020056903425,0.0
2000-07-26,-0.04241517825161342,-0.007411510464754772
2000-07-27,-0.1392421448408942,0.027255203409328577
2000-07-28,-0.04481403098778953,0.03655259349317411
2000-07-31,0.004158025977282852,-0.02217847035277883
2000-08-01,0.004140808363835433,0.02715081772353546
2000-08-02,0.018424220324189798,-0.0009928448149749975
2000-08-03,0.02206713977949851,0.0009928448149749676
2000-08-04,0.03125251322872968,-0.01398608132199134
2000-08-07,0.039590439066222435,-0.01214629917716451
2000-08-08,-0.026218687623303736,-0.00715333603218824
2000-08-09,-0.06466501494223266,-0.018634001549045136
2000-08-10,-0.014271409327461407,0.019658896958711845
2000-08-11,0.10145146046974092,0.020284740317675375
2000-08-14,0.03464334949012227,0.01296750258499156
2000-08-15,0.07423596043764642,-0.016991551861383472
2000-08-16,0.027893535966184997,-0.02139720099179235
2000-08-17,-0.009756150133735163,-0.016614715784300845
2000-08-18,0.01941809784395809,0.010416698135362307
2000-08-21,-0.03922073760646856,-0.008324369359264238
2000-08-22,-0.02702864625985619,-0.03077161740918686
2000-08-23,0.06143004840586924,0.013646041783855822
2000-08-24,0.014388762023418747,-0.014724113537669808
2000-08-25,0.014184658871125319,-0.03401396527629251
2000-08-28,-0.020554131531667803,0.017700322981387892
2000-08-29,0.012698631779680529,-0.012134703405186192
2000-08-30,0.08028526929612108,-0.0373137424686962
2000-08-31,-0.034052075344299645,-0.03011483129353602
2000-09-01,0.0,0.030114831293535996
2000-09-05,0.09613126641938426,0.03731374246869614
2000-09-06,0.004095610527134425,-0.036162578932594426
2000-09-07,-0.05315941099218446,-0.0057699196910286875
2000-09-08,-0.013015390610034658,0.010362597834389713
2000-09-11,-0.013186914849265482,-0.029055071602075738
2000-09-12,0.007347571300883644,0.009390244424047279
2000-09-13,-0.005873754221316116,-0.01568648561220515
2000-09-14,0.055848461520674686,-0.028987267871520627
2000-09-15,-0.02825046506798378,-0.003683355906987469
2000-09-18,-0.01880030822160484,0.044505560336740274
2000-09-19,-0.049374323141674815,-0.0047171056479940665
2000-09-20,-0.08311485990440412,-0.050920396503662604
2000-09-21,0.06609977789986034,-0.013776015839007881
2000-09-22,0.03374560309938436,0.06469641234267048
2000-09-25,-0.025975556053206013,0.012918452244951832
2000-09-26,-0.01560094081386992,0.025346558684766443
2000-09-27,-0.04831857845852097,0.01243653952375282
2000-09-28,0.05458821546392338,-0.003376157268112715
2000-09-29,-0.039845908547199674,-0.00565240663637043
2000-10-02,-0.0689928449036956,0.03344773255671291
2000-10-03,-0.022908544579393772,-0.012134699742357738
2000-10-04,0.02638675588150929,0.016511181383443062
2000-10-05,-0.07010952548863447,0.03222574683521456
2000-10-06,-0.06143967944094333,-0.011696012353039542
2000-10-09,-0.048691190892653315,-0.010752481599227783
2000-10-10,0.012396900365990985,0.006465393442846134
2000-10-11,-0.09018985658245729,0.006423658892742075
2000-10-12,-0.10162217456862596,-0.02266630521853533
2000-10-13,0.12384531135333625,-0.0010927218022267246
2000-10-16,-0.1567180361068261,0.024825837946663067
2000-10-17,-0.10279320285059294,-0.011795948328706911
2000-10-18,0.13566592760408291,0.004305478510063802
2000-10-19,0.09937248920125191,-0.018428940786893503
2000-10-20,0.10468456176837851,-0.0413232476326367
2000-10-23,-0.026723054665308093,0.00908044784993252
2000-10-24,-0.01469073153980194,0.014582203487875136
2000-10-25,0.0753153533562367,0.031784058571658926
2000-10-26,0.14571181118139379,0.01286148825427474
2000-10-27,-0.03448617607116932,0.004250775333801384
2000-10-30,-0.08033517709999109,0.015781507117882676
2000-10-31,0.10801857980951826,0.008316392667403007
2000-11-01,0.020270977654323837,0.008247153790692454
2000-11-02,0.06160779815586837,-0.0020549348577636444
2000-11-03,-0.056603630202108055,-0.023947279470934817
2000-11-06,-0.026983061914350643,0.01982307156662321
2000-11-07,0.01020414435564732,-0.007257482059361223
2000-11-08,-0.0865499760714841,0.0020786942384165225
2000-11-09,-0.08065791709382798,0.034697228231589376
2000-11-10,-0.03874086003948529,-0.0070461469196984
2000-11-13,-0.07779295621646623,-0.013217709880877363
2000-11-14,0.03965275544181976,-0.008221984676530144
2000-11-15,0.01925196414146676,0.012307828993183785
2000-11-16,-0.05890471958328655,0.010142101905557182
2000-11-17,-0.013574834333007813,-0.0081054871009202
2000-11-20,-0.06105187334531005,-0.082674050376234
2000-11-21,-0.06244225452803706,-0.023477522755770662
2000-11-22,0.03793122305529736,0.07515727052853151
2000-11-24,0.13879049459287726,-0.009488557612641543
2000-11-27,-0.032933822222973516,0.009488557612641522
2000-11-28,-0.11207908693292762,0.014583593575764912
2000-11-29,0.07339392624836549,0.030355778808705356
2000-11-30,-0.0872222897994024,0.008015935650669229
2000-12-01,-0.0025348168752977558,-0.0070108250228348105
2000-12-04,0.07573822089859275,0.009005074960795315
2000-12-05,-0.045736046905909176,-0.0211385159925083
2000-12-06,-0.07145894658250358,-0.009198020152235305
2000-12-07,-0.100083416065228,0.024342444645331848
2000-12-08,0.09211526659963482,-0.02434244464533175
2000-12-11,0.0769610411361284,-0.043006003357646934
2000-12-12,0.021978943575753043,-0.005372978358009823
2000-12-13,-0.08569475796186066,-0.0032384728255941903
2000-12-14,-0.045768439473196684,-0.014153580920722195
2000-12-15,0.00823047846345019,-0.06336921689048874
2000-12-18,-0.14058193292231508,0.025375685094010846
2000-12-19,-0.08529753039202502,0.03359768524588953
2000-12-20,-0.08950514142158437,-0.008849742835645406
2000-12-21,-0.09418727503089784,0.05406766928664125
2000-12-22,0.024391469200775485,-0.008456695843750549
2000-12-26,0.08466595381143638,0.01892796197211554
2000-12-27,-0.0036968759576997004,0.009331401346707405
2000-12-28,0.02919912724839681,0.008221961882305999
2000-12-29,-0.11016820510213336,-0.0020489039744742018
2001-01-02,-0.11477546490571729,-0.002053562370077699
2001-01-03,0.23567726667025993,-0.026029691511362425
2001-01-04,-0.12492596750788665,-0.028894699674512726
2001-01-05,-0.062390294579776594,0.0021694503662603296
2001-01-08,0.02542511514891667,0.016120596204795508
2001-01-09,0.09188099691048877,0.012712181601992547
2001-01-10,0.007604555815782253,-0.004219508055827488
2001-01-11,0.029853005648536365,-0.030045438167698772
2001-01-12,0.03964477633900455,-0.013157824548130602
2001-01-16,0.02097980422854152,0.006600690871249153
