Date,price,macd,signal,cross_signal
2000-01-25,3.4625000953674316,-0.27234239574271735,-0.2865059694312502,1.0
2000-02-18,3.237499952316284,-0.04900178055619442,-0.024198566866689936,-1.0
2000-03-09,3.440624952316284,-0.10779614107431579,-0.10794437594969147,1.0
2000-04-03,3.1781249046325684,-0.020519669177681887,-0.01219920026545409,-1.0
2000-04-28,2.7593750953674316,-0.17822255789190766,-0.18929451166729772,1.0
2000-05-23,2.3343749046325684,-0.08240767655885906,-0.0615749054255187,-1.0
2000-06-02,2.893749952316284,-0.07911921738693373,-0.09951709449982672,1.0
2000-06-14,2.3218750953674316,-0.07943342651429397,-0.07057847572583344,-1.0
2000-07-12,1.7531249523162842,-0.19659295040876024,-0.197534813462443,1.0
2000-07-27,1.568750023841858,-0.09163617025841164,-0.09026358993245734,-1.0
2000-08-08,1.646875023841858,-0.12047649212152023,-0.1254069345773323,1.0
2000-09-18,2.140625,0.08394948033205862,0.08580322881750982,-1.0
2000-10-23,1.5,-0.1532922788644988,-0.16016169769068558,1.0
2000-11-10,1.5031249523162842,6.797056423235581e-05,0.004978331605190099,-1.0
2000-12-12,1.2937500476837158,-0.09257793071940168,-0.09970126264657016,1.0
2000-12-18,0.9937499761581421,-0.10540235761306493,-0.09847572341472684,-1.0
2001-01-04,0.7749999761581421,-0.14980896803388888,-0.14992409643623497,1.0
2001-02-02,0.71875,-0.036168204752571764,-0.02809145190471326,-1.0
2001-03-05,0.6312500238418579,-0.08212212357495541,-0.08234022642171221,1.0
2001-04-03,0.43149998784065247,-0.04488696274714499,-0.04425662116108013,-1.0
2001-04-09,0.5590000152587891,-0.03968761801173837,-0.045151877515420595,1.0
2001-05-09,0.7505000233650208,0.054008831020249226,0.0610756818251717,-1.0
2001-05-24,0.8374999761581421,0.022933349955224003,0.022252843046141283,1.0
2001-06-06,0.7994999885559082,0.02547400301647673,0.02740284106563232,-1.0
2001-06-28,0.7179999947547913,-0.02655231203354791,-0.030154016781481625,1.0
2001-07-24,0.6029999852180481,0.010468994751947958,0.01921627167155875,-1.0
2001-08-22,0.5099999904632568,-0.0530112834477231,-0.0532178209477214,1.0
2001-09-04,0.429500013589859,-0.04967589496275998,-0.049145445616031104,-1.0
2001-09-10,0.43149998784065247,-0.050192062070682775,-0.05101076549319103,1.0
2001-09-17,0.37450000643730164,-0.05231496541533992,-0.051271605477620816,-1.0
2001-09-24,0.37299999594688416,-0.051624257690167985,-0.052623268126877266,1.0
2001-09-26,0.3174999952316284,-0.05355749126970327,-0.052611444591376344,-1.0
2001-10-03,0.33799999952316284,-0.05293761881185327,-0.05459278384434474,1.0
2001-10-29,0.35249999165534973,-0.003335365640816934,-0.0016002448834374664,-1.0
2001-11-13,0.3644999861717224,-0.011839765786308354,-0.012302277124388326,1.0
2001-12-13,0.5444999933242798,0.04465898080553077,0.047143945161626274,-1.0
2002-01-04,0.612500011920929,0.01844603292620206,0.016402195730711767,1.0
2002-01-10,0.5519999861717224,0.01799263404912521,0.018782832031521327,-1.0
2002-01-23,0.6234999895095825,0.007967566732467124,0.004671966209873189,1.0
2002-02-05,0.574999988079071,0.030678366007280022,0.03472800042647699,-1.0
2002-02-15,0.6704999804496765,0.021873128036790535,0.021635815363268678,1.0
2002-02-19,0.6504999995231628,0.020386244167840184,0.02138590112418298,-1.0
2002-02-26,0.7200000286102295,0.02249397933362962,0.020178499746253097,1.0
2002-03-14,0.7239999771118164,0.04053578773828348,0.043499091435449465,-1.0
2002-04-17,0.7409999966621399,-0.007828420429441652,-0.009270949094411713,1.0
2002-05-29,0.9455000162124634,0.04915219195602538,0.0512782080104153,-1.0
2002-07-12,0.7714999914169312,-0.03242170652757159,-0.03352678922772419,1.0
2002-07-24,0.7049999833106995,-0.024372086714296026,-0.023045397546879853,-1.0
2002-08-01,0.7080000042915344,-0.02979031391982212,-0.030170749420938354,1.0
2002-08-05,0.6434999704360962,-0.03384652932054866,-0.030892596575030365,-1.0
2002-08-08,0.6949999928474426,-0.03042380763045771,-0.03130239896709941,1.0
2002-09-05,0.7124999761581421,-0.0010832589180149732,0.0004350806426551303,-1.0
2002-09-06,0.765500009059906,0.0012038303582851961,0.0005888305857811435,1.0
2002-09-23,0.8025000095367432,0.024121033827586458,0.024696715214730623,-1.0
2002-10-10,0.8980000019073486,0.018943695065768762,0.01716980112937703,1.0
2002-10-28,0.9294999837875366,0.038751707824750015,0.039336858183137875,-1.0
2002-11-14,1.0605000257492065,0.031325154529681654,0.027364630479854032,1.0
2002-12-05,1.128999948501587,0.05738438618031916,0.062318608112524224,-1.0
2003-01-09,1.0724999904632568,-0.012894916248143096,-0.015145423085976354,1.0
2003-02-07,1.0720000267028809,0.006869396681769224,0.007176352073586289,-1.0
2003-02-21,1.0889999866485596,-0.004814712486708395,-0.004817382982071002,1.0
2003-04-01,1.2769999504089355,0.05830650056660058,0.06414758656059039,-1.0
2003-04-25,1.4485000371932983,0.0166040300200605,0.012926514895967483,1.0
2003-05-21,1.587499976158142,0.07458330943838609,0.07672423194960909,-1.0
2003-05-27,1.7424999475479126,0.08099055247736109,0.07703854291191195,1.0
2003-06-06,1.6675000190734863,0.07949086994257648,0.0870996385838459,-1.0
2003-07-02,1.8925000429153442,0.0543100051688743,0.05172542922571532,1.0
2003-07-15,1.9214999675750732,0.06491688873921309,0.0661433248504459,-1.0
2003-07-24,2.065500020980835,0.038181865190525466,0.037655651121254935,1.0
2003-08-05,1.933500051498413,0.049955313098561493,0.05626188940394631,-1.0
2003-08-18,2.1510000228881836,0.041047918747077805,0.036683417869563105,1.0
2003-09-09,2.3340001106262207,0.09459267784658865,0.0948138758109682,-1.0
