,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF,usefulness_lambda_0.00,usefulness_lambda_0.05,usefulness_lambda_0.10,usefulness_lambda_0.15,usefulness_lambda_0.20,usefulness_lambda_0.25,usefulness_lambda_0.30,usefulness_lambda_0.35,usefulness_lambda_0.40,usefulness_lambda_0.45,usefulness_lambda_0.50,usefulness_lambda_0.55,usefulness_lambda_0.60,usefulness_lambda_0.65,usefulness_lambda_0.70,usefulness_lambda_0.75,usefulness_lambda_0.80,usefulness_lambda_0.85,usefulness_lambda_0.90,usefulness_lambda_0.95,usefulness_lambda_1.00
10,DDDUD,U,14,30,0.002825999192571659,0.4666666666666667,0.03631528084980354,0.0006154398241600503,0.002825999192571659,0.003648075104904684,0.00470929079031853,0.006079211395062102,0.007847638387892627,0.01013049625435782,0.013077431615336811,0.016881622909661862,0.02179244368823873,0.028131809627926843,0.03631528084980353,0.04687930284765316,0.060516371732641294,0.07812042895741492,0.10084546124893973,0.13018114711140646,0.16805050870268923,0.21693597039104695,0.2800420874224473,0.36150561193957786,0.4666666666666667
11,DDDUD,H,4,30,0.0008074283407347598,0.13333333333333333,0.010375794528515296,1.4354281613062395e-05,0.0008074283407347598,0.0010423071728299098,0.0013455116543767225,0.001736917541446315,0.00224218239654075,0.0028944275012450916,0.003736409032953375,0.004823320831331961,0.006226412482353924,0.008037659893693384,0.010375794528515295,0.0133940865279009,0.017290391923611797,0.022320122559261406,0.028812988928268495,0.03719461346040184,0.0480144310579112,0.06198170582601342,0.08001202497784209,0.10328731769702225,0.13333333333333333
12,DDDUU,D,10,33,0.0020185708518368995,0.30303030303030304,0.024732329791596112,0.00018536004149099171,0.0020185708518368995,0.0025933796632162326,0.003331871195634884,0.0042806557874113405,0.005499616550094928,0.007065688927155886,0.009077716520885726,0.011662689665950469,0.014983760500927869,0.01925054041390109,0.024732329791596112,0.03177511507565594,0.04082340590550641,0.05244829061225151,0.06738348080301028,0.08657162001136841,0.11122377921233695,0.1428958942971169,0.18358696990497445,0.23586524780628346,0.30303030303030304
13,DDDUU,U,13,33,0.0026241421073879695,0.3939393939393939,0.032152028729074945,0.00040723601115570874,0.0026241421073879695,0.0033713935621811028,0.004331432554325349,0.005564852523634741,0.007149501515123407,0.00918539560530265,0.011801031477151443,0.01516149656573561,0.01947888865120623,0.025025702538071418,0.032152028729074945,0.041307649598352716,0.05307042767715834,0.06818277779592696,0.08759852504391336,0.11254310601477892,0.14459091297603804,0.185764662586252,0.23866306087646674,0.30662482214816844,0.3939393939393939
14,DDDUU,H,10,33,0.0020185708518368995,0.30303030303030304,0.024732329791596112,0.00018536004149099171,0.0020185708518368995,0.0025933796632162326,0.003331871195634884,0.0042806557874113405,0.005499616550094928,0.007065688927155886,0.009077716520885726,0.011662689665950469,0.014983760500927869,0.01925054041390109,0.024732329791596112,0.03177511507565594,0.04082340590550641,0.05244829061225151,0.06738348080301028,0.08657162001136841,0.11122377921233695,0.1428958942971169,0.18358696990497445,0.23586524780628346,0.30303030303030304
15,DDDUH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384,0.0012111425111021397,0.0016133814121750882,0.0021492099875045673,0.002862995405508062,0.0038138398479515,0.005080474232630331,0.006767777215995197,0.009015459255981706,0.012009630784560972,0.015998212346839444,0.0213114626823994,0.02838932449556018,0.03781785217303876,0.05037773770226487,0.06710895278731714,0.089396859597526,0.11908692020910416,0.1586375028019665,0.21132343712521348,0.28150717383746193,0.375
16,DDDUH,U,9,16,0.0018167137666532096,0.5625,0.031967194023599106,0.0005748195902301171,0.0018167137666532096,0.0024200721182626324,0.003223814981256851,0.004294493108262093,0.005720759771927251,0.007620711348945496,0.010151665823992797,0.013523188883972562,0.018014446176841458,0.02399731852025917,0.031967194023599106,0.042583986743340276,0.05672677825955814,0.0755666065533973,0.1006634291809757,0.134095289396289,0.17863038031365627,0.23795625420294977,0.31698515568782026,0.4222607607561929,0.5625
17,DDDUH,H,1,16,0.00020185708518368994,0.0625,0.003551910447066567,7.885042389987888e-07,0.00020185708518368994,0.0002688969020291814,0.00035820166458409457,0.0004771659009180103,0.0006356399746585834,0.0008467457054383886,0.001127962869332533,0.0015025765426636176,0.002001605130760162,0.00266636872447324,0.003551910447066567,0.004731554082593363,0.006302975362173127,0.008396289617044144,0.011184825464552857,0.014899476599587666,0.019847820034850697,0.026439583800327748,0.035220572854202256,0.04691786230624366,0.0625
18,DDDHD,D,4,13,0.0008074283407347598,0.3076923076923077,0.01576196337569813,7.644291983287667e-05,0.0008074283407347598,0.0010868124918727738,0.0014628683845997405,0.0019690461111409184,0.0026503700733542107,0.003567443893765113,0.004801841094989276,0.006463361047338717,0.008699795599618601,0.011710075132860934,0.01576196337569813,0.021215874931466126,0.028556934081042176,0.03843812648515804,0.05173838212099437,0.06964075591799815,0.09373766024396482,0.1261725096487947,0.1698303771359618,0.22859462079676982,0.3076923076923077
19,DDDHD,U,6,13,0.0012111425111021397,0.46153846153846156,0.023642945063547194,0.0002579948544359588,0.0012111425111021397,0.0016302187378091605,0.0021943025768996105,0.0029535691667113774,0.003975555110031317,0.00535116584064767,0.007202761642483914,0.009695041571008076,0.013049693399427902,0.017565112699291403,0.023642945063547194,0.03182381239719919,0.04283540112156327,0.05765718972773706,0.07760757318149156,0.10446113387699722,0.14060649036594722,0.18925876447319204,0.2547455657039427,0.34289193119515476,0.46153846153846156
