Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-04-04,9.091020790048136,0.7706189233098066,0.031169248182320555,,0.04111412488969181,0.9165699237894068,0.37381471553160744,0.351993574778768
2000-04-05,7.609723241794595,0.6450537147266069,-0.1778603965083633,,-0.06990668895512953,0.8546838801780725,0.46146714412052825,0.37381471553160744
2000-04-06,7.393609028104649,0.6267343525216492,-0.028810821307847248,,-0.006573975334278868,0.8490836375285615,0.4641074691320295,0.46146714412052825
2000-04-07,7.6318529473737575,0.6469295843654977,0.03171468385527389,,0.028431797414799977,0.8735710728516103,0.4505541446294398,0.4641074691320295
2000-04-10,7.4367375807255875,0.6303902322685134,-0.025898410595915394,,-0.043139716925704286,0.8366867732471117,0.4432081144604239,0.4505541446294398
2000-04-11,7.545091261265037,0.6395750530452265,0.014464932279081784,,0.026429170053076358,0.859094514962533,0.4657773020602278,0.4432081144604239
2000-04-12,8.024550534114338,0.6802173964241459,0.061608471495747684,,-0.03986031142790776,0.825524245458955,0.4123029936410017,0.4657773020602278
2000-04-13,8.33933092839711,0.7069003987099588,0.038477329502178616,,-0.08165335689151061,0.7607960175578563,0.33829376787751897,0.4123029936410017
2000-04-14,8.288724827050997,0.7026106692909104,-0.006086852045200206,,-0.011533994436150255,0.7520714120216644,0.337373598972812,0.33829376787751897
2000-04-17,8.507980975310302,0.7211963639893104,0.0261085245467736,,0.02216378873455503,0.7689262575624117,0.33986213983274105,0.337373598972812
2000-04-18,9.268412213034416,0.7856558691647461,0.08560742136120314,,0.05428300438473832,0.8118195410327369,0.2721453603768615,0.33986213983274105
2000-04-19,9.343549844974577,0.7920250638198898,0.008074166485432159,,0.0008378153277392424,0.812499980889241,0.27247508122862973,0.2721453603768615
2000-04-20,9.300886855120545,0.7884086484507289,-0.004576492709585753,,-0.0017839228841404309,0.8110518356537274,0.28022806417191026,0.27247508122862973
2000-04-24,9.345676099124566,0.792205300090556,0.0048040306681423235,,-0.011333033122260338,0.8019120469247897,0.27513047435608673,0.28022806417191026
2000-04-25,9.669006862951855,0.8196130918939013,0.034011814243912905,,0.026799748230822196,0.8236936550305352,0.26102531519798583,0.27513047435608673
2000-04-26,9.466303642669207,0.8024305399040693,-0.021187093131969936,,-0.01047746360145052,0.8151084886631185,0.2640096916907515,0.26102531519798583
2000-04-27,9.68751148460762,0.8211816738987111,0.023099072028249137,,-0.020996938848083617,0.7981721336028926,0.21498605524998068,0.2640096916907515
