date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2019-09-20,,100000.0,0.0,89.70800018310547,100000.0,0,0,0,0,0.0,0.0,0.0
2019-09-23,2019-09-20,50000.5,560.1355552778762,89.26499938964844,100001.0,0,1,1,1,0.5,-50000.5,560.1355552778762
2019-09-24,2019-09-23,74389.44148321026,280.0677776389381,87.08049774169922,98777.88296142053,-1,0,0,-1,0.5,24388.441478210265,-280.0677776389381
2019-09-25,2019-09-24,86771.49118706527,140.03388881946904,88.41649627685547,99152.79699650545,-1,1,-1,-1,0.5,12381.305809440177,-140.03388881946904
2019-09-26,2019-09-25,86772.35890197715,140.03388881946904,86.99199676513672,98954.18650516991,-1,0,1,0,0.5,0.0,0.0
2019-09-27,2019-09-26,92813.76339805256,70.01694440973452,86.27249908447266,98854.30017053895,-1,1,-1,-1,0.5,6040.5367724863945,-70.01694440973452
2019-09-30,2019-09-27,95853.26944477303,35.00847220486726,86.79550170898438,98891.84735385951,-1,0,-1,-1,0.5,3038.5779090864885,-35.00847220486726
2019-10-01,2019-09-30,95854.22797746748,35.00847220486726,86.78250122070312,98892.35075932133,-1,0,1,0,0.5,0.0,0.0
2019-10-02,2019-10-01,95855.18651974727,35.00847220486726,85.6614990234375,98854.06472733655,-1,0,1,0,0.5,0.0,0.0
2019-10-03,2019-10-02,97365.37782435252,17.50423610243363,86.22100067138672,98874.61057709256,-1,1,-1,-1,0.5,1509.2327527400416,-17.50423610243363
2019-10-04,2019-10-03,97366.35147813076,17.50423610243363,86.98249816894531,98888.91366285949,-1,0,1,0,0.5,0.0,0.0
2019-10-07,2019-10-04,98125.54741308851,8.752118051216815,86.63300323486328,98883.76968453148,-1,0,0,-1,0.5,758.2222714429716,-8.752118051216815
2019-10-08,2019-10-07,98499.699278783,4.3760590256084075,85.27549743652344,98872.86988900334,-1,0,0,-1,0.5,373.170610220345,-4.3760590256084075
2019-10-09,2019-10-08,49250.34213788789,576.3926290583823,86.09950256347656,98877.46078106908,-1,1,1,1,0.5,-49250.34213788789,572.016570032774
2019-10-10,2019-10-09,74039.46438362944,288.19631452919117,86.01300048828125,98828.09412594962,-1,0,-1,-1,0.5,24788.629742320176,-288.19631452919117
2019-10-11,2019-10-10,74040.20477827328,288.19631452919117,86.59600067138672,98996.8530247343,-1,0,1,0,0.5,0.0,0.0
2019-10-14,2019-10-11,74040.94518032107,288.19631452919117,86.82150268554688,99062.58227618196,-1,0,1,0,0.5,0.0,0.0
2019-10-15,2019-10-14,37020.84279488644,707.1310248248851,88.36900329589844,99509.30665826876,0,0,1,1,0.5,-37020.84279488644,418.934710295694
2019-10-16,2019-10-15,37021.21300331439,707.1310248248851,88.87149810791016,99865.00653808375,0,0,0,0,0.5,0.0,0.0
2019-10-17,2019-10-16,37021.58321544443,707.1310248248851,89.3740005493164,100220.71181658239,0,0,0,0,0.5,0.0,0.0
2019-10-18,2019-10-17,37021.95343127658,707.1310248248851,87.87550354003906,99161.44830654722,0,0,0,0,0.5,0.0,0.0
2019-10-21,2019-10-18,18511.16182540545,914.4623468029429,89.28299713134766,100157.10091173805,0,1,0,1,0.5,-18511.16182540545,207.33132197805776
2019-10-22,2019-10-21,58878.686481017896,457.23117340147144,88.2864990234375,99246.02602501208,0,0,-1,-1,0.5,40367.33954399419,-457.23117340147144
2019-10-23,2019-10-22,79022.25114451455,228.61558670073572,88.1084976196289,99165.22702114639,0,0,-1,-1,0.5,20142.975876631837,-228.61558670073572
2019-10-24,2019-10-23,79023.041367026,228.61558670073572,89.03900146484375,99378.74492615892,0,0,0,0,0.5,0.0,0.0
2019-10-25,2019-10-24,89090.51862936527,114.30779335036786,88.06649780273438,99157.20566129085,0,0,-1,-1,0.5,10066.687031925587,-114.30779335036786
2019-10-28,2019-10-25,94169.76165693614,57.15389667518393,88.85399627685547,99248.11377932072,0,0,-1,-1,0.5,5078.352122384575,-57.15389667518393
2019-10-29,2019-10-28,47085.35167727636,591.3921176044392,88.135498046875,99207.99050333968,0,0,1,1,0.5,-47085.35167727636,534.2382209292554
2019-10-30,2019-10-29,23542.911265396568,855.92070711155,88.99949645996094,99719.42320797822,0,0,1,1,0.5,-23542.911265396568,264.5285895071108
2019-10-31,2019-10-30,11771.57334725461,988.4342248694852,88.83300018310547,99577.1510260733,1,0,0,1,0.5,-11771.57334725461,132.51351775793523
2019-11-01,2019-10-31,5885.845531494042,1054.145000823348,89.5719985961914,100307.72006542515,1,0,1,1,0.5,-5885.845531494042,65.71077595386275
2019-11-04,2019-11-01,2942.9521949746786,1086.760032344367,90.23300170898438,101004.57205075986,1,0,0,1,0.5,-2942.9521949746786,32.61503152101891
2019-11-05,2019-11-04,1471.4908122483143,1103.0944121211182,90.08550262451172,100844.30537046952,1,0,0,1,0.5,-1471.4908122483143,16.334379776751454
2019-11-06,2019-11-05,735.7527635782185,1111.2886995920412,89.78849792480469,100516.69586075711,1,0,0,1,0.5,-735.7527635782185,8.194287470922951
2019-11-07,2019-11-06,367.88006055292715,1115.4032286769877,89.41000366210938,100096.08682129101,1,0,0,1,0.5,-367.88006055292715,4.114529084946557
2019-11-08,2019-11-07,183.94186967676634,1117.4631864828548,89.29399871826172,99966.69821118146,1,0,0,1,0.5,-183.94186967676634,2.0599578058670587
2019-11-11,2019-11-08,91.97185454773157,1118.5014486456196,88.5824966430664,99171.62267446324,1,0,0,1,0.5,-91.97185454773157,1.0382621627647526
2019-11-12,2019-11-11,45.98638713313853,1119.0187308317145,88.9000015258789,99526.75326555963,1,0,0,1,0.5,-45.98638713313853,0.5172821860948094
2019-11-13,2019-11-12,22.99342349850493,1119.2810466349454,87.65550231933594,98134.13580279672,1,0,0,1,0.5,-22.99342349850493,0.2623158032309035
2019-11-14,2019-11-13,11.49682671636996,1119.4120944666615,87.7300033569336,98217.52363206864,0,1,0,1,0.5,-11.49682671636996,0.13104783171607307
2019-11-15,2019-11-14,11.496941684637124,1119.4120944666615,86.97450256347656,97371.80702146197,0,0,0,0,0.5,0.0,0.0
2019-11-18,2019-11-15,49056.580678471066,559.7060472333308,87.62650299072266,98101.66430028807,-1,0,-1,-1,0.5,49045.083621817015,-559.7060472333308
2019-11-19,2019-11-18,73583.25128114036,279.8530236166654,87.6395034790039,98109.43131800287,-1,0,0,-1,0.5,24526.180036862508,-279.8530236166654
2019-11-20,2019-11-19,73583.98711365317,279.8530236166654,87.27649688720703,98008.57865820854,-1,0,1,0,0.5,0.0,0.0
2019-11-21,2019-11-20,85721.31843167107,139.9265118083327,86.7354965209961,97857.91390981783,-1,0,0,-1,0.5,12136.595478146759,-139.9265118083327
2019-11-22,2019-11-21,85722.1756448554,139.9265118083327,87.28600311279297,97935.80159011978,-1,0,1,0,0.5,0.0,0.0
2019-11-25,2019-11-22,91928.21405320897,69.96325590416635,88.69200134277344,98133.3952398061,-1,0,0,-1,0.5,6205.181186597123,-69.96325590416635
2019-11-26,2019-11-25,91929.13333534951,69.96325590416635,89.84700012207031,98215.12199711158,-1,0,1,0,0.5,0.0,0.0
2019-11-27,2019-11-26,91930.05262668287,69.96325590416635,90.92549896240234,98291.49657880343,0,0,0,0,0.5,0.0,0.0
2019-11-29,2019-11-27,45965.48596360457,580.4639833167296,90.04000091552734,98230.46355287355,1,0,1,1,0.5,-45965.48596360457,510.50072741256326
2019-12-02,2019-11-29,22982.972809232106,838.4677140847265,89.08000183105469,97673.67831517977,1,0,1,1,0.5,-22982.972809232106,258.0037307679969
2019-12-03,2019-12-02,11491.6013194801,968.3192494507341,88.49800109863281,97185.91932119847,1,0,1,1,0.5,-11491.6013194801,129.85153536600762
2019-12-04,2019-12-03,5745.858117746648,1033.5875034849971,88.03450012207031,96737.21731946699,1,0,1,1,0.5,-5745.858117746648,65.26825403426307
2019-12-05,2019-12-04,2872.957788163913,1066.60089886621,87.02400207519531,95692.83662450215,1,0,1,1,0.5,-2872.957788163913,33.01339538121288
2019-12-06,2019-12-05,49579.440855595414,533.300449433105,87.58000183105469,96285.89519344903,-1,0,-1,-1,0.5,46706.45433785362,-533.300449433105
2019-12-09,2019-12-06,49579.936650003976,533.300449433105,87.47550201416016,96230.66118854206,-1,0,1,0,0.5,0.0,0.0
2019-12-10,2019-12-09,72768.47001566087,266.6502247165525,86.96050262451172,95956.50758195127,-1,0,0,-1,0.5,23188.0375662904,-266.6502247165525
2019-12-11,2019-12-10,84426.61182578084,133.32511235827624,87.43599700927734,96084.02595120065,-1,0,0,-1,0.5,11657.414125419808,-133.32511235827624
2019-12-12,2019-12-11,84427.4560918991,133.32511235827624,88.0165023803711,96162.26616114457,-1,0,1,0,0.5,0.0,0.0
2019-12-13,2019-12-12,90297.73825506415,66.66255617913812,88.0469970703125,96167.17614366827,-1,0,0,-1,0.5,5869.437888604117,-66.66255617913812
2019-12-16,2019-12-13,93247.14284536736,33.33127808956906,88.46050262451172,96195.644458288,-1,0,0,-1,0.5,2948.5016129206538,-33.33127808956906
2019-12-17,2019-12-16,94740.19992958459,16.66563904478453,89.53299713134766,96232.32454237336,-1,0,0,-1,0.5,1492.124612788769,-16.66563904478453
2019-12-18,2019-12-17,47370.57366579195,547.7169520631165,89.20149993896484,96227.74733182005,0,0,1,1,0.5,-47370.57366579195,531.051313018332
2019-12-19,2019-12-18,23685.523685764303,812.0230214852529,89.61399841308594,96454.153444533,1,0,0,1,0.5,-23685.523685764303,264.3060694221363
2019-12-20,2019-12-19,11842.880270500582,944.6049489983625,89.32499694824219,96219.71445707377,1,0,0,1,0.5,-11842.880270500582,132.5819275131096
2019-12-23,2019-12-20,5921.499349651644,1010.6562512723765,89.6500015258789,96526.83381835924,1,0,0,1,0.5,-5921.499349651644,66.05130227401399
2019-12-24,2019-12-23,2960.7792823225705,1043.7521896525766,89.46050262451172,96335.37478407676,1,0,0,1,0.5,-2960.7792823225705,33.09593838020012
2019-12-26,2019-12-24,1480.4044450576969,1059.5958135737746,93.4384994506836,100487.44728961747,1,0,0,1,0.5,-1480.4044450576969,15.843623921198
2019-12-27,2019-12-26,740.2096245510738,1067.5133410255314,93.48999786376953,100542.02959657348,1,-1,1,1,0.5,-740.2096245510738,7.917527451756736
2019-12-30,2019-12-27,370.1085133236597,1071.5212518661267,92.34449768066406,99319.20027105746,1,0,0,1,0.5,-370.1085133236597,4.007910840595286
2019-12-31,2019-12-30,185.05610720439648,1073.5241970413301,92.39199829101562,99370.10188561089,1,0,0,1,0.5,-185.05610720439648,2.0029451752034646
