,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
34,DDUDH,U,5,11,0.0010092854259184498,0.45454545454545453,0.021418825894296924,0.00020853004667736562
35,DDUDH,H,2,11,0.0004037141703673799,0.18181818181818182,0.00856753035771877,1.3345922987351401e-05
36,DDUUD,D,16,40,0.003229713362939039,0.4,0.03594280658456732,0.0005167541380702463
37,DDUUD,U,17,40,0.003431570448122729,0.425,0.038189231996102774,0.0006198274121921679
38,DDUUD,H,7,40,0.0014129995962858296,0.175,0.0157249778807482,4.3273112636253525e-05
39,DDUUU,D,14,34,0.002825999192571659,0.4117647058823529,0.034112266508589485,0.0004791486520277207
40,DDUUU,U,10,34,0.0020185708518368995,0.29411764705882354,0.024365904648992496,0.00017461685569523353
41,DDUUU,H,10,34,0.0020185708518368995,0.29411764705882354,0.024365904648992496,0.00017461685569523353
42,DDUUH,D,4,24,0.0008074283407347598,0.16666666666666666,0.01160049094316529,2.2428565020409992e-05
43,DDUUH,U,13,24,0.0026241421073879695,0.5416666666666666,0.0377015955652872,0.0007699305835912617
44,DDUUH,H,7,24,0.0014129995962858296,0.2916666666666667,0.020300859150539263,0.00012020309065625983
45,DDUHD,D,8,17,0.0016148566814695195,0.47058823529411764,0.027566874251275863,0.00035761532046383823
46,DDUHD,U,3,17,0.0006055712555510698,0.17647058823529413,0.01033757784422845,1.8858620415085224e-05
47,DDUHD,H,6,17,0.0012111425111021397,0.35294117647058826,0.0206751556884569,0.0001508689633206818
48,DDUHU,D,4,21,0.0008074283407347598,0.19047619047619047,0.012401446465056748,2.9294452271555904e-05
49,DDUHU,U,12,21,0.0024222850222042794,0.5714285714285714,0.03720433939517025,0.0007909502113320095
50,DDUHU,H,5,21,0.0010092854259184498,0.23809523809523808,0.015501808081320937,5.7215727092882633e-05
51,DDUHH,D,5,12,0.0010092854259184498,0.4166666666666667,0.020506964527513268,0.0001752231642219531
52,DDUHH,U,2,12,0.0004037141703673799,0.16666666666666666,0.008202785811005305,1.1214282510204996e-05
53,DDUHH,H,5,12,0.0010092854259184498,0.4166666666666667,0.020506964527513268,0.0001752231642219531
54,DDHDD,D,7,17,0.0014129995962858296,0.4117647058823529,0.02412101496986638,0.00023957432601386035
55,DDHDD,U,5,17,0.0010092854259184498,0.29411764705882354,0.017229296407047418,8.730842784761676e-05
56,DDHDD,H,5,17,0.0010092854259184498,0.29411764705882354,0.017229296407047418,8.730842784761676e-05
57,DDHDU,D,5,19,0.0010092854259184498,0.2631578947368421,0.016297282837125834,6.989511259823058e-05
58,DDHDU,U,9,19,0.0018167137666532096,0.47368421052631576,0.0293351091068265,0.00040762829667288075
