date,signal_source_date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,sigma_curr,sigma_risky_t,target_sigma,p_target,p_floor_applied
2019-09-20,,187.9164895273424,1880.616098614674,100000.00000000001,0.16857612476927367,0,0.1685761247692737,0.010117335230886256,,0.021086666400027067,,,0
2019-09-23,2019-09-20,543.7168362229274,1165.2695414968123,100271.43447107964,0.48403499271349965,1,0.16850126646511435,0.010143181231304532,0.010143216896011706,0.02106158908068054,0.012326891332945473,0.4840349927134997,0
2019-09-24,2019-09-23,503.6438453714143,1243.6341313956818,99236.59732469096,0.44194942109904445,-1,0.16874408703043003,0.010143089171267217,0.01223693279288293,0.021056908198634903,0.011818164068559787,0.44194942109904445,0
2019-09-25,2019-09-24,468.37348121660983,1313.8332207734975,99776.87700073584,0.41504548351278636,-1,0.1683197872811202,0.010143997954983486,0.011880914513218037,0.021102975471262695,0.011533531201571127,0.4150454835127863,0
2019-09-26,2019-09-25,468.37348121660983,1313.8332207734977,99346.72089248951,0.4101267157772029,0,0.1684011356407011,0.010124116778820231,0.011466998895246876,0.021110586114019284,0.011466998895246876,0.4101267157772029,0
2019-09-27,2019-09-26,437.77182918989337,1373.1099830956873,98923.53301571152,0.38178650298503336,-1,0.16833980850973676,0.010122553294170325,0.011452095420385642,0.021131038238866997,0.011186186995142578,0.38178650298503336,0
2019-09-30,2019-09-27,410.72658907094166,1425.6895505388884,99298.86994851635,0.3590093259078915,-1,0.1685748884830176,0.010122194245449072,0.011190393370386964,0.02111547371255592,0.010976753545399386,0.35900932590789153,0
2019-10-01,2019-09-30,410.72658907094166,1425.6895505388886,99539.07648119202,0.3580893250919317,0,0.16845804698695788,0.010122037718654144,0.010969113789688248,0.021118492539788883,0.010969113789688248,0.35808932509193175,0
2019-10-02,2019-10-01,410.72658907094166,1425.6895505388886,97243.03988146066,0.361809496612703,0,0.1684200171027662,0.010113100118104236,0.01099347928117039,0.021115313292236364,0.01099347928117039,0.361809496612703,0
2019-10-03,2019-10-02,387.42230225631016,1471.1978778796076,98361.40718708345,0.3396041144411161,-1,0.1719791743393879,0.010223042530292012,0.011050145989475669,0.02111011100212406,0.010884725297638937,0.33960411444111616,0
2019-10-04,2019-10-03,387.42230225631016,1471.1978778796076,99500.97638368426,0.3386796885959391,0,0.17270569631704832,0.010196590745165972,0.01084807028982823,0.02108554754122263,0.01084807028982823,0.3386796885959391,0
2019-10-07,2019-10-04,366.7930983706697,1511.6522892278863,98557.22469442754,0.32241560957294696,-1,0.1736412862296077,0.010217407330539613,0.010870222393921656,0.021019994721398365,0.010739659381245248,0.32241560957294696,0
2019-10-08,2019-10-07,348.85410863171415,1546.4673095452117,97699.78298606654,0.30449103096356955,-1,0.17434116926784235,0.01023877861371668,0.010739701028024915,0.021018994563741622,0.010639516545163269,0.30449103096356955,0
2019-10-09,2019-10-08,586.7949253540095,1082.3879342366015,98304.3045860884,0.51394240966842,1,0.1743792408876763,0.010246085529052158,0.010652061491495638,0.021003338739885493,0.012722316941173609,0.51394240966842,0
2019-10-10,2019-10-09,542.0558337283159,1169.83547593069,98102.65194943067,0.4752557424765917,-1,0.17379636429621487,0.010243420312063795,0.012733744075198547,0.021010828954191808,0.012235679322571597,0.47525574247659175,0
2019-10-11,2019-10-10,542.0558337283159,1169.83547593069,98073.29905972118,0.47862025435569944,0,0.1735348653238112,0.0102438604611432,0.012277494669802996,0.021000967235939902,0.012277494669802996,0.47862025435569944,0
