,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
AMZN,6613,52.36025509999863,68.30105353304737,0.2985000014305115,2.4670000076293945,13.090999603271484,92.34449768066406,254.0,1.2187299822992752,0.15359680440780732
KO,6613,29.228712297650414,17.559067608810963,9.360126495361328,13.345059394836426,25.634626388549805,39.79296875,81.00302124023438,0.8320793425562911,-0.36546864056489126
