Date,price,SMA_30,EMA_30,SMA_100,EMA_100,SMA_300,EMA_300
2000-01-03,4.46875,,4.46875,,4.46875,,4.46875
2000-01-04,4.096875190734863,,4.444758076821604,,4.46138614239079,,4.466279071034783
2000-01-05,3.487499952316284,,4.382999488143842,,4.442101267339809,,4.459775555295789
2000-01-06,3.278125047683716,,4.311717266178673,,4.419052233287213,,4.451924056906341
2000-01-07,3.4781250953674316,,4.257937126126334,,4.400420012734346,,4.445453631912727
2000-01-10,3.4593749046325684,,4.206416982804156,,4.381785456138271,,4.4389016137912645
2000-01-11,3.3375000953674316,,4.150357828775981,,4.361106538103205,,4.43158333127682
2000-01-12,3.1781249046325684,,4.087633123992535,,4.337681159222599,,4.423254703857256
2000-01-13,3.296875,,4.036616470831726,,4.317071136267696,,4.4157704533332875
2000-01-14,3.2125000953674316,,3.983447672414675,,4.295198442388482,,4.407775301453116
2000-01-18,3.206249952316284,,3.9333058840212307,,4.273635105951409,,4.399791744315993
2000-01-19,3.340625047683716,,3.895068410709133,,4.255159659253039,,4.392754091846676
2000-01-20,3.237499952316284,,3.852644639199917,,4.2350079818879545,,4.385077984607271
2000-01-21,3.1031250953674316,,3.8042885395978217,,4.212594459382598,,4.3765600252103285
2000-01-24,3.5062499046325684,,3.7850602405678053,,4.198607438496459,,4.370777233711473
2000-01-25,3.4625000953674316,,3.7642499086193943,,4.1840310554642,,4.364742169669319
2000-01-26,3.2406249046325684,,3.7304676502976637,,4.1653497455467425,,4.357272951961433
2000-01-27,3.346874952316284,,3.7057197342988655,,4.149142323898614,,4.350559343990369
2000-01-28,3.0843749046325684,,3.6656329710945883,,4.128057820546811,,4.342146158346796
2000-01-31,3.2281250953674316,,3.6374066565315464,,4.110237370543259,,4.3347440250379625
2000-02-01,3.371875047683716,,3.6202755849929766,,4.09561633444703,,4.3283462245239805
2000-02-02,3.471874952316284,,3.6107013506267385,,4.083265019949391,,4.322655385505989
2000-02-03,4.209374904632568,,3.649325450885179,,4.085762245388662,,4.321902691280917
2000-02-04,3.9281249046325684,,3.667312512417269,,4.082640713888542,,4.319286227582257
2000-02-07,3.75,,3.6726471890355095,,4.076053769059065,,4.3155035948408464
2000-02-08,4.15625,,3.7038473703880572,,4.077641813236113,,4.314445431419977
2000-02-09,4.012499809265137,,3.7237604309607724,,4.0763518725634205,,4.31243914821629
2000-02-10,3.809375047683716,,3.729283954620317,,4.071065202763822,,4.309096529608101
2000-02-11,3.809375047683716,,3.7344511219147303,,4.065883219494909,,4.305776121090331
2000-02-14,3.721874952316284,3.543020828564962,3.7336397561341856,,4.059071174600283,,4.301896379105122
2000-02-15,3.690624952316284,3.5170833269755044,3.7308646075007728,,4.05177520980258,,4.297834774940411
2000-02-16,3.534374952316284,3.4983333190282186,3.7181878555533863,,4.0415296601493855,,4.292761952198723
2000-02-17,3.450000047683716,3.497083322207133,3.7008854163359883,,4.029816202476798,,4.2871622053248695
2000-02-18,3.237499952316284,3.495729152361552,3.6709895799476207,,4.014126771780551,,4.280187705304878
2000-02-22,3.1781249046325684,3.485729146003723,3.639191858959553,,3.9975722793617785,,4.27286502888845
2000-02-23,3.5218749046325684,3.4878124793370566,3.631623023196522,,3.9881525293671407,,4.267875061285421
2000-02-24,3.421875,3.4906249761581423,3.618090892667714,,3.976939112944029,,4.262253798419738
2000-02-25,3.456249952316284,3.4998958110809326,3.6076495416772993,,3.966628436495955,,4.256898291136658
2000-02-28,3.2874999046325684,3.4995833079020184,3.586994726384091,,3.9531803467560858,,4.250457105844272
2000-02-29,3.4437499046325684,3.507291634877523,3.577753124980767,,3.9430926152288874,,4.245096925105324
2000-03-01,3.293750047683716,3.5102083047231036,3.5594303458003123,,3.9302343465646263,,4.2387756833948815
2000-03-02,3.128124952316284,3.503124968210856,3.5316041913819882,,3.914350992223075,,4.2313959443179465
2000-03-03,3.125,3.4993749698003134,3.505371662905731,,3.898720279505786,,4.2240444762493885
2000-03-06,3.1968750953674316,3.502499969800313,3.4854686585484216,,3.884822355067403,,4.2172194305292425
2000-03-07,3.174999952316284,3.491458304723104,3.465438419436671,,3.870766465904014,,4.210294384162379
2000-03-08,3.1812500953674316,3.482083304723104,3.447103688851559,,3.857112676388438,,4.203456880582346
2000-03-09,3.440624952316284,3.4887499729792277,3.4466857058492835,,3.848865394723643,,4.198388229896192
2000-03-10,3.34375,3.488645807902018,3.440044692568685,,3.8388631096796106,,4.192709570561334
2000-03-13,3.265625,3.494687477747599,3.4287918091771568,,3.8275118599829847,,4.186549540192156
2000-03-14,3.28125,3.496458307902018,3.419272982778631,,3.8166947934486677,,4.180534260855332
2000-03-15,3.1875,3.4903124729792276,3.4043198871154936,,3.8042354906081,,4.173936026563934
2000-03-16,3.3125,3.484999974568685,3.398396023430623,,3.794498154160415,,4.168212199144905
2000-03-17,3.2406249046325684,3.4527083079020184,3.3882172415726846,,3.7835303670410516,,4.162048828417247
2000-03-20,3.2093749046325684,3.4287499745686847,3.376679026286226,,3.772160951943854,,4.155718769122997
2000-03-21,3.6187500953674316,3.424374977747599,3.3922965146140456,,3.7691231131997665,,4.152150870958508
2000-03-22,3.534374952316284,3.403645809491475,3.401462865433545,,3.7644746347664304,,4.148046047578825
2000-03-23,3.3843750953674316,3.3827083190282186,3.400360428655086,,3.7569479112139748,,4.142971821982736
2000-03-24,3.6343750953674316,3.3768749872843427,3.4154581490881406,,3.7545207267417657,,4.1395924417394445
2000-03-27,3.65625,3.3717708190282187,3.4309931072114863,,3.7525747717567803,,4.136380864053468
2000-03-28,3.5062499046325684,3.3645833174387616,3.4358483844644594,,3.747697051615707,,4.132193947379575
2000-03-29,3.3125,3.351979152361552,3.42789042417643,,3.739079288217376,,4.126747475968415
2000-03-30,3.325000047683716,3.3449999888738,3.4212523353704487,,3.7308796992959175,,4.121420250531307
2000-03-31,3.3499999046325684,3.341666650772095,3.4166554043551014,,3.723337525144168,,4.116294533947263
2000-04-03,3.1781249046325684,3.339687482515971,3.401266339856874,,3.7125412356290868,,4.110060848702647
2000-04-04,3.1968750953674316,3.3403124888737996,3.3880798079543295,,3.702330024930836,,4.103993169278493
2000-04-05,3.109375,3.326562492052714,3.3700988526024376,,3.6905883412688394,,4.097384410678635
2000-04-06,3.2125000953674316,3.3195833285649616,3.359931190845341,,3.6811212472905934,,4.091504780676567
2000-04-07,3.378124952316284,3.316979161898295,3.3611049819079826,,3.675121320657439,,4.086764715371848
2000-04-10,3.168750047683716,3.3130208333333333,3.3486949861515782,,3.6650941667371675,,4.080664950138039
2000-04-11,3.168750047683716,3.3038541714350385,3.337085635282684,,3.6552655703202674,,4.0746057149057835
2000-04-12,2.8187499046325684,3.2880208333333334,3.3036446204020313,,3.638700903672986,,4.066261158026892
