antecedent,consequent,support,confidence,lambda,utility
DDHHD,U,0.0008074283407347598,0.25,0.0,0.0008074283407347598
DDHHD,H,0.0008074283407347598,0.25,0.0,0.0008074283407347598
DDHHU,D,0.0008074283407347598,0.2222222222222222,0.0,0.0008074283407347598
DDHHU,U,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DDHHU,H,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DDHHH,D,0.0010092854259184498,0.5,0.0,0.0010092854259184498
DDHHH,U,0.00020185708518368994,0.1,0.0,0.00020185708518368994
DDHHH,H,0.0008074283407347598,0.4,0.0,0.0008074283407347598
DUDDD,D,0.0026241421073879695,0.3611111111111111,0.0,0.0026241421073879695
DUDDD,U,0.002825999192571659,0.3888888888888889,0.0,0.002825999192571659
DUDDD,H,0.0018167137666532096,0.25,0.0,0.0018167137666532096
DUDDU,D,0.003229713362939039,0.42105263157894735,0.0,0.003229713362939039
DUDDU,U,0.0022204279370205892,0.2894736842105263,0.0,0.0022204279370205892
DUDDU,H,0.0022204279370205892,0.2894736842105263,0.0,0.0022204279370205892
DUDDH,D,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DUDDH,U,0.0016148566814695195,0.5,0.0,0.0016148566814695195
DUDDH,H,0.0004037141703673799,0.125,0.0,0.0004037141703673799
DUDUD,D,0.0022204279370205892,0.44,0.0,0.0022204279370205892
DUDUD,U,0.0022204279370205892,0.44,0.0,0.0022204279370205892
DUDUD,H,0.0006055712555510698,0.12,0.0,0.0006055712555510698
DUDUU,D,0.0030278562777553493,0.39473684210526316,0.0,0.0030278562777553493
DUDUU,U,0.0030278562777553493,0.39473684210526316,0.0,0.0030278562777553493
DUDUU,H,0.0016148566814695195,0.21052631578947367,0.0,0.0016148566814695195
DUDUH,D,0.0010092854259184498,0.3333333333333333,0.0,0.0010092854259184498
DUDUH,U,0.0016148566814695195,0.5333333333333333,0.0,0.0016148566814695195
DUDUH,H,0.0004037141703673799,0.13333333333333333,0.0,0.0004037141703673799
DUDHD,D,0.0006055712555510698,0.23076923076923078,0.0,0.0006055712555510698
DUDHD,U,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
DUDHD,H,0.0012111425111021397,0.46153846153846156,0.0,0.0012111425111021397
DUDHU,D,0.0014129995962858296,0.4666666666666667,0.0,0.0014129995962858296
DUDHU,U,0.0006055712555510698,0.2,0.0,0.0006055712555510698
DUDHU,H,0.0010092854259184498,0.3333333333333333,0.0,0.0010092854259184498
DUDHH,D,0.0008074283407347598,0.3333333333333333,0.0,0.0008074283407347598
DUDHH,U,0.0010092854259184498,0.4166666666666667,0.0,0.0010092854259184498
DUDHH,H,0.0006055712555510698,0.25,0.0,0.0006055712555510698
DUUDD,D,0.003229713362939039,0.5,0.0,0.003229713362939039
DUUDD,U,0.0024222850222042794,0.375,0.0,0.0024222850222042794
DUUDD,H,0.0008074283407347598,0.125,0.0,0.0008074283407347598
DUUDU,D,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DUUDU,U,0.0018167137666532096,0.47368421052631576,0.0,0.0018167137666532096
DUUDU,H,0.0004037141703673799,0.10526315789473684,0.0,0.0004037141703673799
DUUDH,D,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
DUUDH,U,0.0010092854259184498,0.2631578947368421,0.0,0.0010092854259184498
DUUDH,H,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DUUUD,D,0.0024222850222042794,0.42857142857142855,0.0,0.0024222850222042794
DUUUD,U,0.0018167137666532096,0.32142857142857145,0.0,0.0018167137666532096
DUUUD,H,0.0014129995962858296,0.25,0.0,0.0014129995962858296
DUUUU,D,0.0026241421073879695,0.48148148148148145,0.0,0.0026241421073879695
