window_h,pJ_count_non_na,pJ_mean,pJ_std,pJ_last,SJ_normalized_last,rolling_sharpe_mean,rolling_sharpe_last
30,4930,0.11908149796937506,0.12343563712152268,0.05492671230626526,4.005842466742534,0.45545295101461697,-0.5695281826922628
100,4860,0.09342360667933626,0.08320540827404864,0.3173743703002416,5.788631722053825,0.7473436989224918,-0.27932227575034924
300,4660,0.08046246010871569,0.05499418911485698,0.1685761247692737,5.153849268097347,0.8861047343233907,1.1019764488812103
inf,4958,0.10057295564249592,0.02531449868741079,0.09172442410215857,3.8556823193995955,0.7578373043298263,1.0835616900367098
