date,signal_source_date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,sigma_curr,sigma_risky_t,target_sigma,p_target,p_floor_applied
2019-09-20,,187.9164895273424,1880.616098614674,100000.00000000001,0.16857612476927367,0,0.1685761247692737,0.010117335230886256,,0.021086666400027067,,,0
2019-09-23,2019-09-20,789.2272069781069,671.6640684062864,100271.43447107964,0.7025965722023654,1,0.16850126646511435,0.010143181231304532,0.010143216896011706,0.02106158908068054,0.015602402988346123,0.7025965722023654,0
2019-09-24,2019-09-23,591.3775535250098,1058.5682306619965,98635.50584775938,0.522098520929277,-1,0.16874408703043003,0.010143089171267217,0.015500899311753618,0.021056908198634903,0.012821994241510417,0.522098520929277,0
2019-09-25,2019-09-24,464.88656353768647,1310.3249823823774,99312.72808971498,0.41388089829793695,-1,0.1683197872811202,0.010143997954983486,0.012900090302429824,0.021102975471262695,0.011522044128706655,0.4138808982979369,0
2019-09-26,2019-09-25,464.88656353768647,1310.3249823823771,98886.90613790322,0.4089662829073465,0,0.1684011356407011,0.010124116778820231,0.011454883253841216,0.021110586114019284,0.011454883253841216,0.4089662829073465,0
2019-09-27,2019-09-26,382.0131296346332,1470.8545132719576,98466.45724886138,0.3347051198700614,-1,0.16833980850973676,0.010122553294170325,0.011440029413241527,0.021131038238866997,0.010781291353705926,0.33470511987006146,0
2019-09-30,2019-09-27,325.2482590741236,1581.2130209765862,98823.05234288247,0.285662961799272,-1,0.1685748884830176,0.010122194245449072,0.01078443853188135,0.02111547371255592,0.010453316388665212,0.285662961799272,0
2019-10-01,2019-09-30,325.24825907412355,1581.2130209765862,99091.15590663804,0.2848473931086807,0,0.16845804698695788,0.010122037718654144,0.010449204127741321,0.021118492539788883,0.010449204127741321,0.2848473931086807,0
2019-10-02,2019-10-01,325.24825907412355,1581.2130209765862,96690.70031884847,0.2881482224782442,0,0.1684200171027662,0.010113100118104236,0.010459302343809615,0.021115313292236364,0.010459302343809615,0.2881482224782442,0
2019-10-03,2019-10-02,286.74374518502736,1656.4041665412767,97858.17280706715,0.25264453583102986,-1,0.1719791743393879,0.010223042530292012,0.010537737384570698,0.02111011100212406,0.010380389957431355,0.25264453583102986,0
