x,predicted_label,score_D,score_U,score_H
-0.2812276866121546,D,6.374700693466923e-08,1.8487211699122466e-08,1.7147107570720037e-11
-0.2810824630823268,D,6.439833253869508e-08,1.868957387150567e-08,1.7397906577125118e-11
-0.28093723955249905,D,6.505631296559595e-08,1.8894151112846704e-08,1.7652373848941975e-11
-0.2807920160226713,D,6.572101621003793e-08,1.9100967669428365e-08,1.7910563039378106e-11
-0.2806467924928435,D,6.639251096141249e-08,1.9310048052934987e-08,1.8172528586389692e-11
-0.28050156896301576,D,6.707086661093488e-08,1.9521417043357102e-08,1.8438325724159835e-11
-0.28035634543318794,D,6.775615325881489e-08,1.9735099691928727e-08,1.870801049474416e-11
-0.28021112190336017,D,6.844844172150014e-08,1.9951121324096e-08,1.898163975988669e-11
-0.2800658983735324,D,6.91478035389955e-08,2.0169507542519222e-08,1.9259271213009847e-11
-0.27992067484370464,D,6.985431098225495e-08,2.0390284230106827e-08,1.9540963391377943e-11
-0.2797754513138769,D,7.056803706065023e-08,2.061347755308341e-08,1.9826775688439838e-11
-0.2796302277840491,D,7.128905552951552e-08,2.0839113964090484e-08,2.0116768366351724e-11
-0.27948500425422135,D,7.20174408977691e-08,2.106722020532187e-08,2.041100256868303e-11
-0.2793397807243936,D,7.275326843561284e-08,2.129782331169305e-08,2.0709540333308555e-11
-0.27919455719456576,D,7.349661418231179e-08,2.1530950614045653e-08,2.101244460548856e-11
-0.279049333664738,D,7.424755495404922e-08,2.1766629742385987e-08,2.131977925114008e-11
-0.27890411013491023,D,7.500616835186751e-08,2.20048886291604e-08,2.1631609070303898e-11
-0.27875888660508247,D,7.577253276968584e-08,2.2245755512565472e-08,2.1947999810806266e-11
-0.2786136630752547,D,7.65467274024016e-08,2.2489258939894754e-08,2.2269018182121945e-11
-0.27846843954542694,D,7.732883225407431e-08,2.2735427770922493e-08,2.259473186943957e-11
-0.2783232160155992,D,7.811892814619307e-08,2.298429118132358e-08,2.292520954793265e-11
-0.2781779924857714,D,7.89170967260285e-08,2.323587866613175e-08,2.3260520897239413e-11
-0.2780327689559436,D,7.972342047507043e-08,2.349022004323528e-08,2.3600736616154857e-11
-0.2778875454261158,D,8.053798271755015e-08,2.3747345456910567e-08,2.394592843753612e-11
-0.27774232189628806,D,8.136086762905275e-08,2.4007285381395665e-08,2.4296169143428244e-11
-0.2775970983664603,D,8.21921602452146e-08,2.4270070624501183e-08,2.4651532580409526e-11
-0.27745187483663253,D,8.303194647051105e-08,2.4535732331262012e-08,2.5012093675161372e-11
-0.27730665130680476,D,8.388031308713362e-08,2.4804301987628553e-08,2.5377928450266522e-11
-0.277161427776977,D,8.473734776395798e-08,2.5075811424198277e-08,2.574911404023804e-11
-0.27701620424714923,D,8.560313906560351e-08,2.535029281998864e-08,2.6125728707782617e-11
-0.2768709807173214,D,8.64777764615858e-08,2.5627778706250435e-08,2.650785186030245e-11
-0.27672575718749365,D,8.736135033556086e-08,2.5908301970323353e-08,2.689556406663661e-11
-0.2765805336576659,D,8.825395199466732e-08,2.6191895859534264e-08,2.7288947074050016e-11
-0.2764353101278381,D,8.915567367896053e-08,2.6478593985137127e-08,2.7688083825468964e-11
-0.27629008659801035,D,9.006660857094464e-08,2.6768430326297063e-08,2.8093058476968867e-11
-0.2761448630681826,D,9.098685080520306e-08,2.7061439234116976e-08,2.8503956415518575e-11
-0.2759996395383548,D,9.191649547812443e-08,2.735765543570918e-08,2.892086427698367e-11
-0.27585441600852706,D,9.285563865773088e-08,2.7657114038311013e-08,2.934386996439315e-11
-0.2757091924786993,D,9.380437739360525e-08,2.7959850533446096e-08,2.977306266647376e-11
-0.2755639689488715,D,9.476280972692048e-08,2.8265900801130307e-08,3.020853287645461e-11
-0.2754187454190437,D,9.573103470056949e-08,2.8575301114124193e-08,3.0650372411146705e-11
-0.27527352188921594,D,9.670915236940232e-08,2.8888088142232507e-08,3.1098674430303644e-11
-0.2751282983593882,D,9.769726381056425e-08,2.9204298956649744e-08,3.1553533456262455e-11
-0.2749830748295604,D,9.869547113394113e-08,2.952397103435432e-08,3.2015045393873796e-11
-0.27483785129973265,D,9.970387749271149e-08,2.984714226254968e-08,3.2483307550722954e-11
-0.2746926277699049,D,1.0072258709400612e-07,3.017385094315505e-08,3.2958418657646656e-11
-0.2745474042400771,D,1.0175170520967657e-07,3.0504135797344836e-08,3.3440478889549844e-11
-0.2744021807102493,D,1.0279133818717438e-07,3.083803597013786e-08,3.392958988652793e-11
-0.27425695718042153,D,1.0384159346053911e-07,3.117559103503673e-08,3.442585477529524e-11
-0.27411173365059377,D,1.0490257956150287e-07,3.151684099871807e-08,3.492937819093074e-11
-0.273966510120766,D,1.0597440613070413e-07,3.1861826305774085e-08,3.544026629893924e-11
-0.27382128659093824,D,1.0705718392901829e-07,3.221058784350599e-08,3.595862681763531e-11
-0.2736760630611105,D,1.081510248490035e-07,3.256316694676985e-08,3.6484569040855705e-11
-0.2735308395312827,D,1.0925604192646317e-07,3.2919605402875964e-08,3.701820386100335e-11
-0.27338561600145495,D,1.1037234935212827e-07,3.327994545654076e-08,3.7559643792428304e-11
-0.2732403924716271,D,1.1150006248345587e-07,3.364422981489424e-08,3.810900299515168e-11
-0.27309516894179936,D,1.1263929785654982e-07,3.4012501652540906e-08,3.866639729893389e-11
-0.2729499454119716,D,1.1379017319820554e-07,3.4384804616677404e-08,3.9231944227698784e-11
-0.27280472188214383,D,1.1495280743807402e-07,3.476118283226559e-08,3.980576302431231e-11
-0.27265949835231607,D,1.1612732072095221e-07,3.5141680907261505e-08,4.038797467572384e-11
-0.2725142748224883,D,1.173138344191987e-07,3.552634393790276e-08,4.0978701938476145e-11
-0.27236905129266054,D,1.1851247114527605e-07,3.591521751405307e-08,4.1578069364587975e-11
-0.27222382776283277,D,1.197233547644214e-07,3.6308347724606026e-08,4.218620332781501e-11
-0.27207860423300495,D,1.20946610407447e-07,3.670578116294683e-08,4.280323205029614e-11
-0.2719333807031772,D,1.2218236448366918e-07,3.7107564932474554e-08,4.342928562958637e-11
-0.2717881571733494,D,1.2343074469397392e-07,3.7513746652185345e-08,4.406449606608948e-11
-0.27164293364352166,D,1.2469188004401165e-07,3.792437446231575e-08,4.4708997290888986e-11
-0.2714977101136939,D,1.2596590085752868e-07,3.8339497030048156e-08,4.5362925193986223e-11
-0.2713524865838661,D,1.2725293878983485e-07,3.8759163555279435e-08,4.602641765295275e-11
-0.27120726305403836,D,1.285531268414086e-07,3.918342377645109e-08,4.669961456200096e-11
-0.2710620395242106,D,1.2986659937164082e-07,3.961232797644491e-08,4.738265786148016e-11
-0.2709168159943828,D,1.3119349211272e-07,4.00459269885423e-08,4.8075691567804145e-11
-0.270771592464555,D,1.3253394218365664e-07,4.048427220244842e-08,4.877886180381579e-11
-0.27062636893472725,D,1.3388808810445517e-07,4.0927415570384135e-08,4.949231682959719e-11
-0.2704811454048995,D,1.3525606981042857e-07,4.137540961324201e-08,5.0216207073728905e-11
-0.2703359218750717,D,1.3663802866665654e-07,4.182830742681171e-08,5.09506851650079e-11
-0.27019069834524395,D,1.3803410748259585e-07,4.228616268807251e-08,5.169590596462754e-11
-0.2700454748154162,D,1.3944445052683782e-07,4.274902966155576e-08,5.245202659883009e-11
-0.2699002512855884,D,1.4086920354201626e-07,4.3216963205775214e-08,5.321920649203579e-11
-0.26975502775576066,D,1.4230851375986898e-07,4.369001877972953e-08,5.399760740045657e-11
-0.26960980422593284,D,1.437625299164523e-07,4.416825244947514e-08,5.4787393446202735e-11
-0.26946458069610507,D,1.452314022675098e-07,4.465172089477038e-08,5.558873115188459e-11
-0.2693193571662773,D,1.4671528260400203e-07,4.5140481415794693e-08,5.6401789475725896e-11
-0.26917413363644954,D,1.4821432426779065e-07,4.5634591939938244e-08,5.722673984718691e-11
-0.2690289101066218,D,1.4972868216748482e-07,4.613411102866808e-08,5.8063756203108636e-11
-0.268883686576794,D,1.5125851279444945e-07,4.66390978844688e-08,5.891301502438745e-11
-0.26873846304696625,D,1.528039742389766e-07,4.7149612357858825e-08,5.9774695373185e-11
-0.2685932395171384,D,1.543652262066227e-07,4.7665714954484794e-08,6.064897893068281e-11
-0.26844801598731066,D,1.559424300347104e-07,4.8187466842290896e-08,6.153605003538805e-11
-0.2683027924574829,D,1.5753574870900409e-07,4.871492985877006e-08,6.243609572200174e-11
-0.26815756892765513,D,1.5914534688055017e-07,4.924816651829214e-08,6.334930576085302e-11
-0.26801234539782737,D,1.6077139088269265e-07,4.978724001951294e-08,6.427587269791239e-11
-0.2678671218679996,D,1.62414048748261e-07,5.0332214252865215e-08,6.521599189538783e-11
-0.26772189833817184,D,1.6407349022693688e-07,5.088315380812985e-08,6.616986157291683e-11
-0.2675766748083441,D,1.6574988680279223e-07,5.144012398209163e-08,6.713768284935989e-11
-0.2674314512785163,D,1.674434117120124e-07,5.200319078627784e-08,6.811965978520514e-11
-0.2672862277486885,D,1.691542399607984e-07,5.257242095478276e-08,6.911599942559504e-11
-0.2671410042188607,D,1.7088254834344897e-07,5.3147881952175086e-08,7.012691184397741e-11
-0.26699578068903296,D,1.7262851546063408e-07,5.372964198149561e-08,7.115261018640215e-11
