lambda,rank,antecedent,consequent,support,confidence,usefulness
0.15,5,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.008902744163247
0.15,6,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.008902744163247
0.15,7,HHHUH,H,0.004238998788857489,0.4883720930232558,0.008639456543757579
0.15,8,UDUUD,D,0.004037141703673799,0.6060606060606061,0.00856131157482268
0.15,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.008450297883439725
0.15,10,UDDUD,D,0.003835284618490109,0.4418604651162791,0.007816651158637812
0.2,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.017937362474756136
0.2,2,HHUHH,H,0.005046427129592248,0.5,0.012652641590101267
0.2,3,HHHDH,H,0.004238998788857489,0.7241379310344828,0.011851542912226634
0.2,4,HUHHH,H,0.004642712959224869,0.4791666666666667,0.01173585639741729
0.2,5,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.011225601771442623
0.2,6,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.011225601771442623
0.2,7,UDUUD,D,0.004037141703673799,0.6060606060606061,0.010999233100189857
0.2,8,HHHUH,H,0.004238998788857489,0.4883720930232558,0.010953698979079154
0.2,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.010809477296756189
0.2,10,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.01002386858971034
0.25,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.022329901122443967
0.25,2,HHUHH,H,0.005046427129592248,0.5,0.01592137259464612
0.25,3,HHHDH,H,0.004238998788857489,0.7241379310344828,0.01532508152691332
0.25,4,HUHHH,H,0.004642712959224869,0.4791666666666667,0.014797914884279348
0.25,5,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.014154527280615026
0.25,6,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.014154527280615026
0.25,7,UDUUD,D,0.004037141703673799,0.6060606060606061,0.014131377854311773
0.25,8,HHHUH,H,0.004238998788857489,0.4883720930232558,0.013887855181235167
0.25,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.013827299468113596
0.25,10,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.012918588952922083
0.3,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.027798093774369318
0.3,2,HHUHH,H,0.005046427129592248,0.5,0.02003455985790867
0.3,3,HHHDH,H,0.004238998788857489,0.7241379310344828,0.019816670752991046
0.3,4,HUHHH,H,0.004642712959224869,0.4791666666666667,0.018658909712849482
0.3,5,UDUUD,D,0.004037141703673799,0.6060606060606061,0.018155433041771453
0.3,6,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.017847652768812547
0.3,7,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.017847652768812547
0.3,8,HHUUH,H,0.004037141703673799,0.5555555555555556,0.017687646250783087
0.3,9,HHHUH,H,0.004238998788857489,0.4883720930232558,0.017607980820299546
0.3,10,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.01664925463067978
0.35,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.03460534882135902
0.35,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.025624688458772964
0.35,3,HHUHH,H,0.005046427129592248,0.5,0.025210363385070107
0.35,4,HUHHH,H,0.004642712959224869,0.4791666666666667,0.023527295189549515
0.35,5,UDUUD,D,0.004037141703673799,0.6060606060606061,0.023325379331900934
0.35,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.022625736183286848
0.35,7,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.02250436931174301
0.35,8,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.02250436931174301
0.35,9,HHHUH,H,0.004238998788857489,0.4883720930232558,0.022324612729757876
0.35,10,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.021457272211955626
0.4,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.04307957864909764
0.4,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.03313496332425388
0.4,3,HHUHH,H,0.005046427129592248,0.5,0.03172330345737018
0.4,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.029967521001855745
0.4,5,HUHHH,H,0.004642712959224869,0.4791666666666667,0.029665914432021094
0.4,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.028942456818584986
0.4,7,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.028376092065411477
0.4,8,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.028376092065411477
0.4,9,HHHUH,H,0.004238998788857489,0.4883720930232558,0.028304684030499145
0.4,10,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.027653762344985226
0.45,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.05362899551061094
0.45,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.04284640557742112
0.45,3,HHUHH,H,0.005046427129592248,0.5,0.039918820957748576
0.45,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.03850108082780219
0.45,5,HUHHH,H,0.004642712959224869,0.4791666666666667,0.0374061902142882
0.45,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.037022698395750855
0.45,7,UHUDD,U,0.0030278562777553493,0.75,0.0361744519145705
0.45,8,HHHUH,H,0.004238998788857489,0.4883720930232558,0.03588663094694954
0.45,9,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.035779834118014796
0.45,10,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.035779834118014796
0.5,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.0667617755248721
0.5,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.05540414977798089
0.5,3,HHUHH,H,0.005046427129592248,0.5,0.050231599265762227
0.5,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.04946465958319222
0.5,5,UHUDD,U,0.0030278562777553493,0.75,0.04765387925779508
0.5,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.04735880596088756
0.5,7,HUHHH,H,0.004642712959224869,0.4791666666666667,0.04716601841328052
0.5,8,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.04593182030045625
0.5,9,HHHUH,H,0.004238998788857489,0.4883720930232558,0.045499546270675914
0.5,10,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.04511532196052918
0.55,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.08311053803630411
0.55,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.07164241133539904
0.55,3,UDUUD,D,0.004037141703673799,0.6060606060606061,0.06355023015131188
0.55,4,HHUHH,H,0.005046427129592248,0.5,0.06320861949972867
0.55,5,UHUDD,U,0.0030278562777553493,0.75,0.06277613310298233
0.55,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.06058057892123863
0.55,7,HUHHH,H,0.004642712959224869,0.4791666666666667,0.05947233012016722
0.55,8,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.05919613779955022
0.55,9,HHHUH,H,0.004238998788857489,0.4883720930232558,0.0576874634427992
0.55,10,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.05688657663668168
0.6,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.1034628195307749
0.6,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.09263990373497905
0.6,3,UHUDD,U,0.0030278562777553493,0.75,0.08269721056798794
0.6,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.08164681181101283
0.6,5,HHUHH,H,0.005046427129592248,0.5,0.07953817193681681
0.6,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.07749364596445665
0.6,7,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.07629096141762376
0.6,8,HUHHH,H,0.004642712959224869,0.4791666666666667,0.07498954054019213
0.6,9,UHHUU,H,0.0030278562777553493,0.625,0.07412797102941672
0.6,10,HHUHU,H,0.0030278562777553493,0.625,0.07412797102941672
0.65,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.1287990100675533
0.65,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.11979149785799695
0.65,3,UHUDD,U,0.0030278562777553493,0.75,0.10893994736036462
0.65,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.10489658122450302
0.65,5,HHUHH,H,0.005046427129592248,0.5,0.10008636235249205
0.65,6,HHUUH,H,0.004037141703673799,0.5555555555555556,0.09912855360250111
