date,signal_source_date,money,N_risky,N_safe,wealth,signal_risky,signal_safe,trade_risky,trade_safe,trade_cash_risky,trade_cash_safe
2019-09-20,,100000.0,0.0,0.0,100000.0,0,0,0.0,0.0,0.0,0.0
2019-09-23,2019-09-20,80000.8,224.05422211115047,0.0,100001.0,1,0,224.05422211115047,0.0,-20000.2,0.0
2019-09-24,2019-09-23,83903.75064451365,179.24337768892036,0.0,99512.35319056822,-1,0,-44.8108444222301,0.0,3902.150636513643,0.0
2019-09-25,2019-09-24,87074.20396923678,143.3947021511363,0.0,99752.66111810353,-1,-1,-35.848675537784075,0.0,3169.614287216685,0.0
2019-09-26,2019-09-25,87075.07471127648,143.3947021511363,0.0,99549.26617694588,0,0,0.0,0.0,0.0,0.0
2019-09-27,2019-09-26,71640.11945922722,114.71576172090904,402.127277497814,99446.96477207573,-1,1,-28.67894043022726,402.127277497814,2474.203862010427,-17910.029864806806
2019-09-30,2019-09-27,58905.75862313659,91.77260937672723,731.9850421645822,99550.54680918195,-1,1,-22.94315234418181,329.8577646667682,1991.3624184989212,-14726.439655784148
2019-10-01,2019-09-30,58906.34768072283,91.77260937672723,731.9850421645822,99676.012391182,0,0,0.0,0.0,0.0,0.0
2019-10-02,2019-10-01,58906.93674419964,91.77260937672723,731.9850421645822,98631.27498692294,0,0,0.0,0.0,0.0,0.0
2019-10-03,2019-10-02,60490.071056504225,73.41808750138179,731.9850421645822,99139.42275981297,-1,0,-18.354521875345448,0.0,1582.5452429371421,0.0
2019-10-04,2019-10-03,60490.67595721479,73.41808750138179,731.9850421645822,99616.13481740424,0,0,0.0,0.0,0.0,0.0
2019-10-07,2019-10-04,49410.69339710024,58.734470001105436,1011.600389630664,99188.89135117462,-1,1,-14.683617500276359,279.6153474660818,1272.085882400937,-12352.67334927506
2019-10-08,2019-10-07,40330.327786589754,46.987576000884346,1241.0652406039076,98869.06302518836,-1,1,-11.746894000221088,229.46485097324364,1001.722229202966,-10082.581946647439
2019-10-09,2019-10-08,32667.892182792773,93.82957843885886,1323.2897482615901,99162.63338450526,1,1,46.842002437974514,82.22450765768266,-4033.0731089867622,-3629.7657980880863
2019-10-10,2019-10-09,45928.64834643355,75.0636627510871,1058.6317986092722,98970.36628530934,-1,-1,-18.765915687771773,-264.65794965231805,1614.1127152153583,11646.316769503588
2019-10-11,2019-10-10,36743.28610633362,75.0636627510871,1268.7858902918913,98702.04691879477,0,1,0.0,210.15409168261914,0.0,-9185.821526583404
2019-10-14,2019-10-11,47835.363103688935,75.0636627510871,1015.028712233513,98719.34135879643,0,-1,0.0,-253.75717805837826,0.0,11091.709564494253
2019-10-15,2019-10-14,45395.33385581373,203.4891631038808,812.0229697868104,99010.77183060892,1,-1,128.4255003527937,-203.0057424467026,-11348.833463953433,8908.325862447182
2019-10-16,2019-10-15,52519.78764198172,203.4891631038808,649.6183758294484,99100.17374706618,0,-1,0.0,-162.4045939573621,0.0,7123.999832829424
2019-10-17,2019-10-16,52520.31283985814,203.4891631038808,649.6183758294484,99362.76277213762,0,0,0.0,0.0,0.0,0.0
2019-10-18,2019-10-17,42016.670434389234,203.4891631038808,883.4410478781601,99585.77850770522,0,1,0.0,233.8226720487118,0.0,-10504.167608597309
2019-10-21,2019-10-18,39899.901755877036,315.21228799287496,706.7528383025281,99474.14593552126,1,-1,111.72312488899415,-176.68820957563204,-9974.97543896926,7857.786593752713
2019-10-22,2019-10-21,36372.87890088503,252.16983039429996,912.6635694269681,98940.18822691754,-1,1,-63.042457598575,205.9107311244401,5565.797871211692,-9093.219725221257
2019-10-23,2019-10-22,32653.522887905372,201.73586431543998,1094.845964714104,99486.93798030942,-1,1,-50.433966078859996,182.18239528713573,4443.660980207681,-8163.380721976344
2019-10-24,2019-10-23,42460.21596482776,201.73586431543998,875.8767717712832,99648.04204989575,0,-1,0.0,-218.9691929428208,0.0,9806.366541693504
2019-10-25,2019-10-24,36811.09982182487,161.388691452352,1084.6560459460968,98834.55585543143,-1,1,-40.347172863088,208.77927417481354,3553.234210293683,-9202.774955456218
2019-10-28,2019-10-25,31743.57917656789,129.11095316188158,1265.2991326312376,98801.90327427597,-1,1,-32.2777382904704,180.6430866851407,2868.0060378867724,-7935.894794141973
2019-10-29,2019-10-28,25712.556256011325,165.12810551912656,1330.5261027150987,98543.4392323498,1,1,36.017152357244996,65.22697008386096,-3174.389661235966,-2856.9506951123694
2019-10-30,2019-10-29,20570.25070525911,222.91003553968923,1330.5261027150987,99264.65513215166,1,0,57.78193002056266,0.0,-5142.5626763147775,0.0
2019-10-31,2019-10-30,25958.79674591287,295.9650845991766,1064.420882172079,99762.42125880404,1,-1,73.05504905948733,-266.10522054301975,-6489.699186478218,11878.039524624923
2019-11-01,2019-10-31,21026.835630443067,324.94630277083866,1117.2763207479338,99518.75165035352,1,1,28.981218171662082,52.85543857585481,-2595.905633388033,-2336.3150700492297
2019-11-04,2019-11-01,17031.907178027494,348.2493576405136,1160.701971903335,99037.39397813566,1,1,23.303054869674963,43.4256511554013,-2102.7045898799374,-1892.4341308919438
2019-11-05,2019-11-04,13795.982772650414,367.1559264011845,1196.3602430953706,98300.85216805863,1,1,18.90656876067088,35.65827119203545,-1703.2077497099276,-1532.886974738935
2019-11-06,2019-11-05,11174.857793307294,382.5210578504621,1225.0358438605078,98564.78795145822,1,1,15.365131449277612,28.67560076513718,-1379.6120732478141,-1241.6508659230328
2019-11-07,2019-11-06,17345.028506433668,431.01962567286853,980.0286750884063,97907.75918091327,1,-1,48.49856782240641,-245.00716877210158,-4336.257126608417,10506.316091156856
2019-11-08,2019-11-07,14049.613584942173,450.444449519593,1016.4885601341421,97793.6223281375,1,1,19.42482384672446,36.45988504573577,-1734.5201956718736,-1561.0681761046862
2019-11-11,2019-11-08,11380.3008056732,466.30509311568625,1046.2321437938456,97164.84666742952,1,1,15.860643596093245,29.743583659703603,-1404.9754081078027,-1264.4778672970224
2019-11-12,2019-11-11,16202.977829851403,511.8702718326256,836.9857150350765,97201.47649135586,1,-1,45.56517871693932,-209.24642875876913,-4050.7444574628507,8873.307678632997
2019-11-13,2019-11-12,13124.543286300059,530.3552949411583,870.9149938296206,97045.08558692047,1,1,18.485023108532744,33.92927879454409,-1620.3139859629703,-1458.2825873666734
2019-11-14,2019-11-13,16513.998757311812,577.4144483818684,696.7319950636964,97241.86591182246,1,-1,47.05915344071013,-174.18299876592414,-4128.499689327953,7517.823914906845
2019-11-15,2019-11-14,16514.163897299386,577.4144483818684,696.7319950636964,96828.6379548692,0,0,0.0,0.0,0.0,0.0
2019-11-18,2019-11-15,32693.658101842775,461.9315587054947,557.3855960509571,97410.97435346045,-1,-1,-115.48288967637369,-139.34639901273928,10119.361777604054,6059.967285300366
2019-11-19,2019-11-18,32632.54042213614,369.54524696439574,744.8017389706561,97440.16601818787,-1,1,-92.38631174109895,187.41614291969898,8096.690489246381,-8158.135105534035
2019-11-20,2019-11-19,39134.14175344336,369.54524696439574,595.8413911765249,97391.85637342557,0,-1,0.0,-148.96034779413122,0.0,6501.275005902995
2019-11-21,2019-11-20,36436.05695307768,295.6361975715166,805.5761678869046,97065.2768076917,-1,1,-73.90904939287915,209.73477671037972,6410.538096486199,-9109.01423826942
2019-11-22,2019-11-21,36436.42131364721,295.6361975715166,805.5761678869046,97274.63071424411,0,0,0.0,0.0,0.0,0.0
2019-11-25,2019-11-22,48712.66577147275,236.5089580572133,644.4609343095237,97816.18614592234,-1,-1,-59.12723951430333,-161.11523357738093,5244.113206397077,7031.766887215321
2019-11-26,2019-11-25,48713.152898130465,236.5089580572133,644.4609343095237,98449.22299145913,0,0,0.0,0.0,0.0,0.0
2019-11-27,2019-11-26,38970.912023727564,236.5089580572133,864.6704897045644,98731.21035271965,0,1,0.0,220.20955539504067,0.0,-9742.728005931891
2019-11-29,2019-11-27,31177.04138627824,323.0733768412812,864.6704897045644,98415.00500100918,1,0,86.56441878406784,0.0,-7794.260346569561,0.0
2019-12-02,2019-11-29,25253.656056920605,358.0726499843394,927.8561261743336,98355.20939255273,1,1,34.99927314305823,63.18563646976915,-3117.7353156692106,-2805.9617841022896
2019-12-03,2019-12-02,20455.665960719754,386.6087844506255,978.9894339693526,98185.39606372504,1,1,28.536134466286065,51.133307795019086,-2525.390859348118,-2272.851773413306
2019-12-04,2019-12-03,16569.255119077283,409.84498217880576,1020.0340042476606,98402.73601136864,1,1,23.236197728180276,41.04457027830805,-2045.5870517379365,-1841.0283465641428
2019-12-05,2019-12-04,13421.230857419065,428.8850405724789,1053.3417893194705,97904.48025287295,1,1,19.0400583936731,33.30778507180997,-1656.9420811628477,-1491.2478730465627
2019-12-06,2019-12-05,16746.972477966057,343.1080324579831,1146.4596359461657,98343.22802735766,-1,1,-85.77700811449579,93.11784662669511,7512.350527729934,-4186.743119491514
2019-12-09,2019-12-06,16747.139947690837,343.1080324579831,1146.4596359461657,97976.03732048534,0,0,0.0,0.0,0.0,0.0
2019-12-10,2019-12-09,18171.74144840081,274.4864259663865,1248.7210019892846,97515.334184208,-1,1,-68.62160649159662,102.26136604311895,5967.369391410699,-4542.935362100203
2019-12-11,2019-12-10,18377.53762383371,219.5891407731092,1351.7954335319205,97831.73741455586,-1,1,-54.8972851932773,103.07443154263596,4799.998863976839,-4594.384405958427
2019-12-12,2019-12-11,14702.17711936796,219.5891407731092,1433.9664210090307,98171.59167323948,0,1,0.0,82.17098747711022,0.0,-3675.54427984199
2019-12-13,2019-12-12,14855.325622402906,175.67131261848735,1516.5661825310924,98510.15569976444,-1,1,-43.917828154621844,82.59976152206175,3866.832886864477,-3713.8314056007266
2019-12-16,2019-12-13,14370.774958277563,140.5370500947899,1596.4717069613903,98582.94531650188,-1,1,-35.13426252369747,79.90552443029776,3107.994522187824,-3592.6937395693913
2019-12-17,2019-12-16,13509.9674612993,112.42964007583191,1671.590901170856,98733.81423848504,-1,1,-28.107410018957978,75.11919420946572,2516.540660596977,-3377.491865324825
2019-12-18,2019-12-17,10943.18307438887,127.57524028459304,1698.8899123663793,97992.34403610308,1,1,15.145600208761126,27.299011195523526,-1351.0102560973914,-1215.9092304876522
2019-12-19,2019-12-18,8864.066930037889,139.7868285409001,1720.8354331034543,98620.55576083866,1,1,12.211588256307078,21.94552073707493,-1094.3292506219614,-984.8963255597654
2019-12-20,2019-12-19,7179.966012272824,149.71031678444672,1738.4012875498001,99504.38479345519,1,1,9.923488243546618,17.56585444634586,-886.4155570707189,-797.7740013636471
2019-12-23,2019-12-20,5815.830627665688,157.71928241715818,1752.6453169724523,99466.95038141588,1,1,8.008965632711467,14.244029422652194,-718.0037811932948,-646.2034030739653
2019-12-24,2019-12-23,4710.869916637291,164.22035117415223,1764.225274478007,99147.51162097273,1,1,6.50106875699404,11.579957505554573,-581.5888785971964,-523.4299907374768
2019-12-26,2019-12-24,3815.8427905225303,169.2620813528596,1773.552284621337,100252.68471051045,1,1,5.041730178707394,9.32701014333025,-471.09170253364573,-423.9825322802812
2019-12-27,2019-12-26,3090.863568649853,173.34367407522848,1781.062194342965,100745.00159394936,1,1,4.081592722368877,7.509909721628077,-381.5880948950436,-343.42928540553925
2019-12-30,2019-12-27,2503.624526601287,176.6908085065339,1787.1540871234613,100428.74396210832,1,1,3.3471344313054177,6.091892780496233,-309.089447728554,-278.18050295569856
2019-12-31,2019-12-30,2027.9561459057081,179.4006206213889,1792.0814374373497,100555.28790710264,1,1,2.7098121148549863,4.927350313888274,-250.36495628465534,-225.3284606561898
2020-01-02,2019-12-31,1622.3811403737338,183.67452113876737,1792.0814374373497,100472.30538497781,1,0,4.273900517378489,0.0,-405.59528509343346,0.0
2020-01-03,2020-01-02,1314.1418649899615,185.40510607179792,1795.3129581578773,99816.52958532477,1,1,1.7305849330305374,3.2315207205277754,-162.23973641851376,-146.0157627766624
2020-01-06,2020-01-03,1064.4655551909755,186.78633352196627,1797.9314737758305,100045.60755744204,1,1,1.3812274501683668,2.6185156179531144,-131.41550064086115,-118.27395057677505
2020-01-07,2020-01-06,13745.285649576917,222.82800757041744,1438.3451790206643,99458.90034067468,1,-1,36.04167404845116,-359.58629475516614,-3436.3214123942294,16117.130862124617
2020-01-08,2020-01-07,11133.792712971066,237.35828305061642,1465.89483092307,99411.99320733917,1,1,14.530275480198968,27.549651902405635,-1374.5423102433415,-1237.0880792190073
2020-01-09,2020-01-08,24538.598108520546,237.35828305061642,1172.715864738456,100718.87203162667,0,-1,0.0,-293.178966184614,0.0,13404.69405762235
2020-01-10,2020-01-09,19631.074795601307,289.4809794590174,1172.715864738456,100690.88261552245,1,0,52.122696408401005,0.0,-4907.768698900327,0.0
2020-01-13,2020-01-10,15901.329596142903,310.2405317241517,1210.8146331794455,101390.24677171753,1,1,20.75955226513431,38.098768440989566,-1963.1271106349266,-1766.8143995714338
2020-01-14,2020-01-13,12880.20577364548,327.2525659040903,1241.7465846760695,100921.26266167848,1,1,17.012034179938617,30.931951496624013,-1590.1488609438866,-1431.133974849498
2020-01-15,2020-01-14,10304.267660562575,327.2525659040903,1296.7372718028696,101518.13005267971,0,1,0.0,54.990687126800054,0.0,-2576.0669151406437
2020-01-16,2020-01-15,8243.496562591345,327.2525659040903,1340.6373476037961,101907.29649888072,0,1,0.0,43.900075800926565,0.0,-2060.874140647836
2020-01-17,2020-01-16,6594.8631980455775,344.93581913709147,1340.6373476037961,101823.96986583335,1,0,17.68325323300114,0.0,-1648.7157995113944,0.0
2020-01-21,2020-01-17,5275.943317342047,344.93581913709147,1368.5619505815653,102549.2878923493,0,1,0.0,27.92460297776917,0.0,-1318.9858293355119
2020-01-22,2020-01-21,9429.217411561383,275.9486553096732,1418.087903407975,102968.55336445567,-1,1,-68.9871638274183,49.52595282640991,6510.525687676509,-2357.304352890346
2020-01-23,2020-01-22,7543.4493629884,275.9486553096732,1457.5583370757865,103186.65978963966,0,1,0.0,39.470433667811456,0.0,-1885.8623407471002
2020-01-24,2020-01-23,6034.819837985624,275.9486553096732,1489.2171179224233,102689.58539413099,0,1,0.0,31.6587808466367,0.0,-1508.7049594964062
2020-01-27,2020-01-24,4827.904148947203,275.9486553096732,1514.632520088329,101984.11657415105,0,1,0.0,25.41540216590586,0.0,-1206.9760372368007
2020-01-28,2020-01-27,3862.361942390954,275.9486553096732,1535.1326713554115,101739.70081272705,0,1,0.0,20.500151267082316,0.0,-965.5904855977386
2020-01-29,2020-01-28,3089.9204528083023,275.9486553096732,1551.5329563702876,101805.27808411099,0,1,0.0,16.40028501487599,0.0,-772.4801132020757
2020-01-30,2020-01-29,2471.9610816102645,275.9486553096732,1564.2409359076432,104351.72922578015,0,1,0.0,12.707979537355746,0.0,-617.9902704025662
2020-01-31,2020-01-30,14053.542032500462,310.92999280563674,1251.3927487261146,105661.87281764,1,-1,34.98133749596354,-312.84818718152866,-3513.3855081251154,15094.941739404496
2020-02-03,2020-01-31,11242.94605433663,310.92999280563674,1309.4672937955054,105777.84591003403,0,1,0.0,58.07454506939066,0.0,-2810.7365135841574
2020-02-04,2020-02-03,9106.87737187571,321.9005966052125,1330.2819568710195,106766.14312958394,1,1,10.970603799575791,20.814663075514094,-1124.3058483797174,-1011.8752635417455
2020-02-05,2020-02-04,7285.574752519543,339.7585355178857,1330.2819568710195,106619.49015234741,1,0,17.8579389126732,0.0,-1821.393688129886,0.0
2020-02-06,2020-02-05,5901.3745626963255,346.8656871897658,1343.735831041086,106949.42987910559,1,1,7.107151671880106,13.453874170066449,-728.5647608267069,-655.7082847440362
2020-02-07,2020-02-06,4780.161196917982,352.5421076363985,1354.5967540157342,107675.35679463863,1,1,5.676420446632652,10.860922974648352,-590.1433576441954,-531.1290218797758
2020-02-10,2020-02-07,3871.969288809261,357.02234237319664,1363.31173841312,109265.09569657285,1,1,4.480234736798162,8.714984397385829,-478.02089985299517,-430.21880986769565
2020-02-11,2020-02-10,3136.326486886741,360.62287052601266,1370.3898991712763,109386.43221864468,1,1,3.600528152816003,7.078160758156073,-387.20080085021493,-348.48072076519344
2020-02-12,2020-02-11,2540.4498586228037,363.5269055724493,1376.1406376416653,109348.55090508329,1,1,2.9040350464366758,5.750738470389032,-313.635785015161,-282.2722065136449
2020-02-13,2020-02-12,2057.784963128326,365.8902812825075,1380.7831538816154,109391.83978097852,1,1,2.3633757100581434,4.64251623994996,-254.047526312139,-228.64277368092513
2020-02-14,2020-02-13,1646.2444327823662,369.7458894379165,1380.7831538816154,109505.30858835082,1,0,3.8556081554090142,0.0,-411.56110819559154,0.0
2020-02-18,2020-02-14,1333.4713251336223,371.27326689826253,1383.7956075355296,109410.7291913735,1,1,1.52737746034605,3.0124536539142794,-164.62608952266942,-148.16348057040247
2020-02-19,2020-02-18,1080.1225744759677,372.5021604116809,1386.2259213851926,109955.23418109263,1,1,1.2288935134183536,2.4303138496630328,-133.34846598468738,-120.01361938621864
2020-02-20,2020-02-19,864.1067005613701,374.5088175812492,1386.2259213851926,109579.1232741561,1,0,2.0066571695682986,0.0,-216.02667514034252,0.0
2020-02-21,2020-02-20,11709.98534084521,402.44334272718464,1108.980737108154,108978.90935591582,1,-1,27.934525145935435,-277.2451842770385,-2927.4963352113027,13773.366334428138
2020-02-24,2020-02-21,9368.081952558896,425.7552636363595,1108.980737108154,105878.8080136403,1,0,23.31192090917485,0.0,-2342.020488139724,0.0
2020-02-25,2020-02-24,28362.611696527587,340.60421090908756,887.1845896865232,104340.35594912423,-1,-1,-85.1510527272719,-221.79614742163082,8399.044476212452,10595.391586936712
2020-02-26,2020-02-25,22690.316258115643,340.60421090908756,1006.3837337713945,104296.0390394398,0,1,0.0,119.19914408487138,0.0,-5672.579064528912
2020-02-27,2020-02-26,18152.434529022583,388.7717936575947,1006.3837337713945,100453.41825673373,1,0,48.16758274850716,0.0,-4538.108632255646,0.0
2020-02-28,2020-02-27,18152.616053367874,388.7717936575947,1006.3837337713945,99245.58729184674,0,0,0.0,0.0,0.0,0.0
