date,signal_source_date,money,N_risky,N_safe,wealth,signal_risky,signal_safe,trade_risky,trade_safe,trade_cash_risky,trade_cash_safe
2019-09-20,,100000.0,0.0,0.0,100000.0,0,0,0.0,0.0,0.0,0.0
2019-09-23,2019-09-20,50000.5,560.1355552778762,0.0,100001.0,1,0,560.1355552778762,0.0,-50000.5,0.0
2019-09-24,2019-09-23,74389.44148321026,280.0677776389381,0.0,98777.88296142053,-1,0,-280.0677776389381,0.0,24388.441478210265,0.0
2019-09-25,2019-09-24,86771.49118706527,140.03388881946904,0.0,99152.79699650545,-1,-1,-140.03388881946904,0.0,12381.305809440177,0.0
2019-09-26,2019-09-25,86772.35890197715,140.03388881946904,0.0,98954.18650516991,0,0,0.0,0.0,0.0,0.0
2019-09-27,2019-09-26,46406.88169902628,70.01694440973452,1041.9565537108538,98854.30017053895,-1,1,-70.01694440973452,1041.9565537108538,6040.5367724863945,-46406.88169902628
2019-09-30,2019-09-27,24722.961838464882,35.00847220486726,1595.726583575116,99002.461615464,-1,1,-35.00847220486726,553.770029864262,3038.5779090864885,-24722.961838464882
2019-10-01,2019-09-30,24723.20906808327,35.00847220486726,1595.726583575116,99277.08533528837,0,0,0.0,0.0,0.0,0.0
2019-10-02,2019-10-01,24723.45630017395,35.00847220486726,1595.726583575116,97183.54984115022,0,0,0.0,0.0,0.0,0.0
2019-10-03,2019-10-02,26232.936287476998,17.50423610243363,1595.726583575116,98197.92554440202,-1,0,-17.50423610243363,0.0,1509.2327527400416,0.0
2019-10-04,2019-10-03,26233.198616839873,17.50423610243363,1595.726583575116,99127.55167972093,0,0,0.0,0.0,0.0,0.0
2019-10-07,2019-10-04,13495.841610134506,8.752118051216815,1901.218709406034,98244.92452513303,-1,1,-8.752118051216815,305.49212583091804,758.2222714429716,-13495.841610134506
2019-10-08,2019-10-07,6934.573589385476,4.3760590256084075,2059.0394842503615,97781.00946565601,-1,1,-4.3760590256084075,157.8207748443278,373.170610220345,-6934.573589385476
2019-10-09,2019-10-08,3900.736651005771,24.511607805372925,2088.493740022655,98206.83869862383,1,1,20.13554877976452,29.45425577229339,-1733.6607337803425,-1300.245550335257
2019-10-10,2019-10-09,50907.19004554702,12.255803902686463,1044.2468700113275,97913.60443272175,-1,-1,-12.255803902686463,-1044.2468700113275,1054.15846706605,45952.255920108684
2019-10-11,2019-10-10,25453.849558723738,12.255803902686463,1626.5824421056864,97612.9647333349,0,1,0.0,582.3355720943588,0.0,-25453.849558723738
2019-10-14,2019-10-11,61003.009883032195,12.255803902686463,813.2912210528432,97615.9829802957,0,-1,0.0,-813.2912210528432,0.0,35548.90578581287
2019-10-15,2019-10-14,39424.049213058985,458.3856429034712,406.6456105264216,97775.6101145753,1,-1,446.1298390007847,-406.6456105264216,-39424.049213058985,17844.47851298694
2019-10-16,2019-10-15,48343.35144383744,458.3856429034712,203.3228052632108,97999.6782301128,0,-1,0.0,-203.3228052632108,0.0,8918.907990286327
2019-10-17,2019-10-16,48343.83487735188,458.3856429034712,203.3228052632108,98280.52020075571,0,0,0.0,0.0,0.0,0.0
2019-10-18,2019-10-17,24172.15915785033,458.3856429034712,741.394840485624,97759.18980500242,0,1,0.0,538.0720352224132,0.0,-24172.15915785033
2019-10-21,2019-10-18,20329.142133789745,686.0789639944148,370.697420242812,98070.21169611863,1,-1,227.69332109094367,-370.697420242812,-20329.142133789745,16485.88338813758
2019-10-22,2019-10-21,25307.55015877902,343.0394819972074,943.7723390978967,97271.21665456153,-1,1,-343.0394819972074,573.0749188550848,30285.75489234696,-25307.55015877902
2019-10-23,2019-10-22,20210.074962887727,171.5197409986037,1394.8011457979803,97821.83476535816,-1,1,-171.5197409986037,451.0288067000836,15112.346691494842,-20210.074962887727
2019-10-24,2019-10-23,51442.82421934794,171.5197409986037,697.4005728989902,97947.31784508281,0,-1,0.0,-697.4005728989902,0.0,31232.547155710577
2019-10-25,2019-10-24,29497.955047239844,85.75987049930185,1366.6075973251034,97289.17911090745,-1,1,-85.75987049930185,669.2070244261132,7552.571446889551,-29497.955047239844
2019-10-28,2019-10-25,16654.151816907302,42.87993524965093,1745.7025158401304,97155.27487915593,-1,1,-42.87993524965093,379.09491851502713,3810.053607024287,-16654.151816907302
2019-10-29,2019-10-28,9368.054076614328,90.1206008369942,1816.9964521856998,96895.58472421492,1,1,47.24066558734327,71.2939363455694,-4163.579589606368,-3122.684692204776
2019-10-30,2019-10-29,4684.0738785775475,142.7509421860019,1816.9964521856998,97763.26607756529,1,0,52.63034134900771,0.0,-4684.0738785775475,0.0
2019-10-31,2019-10-30,22618.208673400008,397.3658783783924,908.4982260928499,98469.70844763129,1,-1,254.61493619239045,-908.4982260928499,-22618.208673400008,40552.29662748368
2019-11-01,2019-10-31,12722.869606211292,460.495079495851,1004.4431697066324,98368.7117123213,1,1,63.12920111745859,95.94494361378251,-5654.608713871686,-4240.956535403764
2019-11-04,2019-11-01,7156.685719635388,495.74547733793156,1059.1846148497807,98047.19404013222,1,1,35.25039784208061,54.74144514314827,-3180.749208726839,-2385.561906545129
2019-11-05,2019-11-04,4025.675973652079,515.6064901479585,1090.3999290391378,97348.739662332,1,1,19.861012810026978,31.21531418935717,-1789.189321623146,-1341.8919912173596
2019-11-06,2019-11-05,2264.4653796066464,526.8153763735173,1107.8323401820246,97535.4647674681,1,1,11.208886225558752,17.432411142886757,-1006.4290576029539,-754.8217932022154
2019-11-07,2019-11-06,13008.6686901208,672.3099313148418,553.9161700910123,96872.75146703447,1,-1,145.49455494132454,-553.9161700910123,-13008.6686901208,23752.849355981158
2019-11-08,2019-11-07,7317.449311954333,708.731188520079,610.8842907718099,96758.54206485575,1,1,36.42125720523714,56.96812068079763,-3252.1996942019255,-2439.149770651444
2019-11-11,2019-11-08,4116.106398626693,729.3829051789936,643.1578898032423,96068.99639304302,1,1,20.651716658914623,32.27359903143232,-1829.3806216118633,-1372.0354662088976
2019-11-12,2019-11-11,8876.51493080971,829.2312153978156,321.5789449016211,96232.05354691067,1,-1,99.84831021882204,-321.5789449016211,-8876.51493080971,13636.882301928741
2019-11-13,2019-11-12,4993.089578976947,854.5479481216236,360.3030188771508,95384.76617953998,1,1,25.316732723807934,38.72407397552967,-2219.1509239897546,-1664.3631929923158
2019-11-14,2019-11-13,6384.2836407902005,927.3199006635087,180.1515094385754,95513.48941065882,1,-1,72.7719525418852,-180.1515094385754,-6384.2836407902005,7775.427771707664
2019-11-15,2019-11-14,6384.347483626609,927.3199006635087,180.1515094385754,94818.869018484,0,0,0.0,0.0,0.0,0.0
2019-11-18,2019-11-15,50930.57172326774,463.6599503317544,90.0757547192877,95476.73211943405,-1,-1,-463.6599503317544,-90.0757547192877,40628.90002442379,3917.260371742512
2019-11-19,2019-11-18,35624.27247203613,231.8299751658772,908.4691319631145,95486.96340066748,-1,1,-231.8299751658772,818.3933772438268,20317.463915087283,-35624.27247203613
2019-11-20,2019-11-19,55449.39332067056,231.8299751658772,454.23456598155724,95507.46603250623,0,-1,0.0,-454.23456598155724,0.0,19824.76460590971
2019-11-21,2019-11-20,32751.945908417525,115.9149875829386,1208.347127697943,95285.74739356758,-1,1,-115.9149875829386,754.1125617163858,10053.944002231276,-32751.945908417525
2019-11-22,2019-11-21,32752.27342787661,115.9149875829386,1208.347127697943,95419.2457005272,0,0,0.0,0.0,0.0,0.0
2019-11-25,2019-11-22,64261.7192091774,57.9574937914693,604.1735638489715,95770.8374677439,-1,-1,-57.9574937914693,-604.1735638489715,5140.366117176778,26368.752141389727
2019-11-26,2019-11-25,64262.361826369495,57.9574937914693,604.1735638489715,96175.33692086549,0,0,0.0,0.0,0.0,0.0
2019-11-27,2019-11-26,32131.50222499388,57.9574937914693,1330.424344413986,96263.26027643845,0,1,0.0,726.2507805650145,0.0,-32131.50222499388
