,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
0,DDDDD,D,4,13,0.0008074283407347598,0.3076923076923077,0.01576196337569813,7.644291983287667e-05
1,DDDDD,U,7,13,0.0014129995962858296,0.5384615384615384,0.027583435907471726,0.00040968627347932337
2,DDDDD,H,2,13,0.0004037141703673799,0.15384615384615385,0.007880981687849065,9.555364979109583e-06
3,DDDDU,D,11,27,0.0022204279370205892,0.4074074074074074,0.030076881307019455,0.00036854839558229257
4,DDDDU,U,12,27,0.0024222850222042794,0.4444444444444444,0.03281114324402123,0.00047847605376874654
5,DDDDU,H,4,27,0.0008074283407347598,0.14814814814814814,0.010937047748007075,1.772133532476839e-05
6,DDDDH,D,6,15,0.0012111425111021397,0.4,0.02201038401393433,0.00019378280177634238
7,DDDDH,U,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
8,DDDDH,H,4,15,0.0008074283407347598,0.26666666666666666,0.014673589342622886,5.741712645224958e-05
9,DDDUD,D,12,30,0.0024222850222042794,0.4,0.03112738358554589,0.00038756560355268475
10,DDDUD,U,14,30,0.002825999192571659,0.4666666666666667,0.03631528084980354,0.0006154398241600503
11,DDDUD,H,4,30,0.0008074283407347598,0.13333333333333333,0.010375794528515296,1.4354281613062395e-05
12,DDDUU,D,10,33,0.0020185708518368995,0.30303030303030304,0.024732329791596112,0.00018536004149099171
13,DDDUU,U,13,33,0.0026241421073879695,0.3939393939393939,0.032152028729074945,0.00040723601115570874
14,DDDUU,H,10,33,0.0020185708518368995,0.30303030303030304,0.024732329791596112,0.00018536004149099171
15,DDDUH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
16,DDDUH,U,9,16,0.0018167137666532096,0.5625,0.031967194023599106,0.0005748195902301171
17,DDDUH,H,1,16,0.00020185708518368994,0.0625,0.003551910447066567,7.885042389987888e-07
18,DDDHD,D,4,13,0.0008074283407347598,0.3076923076923077,0.01576196337569813,7.644291983287667e-05
19,DDDHD,U,6,13,0.0012111425111021397,0.46153846153846156,0.023642945063547194,0.0002579948544359588
